ticker,date,open,high,low,close
IMDX,2025-06-20,2.93,4.24,2.92,4.24
IMDX,2025-06-23,3.75,4.14,3.35,3.66
IMDX,2025-06-24,3.68,3.68,3.33,3.45
IMDX,2025-06-25,3.46,3.46,3.23,3.335
IMDX,2025-06-26,3.38,3.48,3.26,3.37
IMDX,2025-06-27,3.28,3.36,3.17,3.18
IMDX,2025-06-30,3.19,3.2399,2.98,2.98
IMDX,2025-07-01,3.02,3.3086,2.95,3.04
IMDX,2025-07-02,3.05,3.1696,3.0,3.04
IMDX,2025-07-03,3.05,3.07,2.84,2.85
IMDX,2025-07-07,2.85,3.11,2.8439,3.03
IMDX,2025-07-08,3.0293,3.0505,2.91,2.91
IMDX,2025-07-09,3.25,3.25,2.88,2.97
IMDX,2025-07-10,2.94,3.0301,2.85,2.89
IMDX,2025-07-11,2.81,3.0,2.81,2.86
IMDX,2025-07-14,2.88,3.03,2.77,2.84
IMDX,2025-07-15,2.85,3.0138,2.7035,2.7799
IMDX,2025-07-16,2.85,2.88,2.68,2.83
IMDX,2025-07-17,2.84,2.98,2.8201,2.83
IMDX,2025-07-18,2.83,2.9199,2.82,2.86
IMDX,2025-07-21,2.97,3.07,2.85,3.03
IMDX,2025-07-22,2.94,3.09,2.8126,2.84
IMDX,2025-07-23,2.89,3.06,2.83,3.01
IMDX,2025-07-24,2.93,3.01,2.91,2.96
IMDX,2025-07-25,2.96,3.04,2.81,2.885
IMDX,2025-07-28,2.9001,2.9376,2.75,2.79
IMDX,2025-07-29,2.82,2.91,2.73,2.73
IMDX,2025-07-30,2.8,2.89,2.6581,2.7
IMDX,2025-07-31,2.63,2.82,2.5001,2.52
IMDX,2025-08-01,2.5,2.6612,2.4544,2.56
IMDX,2025-08-04,2.66,2.77,2.65,2.77
IMDX,2025-08-05,2.71,2.84,2.61,2.61
IMDX,2025-08-06,2.73,2.73,2.6101,2.65
IMDX,2025-08-07,2.61,2.71,2.5601,2.625
IMDX,2025-08-08,2.63,2.685,2.46,2.57
IMDX,2025-08-11,2.57,2.65,2.4301,2.565
IMDX,2025-08-12,2.45,2.59,2.3312,2.51
IMDX,2025-08-13,2.57,2.59,2.45,2.45
IMDX,2025-08-14,2.6249,2.6249,2.35,2.4
IMDX,2025-08-15,2.35,2.4287,2.33,2.4
IMDX,2025-08-18,2.51,2.91,2.5,2.67
IMDX,2025-08-19,2.6,2.8015,2.35,2.6
IMDX,2025-08-20,2.64,2.64,2.4,2.5
IMDX,2025-08-21,2.43,2.49,2.37,2.48
IMDX,2025-08-22,2.48,2.62,2.48,2.59
IMDX,2025-08-25,2.59,2.61,2.49,2.49
IMDX,2025-08-26,2.56,2.58,2.5,2.51
IMDX,2025-08-27,2.54,2.54,2.48,2.48
IMDX,2025-08-28,2.45,2.66,2.41,2.51
IMDX,2025-08-29,2.5098,2.59,2.33,2.53
IMDX,2025-09-02,2.48,2.6,2.452,2.6
IMDX,2025-09-03,2.53,2.6,2.5,2.56
IMDX,2025-09-04,2.54,2.5467,2.46,2.47
IMDX,2025-09-05,2.4541,2.5703,2.45,2.48
IMDX,2025-09-08,2.5,2.5896,2.49,2.49
IMDX,2025-09-09,2.42,2.7,2.4034,2.67
IMDX,2025-09-10,2.6,3.1,2.6,3.0
IMDX,2025-09-11,2.94,3.2998,2.9,3.18
IMDX,2025-09-12,3.19,3.215,2.935,3.08
IMDX,2025-09-15,2.94,3.22,2.94,3.09
IMDX,2025-09-16,3.125,3.598,3.125,3.44
IMDX,2025-09-17,3.44,3.49,3.2135,3.31
IMDX,2025-09-18,3.39,3.57,3.23,3.36
IMDX,2025-09-19,3.38,3.56,3.2931,3.41
IMDX,2025-09-22,3.41,3.41,3.2,3.27
IMDX,2025-09-23,3.38,3.4508,3.01,3.01
IMDX,2025-09-24,3.11,3.29,3.03,3.275
IMDX,2025-09-25,3.16,3.31,3.16,3.26
IMDX,2025-09-26,3.22,3.33,3.22,3.33
IMDX,2025-09-29,3.36,3.36,3.16,3.23
IMDX,2025-09-30,3.16,3.34,3.12,3.31
IMDX,2025-10-01,3.39,3.39,3.21,3.29
IMDX,2025-10-02,3.326,3.34,3.21,3.34
IMDX,2025-10-03,3.4018,3.57,3.3,3.35
IMDX,2025-10-06,3.64,3.6499,3.22,3.28
IMDX,2025-10-07,3.36,3.68,3.3,3.68
IMDX,2025-10-08,3.68,3.75,3.61,3.68
IMDX,2025-10-09,3.67,3.8081,3.61,3.8
IMDX,2025-10-10,3.8,3.8995,3.5474,3.89
IMDX,2025-10-13,3.9,3.97,3.75,3.9
IMDX,2025-10-14,3.88,4.12,3.76,4.07
IMDX,2025-10-15,4.06,4.35,4.06,4.3
IMDX,2025-10-16,4.3,4.64,4.2314,4.625
IMDX,2025-10-17,4.6,5.32,4.6,5.295
IMDX,2025-10-20,5.3,6.08,5.24,5.89
IMDX,2025-10-21,6.2,6.63,5.7,6.63
IMDX,2025-10-22,6.21,6.59,5.72,6.42
IMDX,2025-10-23,6.36,6.42,5.94,6.42
IMDX,2025-10-24,6.4,6.76,6.1359,6.63
IMDX,2025-10-27,6.63,6.7,6.4,6.5
IMDX,2025-10-28,6.55,6.55,5.55,6.22
IMDX,2025-10-29,6.15,6.31,5.5,5.85
IMDX,2025-10-30,5.91,6.1,5.5401,5.925
IMDX,2025-10-31,5.87,6.145,5.75,6.01
IMDX,2025-11-03,5.82,6.2,5.8,6.1
IMDX,2025-11-04,6.15,6.2,5.8,6.13
IMDX,2025-11-05,6.15,6.79,5.97,6.66
IMDX,2025-11-06,6.72,6.72,6.1,6.5
IMDX,2025-11-07,6.48,6.49,6.12,6.24
IMDX,2025-11-10,6.33,7.03,5.918,6.8
IMDX,2025-11-11,6.65,7.53,6.41,7.53
IMDX,2025-11-12,7.53,8.51,7.05,8.49
IMDX,2025-11-13,8.5,8.5,7.65,7.93
IMDX,2025-11-14,7.92,7.9204,7.09,7.4
IMDX,2025-11-17,7.42,7.5616,6.0,6.645
IMDX,2025-11-18,6.55,6.575,6.27,6.33
IMDX,2025-11-19,6.31,6.66,5.99,6.04
IMDX,2025-11-20,6.05,6.35,5.82,6.07
IMDX,2025-11-21,6.06,6.24,5.9202,6.07
IMDX,2025-11-24,6.04,6.15,5.844,6.115
IMDX,2025-11-25,6.15,6.15,5.99,6.15
IMDX,2025-11-26,6.15,6.15,6.04,6.04
IMDX,2025-11-28,6.09,6.15,6.09,6.14
IMDX,2025-12-01,6.09,6.14,5.75,5.76
IMDX,2025-12-02,5.76,5.84,5.44,5.515
IMDX,2025-12-03,5.56,5.56,5.2,5.31
IMDX,2025-12-04,5.27,5.69,5.27,5.58
IMDX,2025-12-05,5.58,5.6308,5.21,5.24
IMDX,2025-12-08,5.23,5.25,4.92,4.93
IMDX,2025-12-09,4.91,5.25,4.91,5.15
IMDX,2025-12-10,5.12,5.25,5.09,5.11
IMDX,2025-12-11,5.07,5.24,5.045,5.2
IMDX,2025-12-12,5.16,5.25,5.07,5.215
IMDX,2025-12-15,5.19,5.21,5.02,5.027
IMDX,2025-12-16,4.98,5.09,4.98,5.07
IMDX,2025-12-17,5.08,5.1,4.745,4.78
IMDX,2025-12-18,4.935,5.335,4.92,5.19
IMDX,2025-12-19,5.18,5.41,5.0,5.41
IMDX,2025-12-22,5.36,5.56,5.31,5.56
IMDX,2025-12-23,5.53,5.665,5.39,5.48
IMDX,2025-12-24,5.44,5.93,5.41,5.82
IMDX,2025-12-26,5.85,6.4852,5.4366,6.37
IMDX,2025-12-29,6.2,6.63,6.2,6.63
IMDX,2025-12-30,6.7,7.0,6.594,7.0
IMDX,2025-12-31,6.96,7.51,6.96,7.5
IMDX,2026-01-02,7.48,7.48,6.53,7.16
IMDX,2026-01-05,7.14,7.51,7.075,7.485
IMDX,2026-01-06,7.41,7.47,7.2079,7.4
IMDX,2026-01-07,7.47,7.51,7.25,7.5
IMDX,2026-01-08,7.5,7.51,7.35,7.5
IMDX,2026-01-09,7.5,7.5,7.02,7.44
IMDX,2026-01-12,7.44,7.44,6.85,7.11
IMDX,2026-01-13,7.1,7.26,6.86,7.23
IMDX,2026-01-14,7.27,7.27,6.59,6.965
IMDX,2026-01-15,6.93,6.935,6.55,6.62
IMDX,2026-01-16,6.47,7.15,6.47,6.635
IMDX,2026-01-20,6.794,6.794,6.05,6.26
IMDX,2026-01-21,6.15,6.58,6.1401,6.51
