ticker,date,open,high,low,close
INEO,2025-04-28,1.93,1.93,1.345,1.44
INEO,2025-04-29,1.2,1.2,1.02,1.2
INEO,2025-04-30,1.32,1.44,1.14,1.43
INEO,2025-05-01,1.4,1.42,1.3,1.3
INEO,2025-05-02,1.3,1.4,1.23,1.3
INEO,2025-05-05,1.38,1.4284,1.3,1.3
INEO,2025-05-06,1.3,1.41,1.3,1.3
INEO,2025-05-07,1.33,1.33,1.27,1.27
INEO,2025-05-08,1.26,1.35,1.02,1.32
INEO,2025-05-09,1.3,1.32,1.1911,1.3
INEO,2025-05-12,1.27,1.35,1.22,1.22
INEO,2025-05-13,1.21,1.3,1.12,1.12
INEO,2025-05-14,1.08,1.08,0.9155,1.08
INEO,2025-05-15,1.11,1.11,0.97,1.01
INEO,2025-05-16,0.9777,1.0357,0.85,0.8714
INEO,2025-05-19,0.8453,0.965,0.83281,0.8862
INEO,2025-05-20,0.81,0.8683,0.81,0.8499
INEO,2025-05-21,0.82,0.913,0.811,0.84
INEO,2025-05-22,0.8425,0.913,0.84,0.8949
INEO,2025-05-23,1.185,1.29,1.01,1.21
INEO,2025-05-27,1.15,1.17,1.06,1.16
INEO,2025-05-28,1.13,1.18,1.1101,1.15
INEO,2025-05-29,1.11,1.28,1.11,1.16
INEO,2025-05-30,1.15,1.1601,1.09,1.1281
INEO,2025-06-02,1.15,1.16,1.08,1.1
INEO,2025-06-03,1.07,1.14,1.07,1.0741
INEO,2025-06-04,1.06,1.08,0.98,1.03
INEO,2025-06-05,1.0,1.05,0.99,0.99
INEO,2025-06-06,0.993,1.14,0.9901,1.07
INEO,2025-06-09,1.07,1.16,1.0649,1.14
INEO,2025-06-10,1.08,1.25,1.05,1.16
INEO,2025-06-11,1.64,2.1,1.5401,1.78
INEO,2025-06-12,1.46,1.57,1.23,1.35
INEO,2025-06-13,1.11,1.2171,1.06,1.06
INEO,2025-06-16,1.08,1.2,1.08,1.11
INEO,2025-06-17,1.38,1.94,1.33,1.62
INEO,2025-06-18,1.515,1.6,1.31,1.4
INEO,2025-06-20,1.43,1.43,1.27,1.28
INEO,2025-06-23,1.26,1.29,1.22,1.26
INEO,2025-06-24,1.2,1.37,1.2,1.26
INEO,2025-06-25,1.22,1.34,1.22,1.28
INEO,2025-06-26,1.37,1.39,1.26,1.26
INEO,2025-06-27,1.26,1.33,1.21,1.24
INEO,2025-06-30,1.19,1.24,1.18,1.1903
INEO,2025-07-01,1.17,1.25,1.11,1.14
INEO,2025-07-02,1.05,1.19,1.05,1.15
INEO,2025-07-03,1.1096,1.38,1.1096,1.22
INEO,2025-07-07,1.25,1.44,1.2303,1.33
INEO,2025-07-08,1.3,1.3446,1.25,1.3
INEO,2025-07-09,1.3,1.3,1.25,1.26
INEO,2025-07-10,1.3,1.3,1.2,1.23
INEO,2025-07-11,1.22,1.22,1.22,1.22
INEO,2025-07-14,1.23,1.23,1.1604,1.18
INEO,2025-07-15,1.2,1.2128,1.1201,1.16
INEO,2025-07-16,1.16,1.2006,1.16,1.17
INEO,2025-07-17,1.16,1.21,1.16,1.19
INEO,2025-07-18,1.15,1.2,1.15,1.17
INEO,2025-07-21,1.16,1.1997,1.12,1.12
INEO,2025-07-22,1.12,1.1698,1.12,1.16
INEO,2025-07-23,1.12,1.225,1.12,1.22
INEO,2025-07-24,1.21,1.21,1.15,1.15
INEO,2025-07-25,1.12,1.17,1.12,1.12
INEO,2025-07-28,1.12,1.1699,1.095,1.11
INEO,2025-07-29,1.095,1.1199,1.0533,1.065
INEO,2025-07-30,1.07,1.09,1.05,1.0596
INEO,2025-07-31,1.05,1.075,1.0,1.0
INEO,2025-08-01,0.9834,1.0,0.908,0.908
INEO,2025-08-04,0.9012,0.992999,0.9012,0.9453
INEO,2025-08-05,0.94,0.976,0.92,0.976
INEO,2025-08-06,0.8836,0.9929,0.8836,0.9716
INEO,2025-08-07,0.9604,0.9755,0.9013,0.9013
INEO,2025-08-08,0.9103,0.97,0.9031,0.9036
INEO,2025-08-11,0.88,0.95385,0.88,0.9
INEO,2025-08-12,0.98,0.98,0.88,0.9001
INEO,2025-08-13,0.87,0.95,0.8501,0.8897
INEO,2025-08-14,0.86,0.9,0.8202,0.856
INEO,2025-08-15,0.823,0.9188,0.823,0.851
INEO,2025-08-18,0.83,0.855501,0.83,0.8554
INEO,2025-08-19,0.844,0.853,0.8202,0.8399
INEO,2025-08-20,0.8202,0.8301,0.81,0.8133
INEO,2025-08-21,0.8,0.852,0.8,0.852
INEO,2025-08-22,0.8454,0.87,0.814,0.87
INEO,2025-08-25,0.8645,0.87,0.8503,0.8503
INEO,2025-08-26,0.8352,0.975,0.8352,0.97
INEO,2025-08-27,0.966,0.9665,0.8906,0.96
INEO,2025-08-28,0.9501,1.27,0.9213,1.25
INEO,2025-08-29,1.12,1.12,0.95,0.98
INEO,2025-09-02,0.9727,0.9727,0.9003,0.9102
