ticker,date,open,high,low,close
INLF,2025-01-27,4.755,5.1268,4.62,4.75
INLF,2025-01-28,4.89,5.03,4.75,4.8
INLF,2025-01-29,4.85,5.29,4.73,4.88
INLF,2025-01-30,4.94,4.95,4.3,4.31
INLF,2025-01-31,4.41,4.5494,4.25,4.3
INLF,2025-02-03,4.315,4.42,3.8001,4.07
INLF,2025-02-04,3.99,4.46,3.835,4.37
INLF,2025-02-05,4.48,4.89,4.26,4.7
INLF,2025-02-06,4.49,4.9,4.49,4.6
INLF,2025-02-07,4.62,4.91,4.44,4.9
INLF,2025-02-10,4.9,4.94,4.42,4.86
INLF,2025-02-11,4.88,4.92,4.4501,4.63
INLF,2025-02-12,4.775,6.4,4.7001,5.99
INLF,2025-02-13,5.8,10.0,5.8,9.01
INLF,2025-02-14,8.75,21.0,5.4,16.33
INLF,2025-02-18,12.5,14.4074,2.29,3.39
INLF,2025-02-19,3.13,3.5287,2.94,3.15
INLF,2025-02-20,3.12,3.29,2.7,2.76
INLF,2025-02-21,2.83,2.87,2.41,2.43
INLF,2025-02-24,2.52,2.5925,2.14,2.21
INLF,2025-02-25,2.19,2.26,2.03,2.0599
INLF,2025-02-26,2.06,2.12,1.96,1.96
INLF,2025-02-27,1.93,2.0585,1.76,1.78
INLF,2025-02-28,1.71,1.8599,1.69,1.69
INLF,2025-03-03,1.7,1.98,1.68,1.74
INLF,2025-03-04,1.72,1.88,1.686,1.77
INLF,2025-03-05,1.83,1.84,1.68,1.77
INLF,2025-03-06,1.8,1.89,1.7,1.82
INLF,2025-03-07,1.9,1.9,1.8101,1.86
INLF,2025-03-10,1.75,1.79,1.42,1.46
INLF,2025-03-11,1.42,1.7888,1.42,1.62
INLF,2025-03-12,1.695,1.8,1.6582,1.69
INLF,2025-03-13,1.68,1.7507,1.62,1.62
INLF,2025-03-14,1.62,1.75,1.62,1.69
INLF,2025-03-17,1.73,1.82,1.7,1.74
INLF,2025-03-18,1.7,1.82,1.7,1.77
INLF,2025-03-19,1.77,2.04,1.75,1.99
INLF,2025-03-20,2.03,2.58,2.03,2.29
INLF,2025-03-21,2.25,2.265,1.65,2.01
INLF,2025-03-24,1.91,2.05,1.9051,1.95
INLF,2025-03-25,1.89,1.95,1.7,1.71
INLF,2025-03-26,1.74,1.7824,1.65,1.67
INLF,2025-03-27,1.65,1.7,1.6,1.6
INLF,2025-03-28,1.63,1.645,1.45,1.5
INLF,2025-03-31,1.43,1.48,1.41,1.43
INLF,2025-04-01,1.47,1.78,1.46,1.68
INLF,2025-04-02,1.62,1.69,1.591,1.61
INLF,2025-04-03,1.6,1.6,1.44,1.6
