ticker,date,open,high,low,close
IPOD,2025-06-12,10.09,10.09,10.0,10.035
IPOD,2025-06-13,10.02,10.02,10.02,10.02
IPOD,2025-06-16,10.03,10.03,10.0,10.0
IPOD,2025-06-18,10.0,10.02,10.0,10.01
IPOD,2025-06-20,10.03,10.05,10.03,10.04
IPOD,2025-06-23,10.04,10.04,10.04,10.04
IPOD,2025-06-24,10.03,10.04,10.03,10.04
IPOD,2025-06-25,10.04,10.04,10.04,10.04
IPOD,2025-06-26,10.04,10.04,10.03,10.035
IPOD,2025-06-27,10.045,10.045,10.04,10.04
IPOD,2025-06-30,10.05,10.06,10.035,10.05
IPOD,2025-07-02,10.04,10.04,10.04,10.04
IPOD,2025-07-03,10.05,10.05,10.04,10.05
IPOD,2025-07-07,10.05,10.05,10.05,10.05
IPOD,2025-07-08,10.05,10.05,10.0477,10.0477
IPOD,2025-07-09,10.04,10.05,10.04,10.05
IPOD,2025-07-10,10.05,10.06,10.05,10.06
IPOD,2025-07-11,10.05,10.05,10.05,10.05
IPOD,2025-07-14,10.06,10.06,10.06,10.06
IPOD,2025-07-16,10.0596,10.06,10.0596,10.06
IPOD,2025-07-17,10.05,10.05,10.045,10.045
IPOD,2025-07-18,10.03,10.03,10.03,10.03
IPOD,2025-07-21,10.06,10.06,10.06,10.06
IPOD,2025-07-22,10.06,10.06,10.06,10.06
IPOD,2025-07-23,10.0404,10.06,10.0404,10.06
IPOD,2025-07-24,10.05,10.0535,10.05,10.0535
IPOD,2025-07-25,10.045,10.045,10.045,10.045
IPOD,2025-07-28,10.04,10.06,10.04,10.05
IPOD,2025-07-29,10.05,10.07,10.05,10.07
IPOD,2025-07-30,10.07,10.07,10.07,10.07
IPOD,2025-07-31,10.07,10.07,10.07,10.07
IPOD,2025-08-01,10.07,10.1,10.07,10.08
IPOD,2025-08-05,10.06,10.07,10.06,10.07
IPOD,2025-08-06,10.06,10.07,10.06,10.07
IPOD,2025-08-07,10.06,10.09,10.06,10.09
IPOD,2025-08-11,10.05,10.07,10.05,10.05
IPOD,2025-08-12,10.05,10.06,10.05,10.06
IPOD,2025-08-13,10.06,10.07,10.05,10.06
IPOD,2025-08-14,10.06,10.09,10.06,10.09
IPOD,2025-08-15,10.06,10.06,10.06,10.06
IPOD,2025-08-18,10.07,10.07,10.07,10.07
IPOD,2025-08-19,10.05,10.05,10.05,10.05
IPOD,2025-08-20,10.05,10.05,10.05,10.05
IPOD,2025-08-21,10.06,10.06,10.06,10.06
IPOD,2025-08-28,10.07,10.07,10.07,10.07
IPOD,2025-08-29,10.07,10.07,10.07,10.07
IPOD,2025-09-03,10.07,10.07,10.07,10.07
IPOD,2025-09-04,10.075,10.075,10.07,10.075
IPOD,2025-09-09,10.08,10.08,10.07,10.08
IPOD,2025-09-10,10.09,10.09,10.07,10.08
IPOD,2025-09-16,10.08,10.08,10.08,10.08
IPOD,2025-09-17,10.09,10.09,10.09,10.09
IPOD,2025-09-18,10.0899,10.09,10.0899,10.09
IPOD,2025-09-22,10.1,10.1,10.09,10.09
IPOD,2025-09-24,10.14,10.16,10.14,10.14
IPOD,2025-09-25,10.15,10.15,10.15,10.15
IPOD,2025-09-26,10.12,10.12,10.11,10.12
IPOD,2025-09-29,10.115,10.115,10.11,10.11
IPOD,2025-10-08,10.12,10.12,10.12,10.12
IPOD,2025-10-09,10.13,10.13,10.13,10.13
IPOD,2025-10-10,10.1284,10.1284,10.1284,10.1284
IPOD,2025-10-13,10.14,10.14,10.135,10.14
IPOD,2025-10-14,10.14,10.15,10.14,10.14
IPOD,2025-10-16,10.16,10.16,10.16,10.16
IPOD,2025-10-21,10.14,10.16,10.12,10.16
IPOD,2025-10-23,10.12,10.12,10.12,10.12
IPOD,2025-10-27,10.135,10.135,10.13,10.13
IPOD,2025-10-29,10.14,10.15,10.14,10.15
IPOD,2025-10-30,10.15,10.15,10.15,10.15
IPOD,2025-10-31,10.15,10.15,10.15,10.15
IPOD,2025-11-05,10.1796,10.1796,10.17,10.17
IPOD,2025-11-06,10.17,10.18,10.17,10.18
IPOD,2025-11-07,10.19,10.19,10.19,10.19
IPOD,2025-11-10,10.19,10.19,10.19,10.19
IPOD,2025-11-14,10.21,10.24,10.21,10.24
IPOD,2025-11-17,10.22,10.2253,10.21,10.2253
IPOD,2025-11-18,10.22,10.22,10.21,10.21
IPOD,2025-11-20,10.21,10.21,10.21,10.21
IPOD,2025-11-26,10.19,10.21,10.15,10.17
IPOD,2025-12-01,10.2,10.2,10.2,10.2
IPOD,2025-12-02,10.2,10.2,10.2,10.2
IPOD,2025-12-04,10.21,10.21,10.21,10.21
IPOD,2025-12-05,10.18,10.18,10.18,10.18
IPOD,2025-12-11,10.22,10.22,10.22,10.22
IPOD,2025-12-15,10.19,10.1901,10.19,10.1901
IPOD,2025-12-19,10.2,10.2,10.2,10.2
IPOD,2025-12-23,10.19,10.19,10.18,10.18
IPOD,2025-12-24,10.19,10.19,10.19,10.19
IPOD,2025-12-29,10.195,10.202,10.19,10.202
IPOD,2025-12-30,10.22,10.22,10.22,10.22
IPOD,2026-01-12,10.22,10.2296,10.22,10.2296
IPOD,2026-01-13,10.23,10.27,10.23,10.27
IPOD,2026-01-15,10.23,10.23,10.23,10.23
IPOD,2026-01-20,10.23,10.23,10.23,10.23
IPOD,2026-01-21,10.27,10.27,10.27,10.27
IPOD,2026-01-26,10.29,10.29,10.29,10.29
IPOD,2026-01-29,10.3,10.3,10.3,10.3
IPOD,2026-01-30,10.26,10.26,10.25,10.25
