ticker,date,open,high,low,close
IPST,2025-09-23,0.9285,1.0399,0.7599,0.8158
IPST,2025-09-24,0.83,0.8849,0.77,0.77
IPST,2025-09-25,0.745,0.7599,0.65,0.728
IPST,2025-09-26,0.8131,0.8721,0.745,0.8402
IPST,2025-09-29,0.82,0.8721,0.707,0.838
IPST,2025-09-30,0.85,0.86,0.7531,0.815
IPST,2025-10-01,0.79,0.8187,0.78,0.7941
IPST,2025-10-02,0.78,0.8778,0.762,0.8717
IPST,2025-10-03,0.89,0.89,0.79,0.8047
IPST,2025-10-06,0.8196,0.844,0.7411,0.829
IPST,2025-10-07,0.84,0.84,0.7389,0.779
IPST,2025-10-08,0.79,0.79,0.7026,0.7188
IPST,2025-10-09,0.72,0.7468,0.688,0.729
IPST,2025-10-10,0.7247,0.749999,0.6185,0.6618
IPST,2025-10-13,0.633,0.718,0.629,0.6848
IPST,2025-10-14,0.69,0.7,0.6381,0.6728
IPST,2025-10-15,0.6503,0.6802,0.64001,0.6802
IPST,2025-10-16,0.6706,0.6706,0.5706,0.61
IPST,2025-10-17,0.62,0.637,0.581,0.637
IPST,2025-10-20,0.6502,0.68,0.63,0.668
IPST,2025-10-21,0.648,0.6498,0.6,0.605
IPST,2025-10-22,0.595,0.6053,0.5729,0.5907
IPST,2025-10-23,0.573,0.67,0.573,0.6315
IPST,2025-10-24,0.6126,0.64,0.5814,0.628
IPST,2025-10-27,0.6304,0.6304,0.5858,0.599
IPST,2025-10-28,0.5928,0.77,0.592,0.6294
IPST,2025-10-29,0.61,0.64,0.573,0.5775
IPST,2025-10-30,0.567,0.595,0.51,0.5101
IPST,2025-10-31,0.5196,0.59155,0.5196,0.584
IPST,2025-11-03,0.48,0.5199,0.45,0.5151
IPST,2025-11-04,0.46,0.5164,0.46,0.5005
IPST,2025-11-05,9.81,12.5,8.02,8.39
IPST,2025-11-06,8.41,8.74,7.57,8.33
IPST,2025-11-07,8.672,10.01,8.0,9.71
IPST,2025-11-10,10.07,11.17,8.28,11.17
IPST,2025-11-11,11.35,12.62,10.7101,12.48
IPST,2025-11-12,12.48,14.95,12.48,14.85
IPST,2025-11-13,14.89,15.08,13.9364,14.9
IPST,2025-11-14,14.19,14.81,13.0,13.885
IPST,2025-11-17,14.16,14.16,10.1101,10.43
IPST,2025-11-18,10.7,10.9808,9.5,9.68
IPST,2025-11-19,9.61,9.75,9.5102,9.65
IPST,2025-11-20,9.58,9.99,9.5,9.52
IPST,2025-11-21,9.1,9.5,8.51,8.59
IPST,2025-11-24,8.7,8.7,8.25,8.55
IPST,2025-11-25,8.5401,8.8999,5.32,6.25
IPST,2025-11-26,6.46,6.8775,6.32,6.39
IPST,2025-11-28,5.72,6.64,5.15,6.26
IPST,2025-12-01,6.25,6.5,6.0398,6.42
IPST,2025-12-02,6.56,6.608,6.08,6.18
IPST,2025-12-03,6.12,6.23,5.7902,6.07
IPST,2025-12-04,6.15,6.22,5.7707,6.05
IPST,2025-12-05,6.2505,6.2505,5.68,5.98
IPST,2025-12-08,5.99,6.51,5.62,6.325
IPST,2025-12-09,5.8,6.49,5.6802,6.45
IPST,2025-12-10,6.5,6.65,6.035,6.54
IPST,2025-12-11,6.225,6.57,6.05,6.28
IPST,2025-12-12,6.19,6.7149,6.19,6.32
IPST,2025-12-15,6.06,6.215,5.2,5.2
IPST,2025-12-16,5.43,5.5,3.6,3.8697
IPST,2025-12-17,3.84,4.4899,3.78,3.84
IPST,2025-12-18,3.8,3.8101,3.36,3.36
IPST,2025-12-19,3.36,3.48,2.615,2.705
IPST,2025-12-22,2.68,2.8589,2.1,2.1
IPST,2025-12-23,2.1,2.25,1.9,2.15
IPST,2025-12-24,2.15,2.2,2.1,2.16
IPST,2025-12-26,2.19,2.1999,1.86,2.0
IPST,2025-12-29,1.94,1.98,1.75,1.77
IPST,2025-12-30,1.732,1.75,1.55,1.6
IPST,2025-12-31,1.61,1.662,1.31,1.56
IPST,2026-01-02,1.64,1.9,1.57,1.7
IPST,2026-01-05,1.73,1.9488,1.62,1.82
IPST,2026-01-06,1.86,1.8601,1.55,1.58
IPST,2026-01-07,1.58,1.58,1.45,1.5
IPST,2026-01-08,1.5,1.53,1.46,1.53
IPST,2026-01-09,1.6,1.6,1.12,1.49
IPST,2026-01-12,1.5,1.5981,1.26,1.36
IPST,2026-01-13,1.42,1.75,1.4,1.69
IPST,2026-01-14,1.79,1.799,1.54,1.64
IPST,2026-01-15,1.65,1.65,1.5159,1.56
IPST,2026-01-16,1.5572,1.73,1.5206,1.7
IPST,2026-01-20,1.68,1.68,1.52,1.65
IPST,2026-01-21,1.61,1.62,1.52,1.53
IPST,2026-01-22,1.52,1.56,1.42,1.43
IPST,2026-01-23,1.53,1.83,1.41,1.47
IPST,2026-01-26,1.5,1.5529,1.45,1.52
IPST,2026-01-27,1.5202,1.58,1.48,1.54
IPST,2026-01-28,1.57,1.5999,1.33,1.33
IPST,2026-01-29,1.38,1.4233,1.1766,1.189
IPST,2026-01-30,1.2082,1.2082,1.03,1.18
IPST,2026-02-02,1.17,1.18,1.03,1.08
