ticker,date,open,high,low,close
IVF,2025-04-28,1.7699,1.7699,1.72,1.7699
IVF,2025-04-29,1.66,1.66,1.38,1.61
IVF,2025-04-30,2.18,3.2,2.18,2.3899
IVF,2025-05-01,2.12,2.26,1.82,1.87
IVF,2025-05-02,1.7801,1.86,1.65,1.8
IVF,2025-05-05,2.13,3.0,2.05,2.33
IVF,2025-05-06,2.11,2.18,1.86,1.9
IVF,2025-05-07,1.88,2.2002,1.87,2.08
IVF,2025-05-08,2.185,2.48,2.13,2.16
IVF,2025-05-09,2.24,2.27,2.0802,2.09
IVF,2025-05-12,2.13,2.23,2.09,2.13
IVF,2025-05-13,2.09,2.15,1.96,1.98
IVF,2025-05-14,2.042,2.042,2.02,2.02
IVF,2025-05-15,1.99,2.039,1.86,1.94
IVF,2025-05-16,1.86,2.05,1.85,1.99
IVF,2025-05-19,2.05,2.2,1.94,2.17
IVF,2025-05-20,2.17,2.31,2.16,2.18
IVF,2025-05-21,1.96,1.99,1.95,1.955
IVF,2025-05-22,1.92,2.0,1.77,1.78
IVF,2025-05-23,1.8,1.8,1.66,1.68
IVF,2025-05-27,1.71,1.72,1.59,1.65
IVF,2025-05-28,1.63,1.7984,1.61,1.73
IVF,2025-05-29,1.75,1.75,1.6601,1.7
IVF,2025-05-30,1.74,1.7462,1.67,1.69
IVF,2025-06-02,1.69,1.69,1.6,1.62
IVF,2025-06-03,1.6,1.65,1.52,1.58
IVF,2025-06-04,1.58,1.6,1.55,1.59
IVF,2025-06-05,1.59,1.59,1.47,1.48
IVF,2025-06-06,1.49,1.5266,1.41,1.46
IVF,2025-06-09,1.46,1.53,1.37,1.51
IVF,2025-06-10,1.48,1.48,1.42,1.42
IVF,2025-06-11,1.43,1.48,1.4,1.46
IVF,2025-06-12,1.43,1.43,1.39,1.42
IVF,2025-06-13,1.42,1.4236,1.3,1.31
IVF,2025-06-16,1.31,1.35,1.28,1.32
IVF,2025-06-17,1.33,1.33,1.25,1.25
IVF,2025-06-18,1.25,1.29,1.25,1.26
IVF,2025-06-20,1.26,1.27,1.21,1.22
IVF,2025-06-23,1.19,1.21,1.04,1.07
IVF,2025-06-24,1.07,1.07,0.9701,1.0
IVF,2025-06-25,1.08,1.53,1.01,1.02
IVF,2025-06-26,1.05,1.12,1.03,1.04
IVF,2025-06-27,1.01,1.03,0.9082,0.9178
IVF,2025-06-30,0.9,0.9198,0.875,0.8799
IVF,2025-07-01,0.87,0.8815,0.8243,0.8446
IVF,2025-07-02,0.82,0.8977,0.82,0.8564
IVF,2025-07-03,0.8622,0.872075,0.8382,0.864
IVF,2025-07-07,0.8437,0.854,0.8,0.8098
IVF,2025-07-08,0.805,0.85,0.805,0.85
IVF,2025-07-09,0.8529,0.894999,0.8201,0.859
IVF,2025-07-10,0.8332,0.8578,0.806,0.82
IVF,2025-07-11,0.7758,0.7758,0.76,0.7758
IVF,2025-07-14,0.7757,0.8,0.736,0.7889
IVF,2025-07-15,0.8449,0.8449,0.7638,0.8019
IVF,2025-07-16,0.7908,0.82,0.7699,0.8199
IVF,2025-07-17,0.83,0.8369,0.77,0.8293
IVF,2025-07-18,0.85,0.92,0.83,0.8428
IVF,2025-07-21,2.8,2.8,2.33,2.55
IVF,2025-07-22,3.66,4.24,3.02,3.46
IVF,2025-07-23,3.01,3.09,2.55,2.6
IVF,2025-07-24,2.56,2.56,2.15,2.19
IVF,2025-07-25,2.15,2.3508,2.0,2.24
IVF,2025-07-28,2.24,2.24,2.095,2.13
IVF,2025-07-29,2.16,2.205,1.71,1.8403
IVF,2025-07-30,1.78,1.9,1.61,1.78
