ticker,date,open,high,low,close
JEM,2025-06-10,3.9,4.05,3.7001,4.01
JEM,2025-06-11,4.1,7.48,4.1,6.94
JEM,2025-06-12,6.18,6.7,5.5116,6.02
JEM,2025-06-13,5.44,6.0,5.44,5.63
JEM,2025-06-16,5.77,5.97,5.36,5.8
JEM,2025-06-17,5.83,5.95,5.61,5.945
JEM,2025-06-18,5.97,6.14,5.7502,6.14
JEM,2025-06-20,6.01,6.48,6.01,6.27
JEM,2025-06-23,6.11,6.35,6.02,6.02
JEM,2025-06-24,6.13,6.35,5.7526,6.05
JEM,2025-06-25,6.1192,7.9,6.1192,6.95
JEM,2025-06-26,6.66,7.2,5.61,5.73
JEM,2025-06-27,6.67,6.67,5.74,6.225
JEM,2025-06-30,6.105,6.105,5.2201,5.25
JEM,2025-07-01,5.31,5.31,4.29,4.62
JEM,2025-07-02,4.64,4.9933,3.87,3.895
JEM,2025-07-03,4.0774,5.3,3.93,4.91
JEM,2025-07-07,4.54,5.0999,3.86,3.885
JEM,2025-07-08,3.99,4.15,3.78,3.87
JEM,2025-07-09,3.85,4.55,3.05,3.3
JEM,2025-07-10,3.26,3.9,3.25,3.4
JEM,2025-07-11,3.65,3.945,3.65,3.73
JEM,2025-07-14,3.62,3.76,3.5,3.52
JEM,2025-07-15,3.5306,3.78,3.51,3.6
JEM,2025-07-16,3.57,3.715,3.57,3.69
JEM,2025-07-17,3.69,4.0667,3.6,3.8
JEM,2025-07-18,3.71,4.0797,3.71,3.98
JEM,2025-07-21,4.0009,4.15,3.93,3.99
JEM,2025-07-22,3.95,4.15,3.84,4.07
JEM,2025-07-23,3.99,4.04,3.81,4.01
JEM,2025-07-24,3.95,4.0,3.79,3.79
JEM,2025-07-25,4.0086,4.02,3.47,3.72
JEM,2025-07-28,3.81,4.1,3.81,4.0
JEM,2025-07-29,4.18,4.2585,4.05,4.22
JEM,2025-07-30,4.4,6.3,4.22,5.935
JEM,2025-07-31,5.83,6.56,5.39,6.04
