ticker,date,open,high,low,close
JLHL,2025-06-26,6.21,6.3,4.2101,4.23
JLHL,2025-06-27,4.25,4.69,4.1,4.5099
JLHL,2025-06-30,3.75,4.4899,3.58,3.75
JLHL,2025-07-01,3.76,3.76,3.3381,3.45
JLHL,2025-07-02,3.38,3.52,3.2,3.34
JLHL,2025-07-03,3.34,3.89,3.05,3.8
JLHL,2025-07-07,3.68,3.76,3.45,3.61
JLHL,2025-07-08,3.64,3.8335,3.2358,3.34
JLHL,2025-07-09,3.37,4.13,3.26,3.88
JLHL,2025-07-10,3.86,4.0,3.6761,3.735
JLHL,2025-07-11,3.9,4.2,3.9,4.16
JLHL,2025-07-14,4.01,4.13,3.92,4.0999
JLHL,2025-07-15,3.97,4.05,3.59,3.895
JLHL,2025-07-16,3.9,3.97,3.65,3.81
JLHL,2025-07-17,3.94,3.94,3.8,3.9119
JLHL,2025-07-18,3.7976,3.8818,3.7201,3.8
JLHL,2025-07-21,3.9,4.199,3.78,4.06
JLHL,2025-07-22,4.015,5.14,4.0,4.98
JLHL,2025-07-23,5.05,5.08,4.7001,4.98
JLHL,2025-07-24,4.8847,5.4319,4.8102,4.9
JLHL,2025-07-25,5.0001,5.2,4.7001,4.97
JLHL,2025-07-28,4.9721,4.9721,4.165,4.71
JLHL,2025-07-29,4.5773,4.64,4.2,4.32
JLHL,2025-07-30,4.44,4.77,4.36,4.48
JLHL,2025-07-31,4.53,4.565,4.2,4.24
JLHL,2025-08-01,4.2,4.6,3.8601,4.0899
JLHL,2025-08-04,3.98,4.07,3.81,4.01
JLHL,2025-08-05,4.0,4.08,3.92,4.03
JLHL,2025-08-06,4.05,4.1401,4.05,4.1401
JLHL,2025-08-07,4.35,4.44,4.2091,4.27
JLHL,2025-08-08,4.1506,4.16,3.9,3.9842
JLHL,2025-08-11,3.9614,4.23,3.86,3.86
JLHL,2025-08-12,3.9025,4.1,3.86,3.86
JLHL,2025-08-13,3.89,3.99,3.86,3.92
JLHL,2025-08-14,3.95,3.95,3.72,3.76
JLHL,2025-08-15,3.55,3.81,3.55,3.66
JLHL,2025-08-18,3.64,3.8697,3.64,3.8
JLHL,2025-08-19,3.83,3.91,3.74,3.75
JLHL,2025-08-20,3.77,3.77,3.64,3.6899
JLHL,2025-08-21,3.73,4.4,3.71,4.3101
JLHL,2025-08-22,4.41,4.41,3.22,4.05
JLHL,2025-08-25,4.0832,4.2,4.05,4.05
JLHL,2025-08-26,3.93,4.31,3.86,4.03
JLHL,2025-08-27,3.99,4.4,3.95,4.09
JLHL,2025-08-28,4.1,4.25,4.1,4.15
JLHL,2025-08-29,4.11,4.11,3.9835,3.9835
JLHL,2025-09-02,4.11,4.6,4.055,4.435
JLHL,2025-09-03,4.3676,4.3702,4.08,4.27
JLHL,2025-09-04,4.25,4.32,4.1,4.23
JLHL,2025-09-05,4.29,4.29,4.0201,4.1
JLHL,2025-09-08,4.07,4.07,3.99,4.05
JLHL,2025-09-09,3.99,4.08,3.99,4.03
JLHL,2025-09-10,4.06,4.1,4.0001,4.05
JLHL,2025-09-11,4.099,4.5999,4.08,4.15
JLHL,2025-09-12,4.1335,4.31,4.13,4.1301
JLHL,2025-09-15,4.17,4.5,4.0,4.1758
JLHL,2025-09-16,4.15,4.2981,4.1101,4.155
JLHL,2025-09-17,4.2,4.22,4.17,4.19
JLHL,2025-09-18,4.17,4.17,4.11,4.16
JLHL,2025-09-19,4.08,4.11,4.07,4.07
JLHL,2025-09-22,4.1541,4.2,4.15,4.2
JLHL,2025-09-23,4.32,4.3268,4.06,4.14
JLHL,2025-09-24,4.16,4.18,3.91,4.05
JLHL,2025-09-25,4.03,4.05,3.88,3.93
JLHL,2025-09-26,3.95,4.3,3.6,3.99
JLHL,2025-09-29,3.94,4.55,3.84,4.3
JLHL,2025-09-30,4.32,4.7,4.13,4.7
JLHL,2025-10-01,4.72,4.72,4.4,4.68
JLHL,2025-10-02,4.65,4.72,4.46,4.46
JLHL,2025-10-03,4.62,4.64,4.1,4.3
JLHL,2025-10-06,4.29,4.47,4.23,4.23
JLHL,2025-10-07,4.28,4.34,4.17,4.17
