ticker,date,open,high,low,close
JOYY,2025-03-31,42.01,42.49,41.631,42.04
JOYY,2025-04-01,42.4,42.44,41.8,42.12
JOYY,2025-04-02,42.5,42.6,41.8,42.3
JOYY,2025-04-03,41.81,42.44,41.62,42.11
JOYY,2025-04-04,40.07,40.86,38.91,39.16
JOYY,2025-04-07,38.0,40.31,38.0,38.88
JOYY,2025-04-08,39.9,39.98,37.78,38.18
JOYY,2025-04-09,37.53,39.8,37.53,39.01
JOYY,2025-04-10,39.635,39.635,37.94,38.3
JOYY,2025-04-11,37.95,39.3,37.95,39.3
JOYY,2025-04-14,39.3,40.74,39.3,40.29
JOYY,2025-04-15,40.52,42.2,40.52,41.71
JOYY,2025-04-16,41.1,41.335,39.9,40.26
JOYY,2025-04-17,39.89,40.32,39.14,39.2
JOYY,2025-04-21,38.97,39.335,38.4,39.28
JOYY,2025-04-22,39.55,40.72,39.522,40.51
JOYY,2025-04-23,41.23,41.23,40.34,40.665
JOYY,2025-04-24,40.25,41.06,39.79,41.02
JOYY,2025-04-25,40.73,40.73,40.58,40.73
JOYY,2025-04-28,40.82,41.5,40.37,41.17
JOYY,2025-04-29,41.59,41.87,41.2,41.42
JOYY,2025-04-30,40.75,41.75,40.31,41.155
JOYY,2025-05-01,41.21,41.74,40.68,40.85
JOYY,2025-05-02,41.3,42.39,41.16,42.245
JOYY,2025-05-05,41.83,42.23,41.535,42.01
JOYY,2025-05-06,41.02,42.77,41.02,42.37
JOYY,2025-05-07,42.02,42.86,42.02,42.815
JOYY,2025-05-08,43.26,43.43,42.46,42.86
JOYY,2025-05-09,42.32,42.32,41.88,42.32
JOYY,2025-05-12,42.51,43.115,42.51,42.86
JOYY,2025-05-13,42.5281,42.925,42.39,42.45
JOYY,2025-05-14,42.01,43.19,42.01,42.3
JOYY,2025-05-15,42.56,42.74,41.88,42.68
JOYY,2025-05-16,42.16,42.62,42.0,42.2
JOYY,2025-05-19,42.0,42.595,42.0,42.53
JOYY,2025-05-20,42.18,43.68,42.18,43.39
JOYY,2025-05-21,43.06,44.0,43.06,43.15
JOYY,2025-05-22,43.245,44.08,43.245,43.75
JOYY,2025-05-23,42.96,43.8,42.96,43.64
JOYY,2025-05-27,42.0,46.43,42.0,46.185
