ticker,date,open,high,low,close
KDK,2025-09-25,8.75,10.4809,7.6,7.95
KDK,2025-09-26,8.145,8.29,7.32,7.42
KDK,2025-09-29,7.95,8.2,7.33,7.35
KDK,2025-09-30,7.525,7.75,6.84,6.84
KDK,2025-10-01,6.84,6.95,5.77,5.96
KDK,2025-10-02,6.66,7.24,6.66,6.83
KDK,2025-10-03,7.66,7.7,7.05,7.43
KDK,2025-10-06,7.878,8.25,7.45,8.09
KDK,2025-10-07,8.415,9.14,7.91,8.33
KDK,2025-10-08,8.465,8.47,7.55,7.94
KDK,2025-10-09,8.23,9.815,8.1607,9.77
KDK,2025-10-10,10.15,10.3,8.76,9.04
KDK,2025-10-13,9.21,9.78,8.3827,9.25
KDK,2025-10-14,9.18,9.29,8.74,9.03
KDK,2025-10-15,9.39,9.4538,8.77,8.9
KDK,2025-10-16,8.94,9.3,8.07,8.13
KDK,2025-10-17,8.0,8.11,7.45,7.74
KDK,2025-10-20,8.21,8.55,7.8904,8.31
KDK,2025-10-21,8.22,8.25,7.645,7.84
KDK,2025-10-22,7.45,7.45,7.0,7.45
KDK,2025-10-23,7.31,7.94,7.175,7.81
KDK,2025-10-24,7.79,8.71,7.61,8.38
KDK,2025-10-27,8.73,8.94,8.53,8.7
KDK,2025-10-28,8.52,9.105,8.51,8.85
KDK,2025-10-29,8.63,9.22,8.56,9.17
KDK,2025-10-30,9.22,9.6,9.0152,9.55
KDK,2025-10-31,9.56,9.63,9.0,9.08
KDK,2025-11-03,9.25,9.3884,8.17,8.33
KDK,2025-11-04,8.1,8.33,7.9,7.99
KDK,2025-11-05,7.99,7.9999,7.51,7.78
KDK,2025-11-06,7.75,7.8,7.2,7.37
KDK,2025-11-07,7.42,7.8,7.16,7.79
KDK,2025-11-10,8.13,8.295,7.69,7.98
KDK,2025-11-11,7.72,8.1699,7.6,7.95
KDK,2025-11-12,7.92,8.05,7.4,8.0
KDK,2025-11-13,7.25,7.47,6.43,6.515
KDK,2025-11-14,6.39,6.9,6.14,6.72
KDK,2025-11-17,6.72,6.98,6.44,6.71
KDK,2025-11-18,6.59,6.91,6.515,6.85
KDK,2025-11-19,6.82,6.88,6.179,6.26
KDK,2025-11-20,6.42,7.08,6.24,6.51
KDK,2025-11-21,6.4,6.93,6.11,6.36
KDK,2025-11-24,6.35,6.44,5.87,6.115
KDK,2025-11-25,6.19,6.19,5.82,6.0
KDK,2025-11-26,6.1,6.28,5.885,6.06
KDK,2025-11-28,6.19,6.3359,5.9476,6.0
KDK,2025-12-01,6.0,6.01,5.6,5.93
KDK,2025-12-02,6.0,6.0,5.43,5.57
KDK,2025-12-03,5.58,5.96,5.45,5.96
KDK,2025-12-04,5.9,6.01,5.62,6.0
KDK,2025-12-05,6.11,6.18,5.85,6.02
KDK,2025-12-08,6.17,7.0496,6.17,6.78
KDK,2025-12-09,6.9,7.84,6.8075,7.6
KDK,2025-12-10,7.7,8.5,7.0,8.27
KDK,2025-12-11,8.21,8.9,8.01,8.27
KDK,2025-12-12,8.43,8.83,8.23,8.28
KDK,2025-12-15,8.1,8.78,8.1,8.25
KDK,2025-12-16,8.205,8.92,8.02,8.85
KDK,2025-12-17,8.82,9.05,8.61,8.755
KDK,2025-12-18,8.88,9.72,8.79,9.33
KDK,2025-12-19,9.34,10.33,9.07,10.31
KDK,2025-12-22,10.7,11.35,10.3901,10.88
KDK,2025-12-23,10.25,10.5,9.5,10.28
KDK,2025-12-24,10.34,10.534,9.96,10.44
KDK,2025-12-26,10.51,10.89,9.8543,10.3
KDK,2025-12-29,10.06,10.7,10.0,10.18
KDK,2025-12-30,10.15,10.925,10.0,10.82
KDK,2025-12-31,10.95,11.02,10.63,10.92
KDK,2026-01-02,11.0,11.1,10.5594,10.83
KDK,2026-01-05,10.83,10.9956,10.07,10.43
KDK,2026-01-06,10.48,10.55,9.39,9.71
KDK,2026-01-07,9.78,10.0996,9.57,9.61
KDK,2026-01-08,9.65,10.3,9.6,10.03
KDK,2026-01-09,10.15,10.269,9.4,9.42
KDK,2026-01-12,9.6,9.95,9.38,9.75
KDK,2026-01-13,9.92,9.95,9.355,9.39
KDK,2026-01-14,9.44,10.0,8.66,9.34
KDK,2026-01-15,9.4,9.73,9.31,9.48
KDK,2026-01-16,9.61,10.14,9.55,9.95
KDK,2026-01-20,9.73,10.41,9.35,9.985
KDK,2026-01-21,10.03,10.29,8.98,9.21
KDK,2026-01-22,9.47,9.6049,9.045,9.19
KDK,2026-01-23,9.26,9.79,9.22,9.38
KDK,2026-01-26,9.38,9.4,8.8831,8.95
KDK,2026-01-27,9.02,9.54,8.95,9.5
KDK,2026-01-28,9.54,9.7399,9.27,9.49
KDK,2026-01-29,9.46,9.62,9.1,9.36
KDK,2026-01-30,9.2,9.35,8.97,9.11
KDK,2026-02-02,9.1,9.3,9.0,9.2
