ticker,date,open,high,low,close
KG,2025-05-28,29.0,36.8,26.595,33.0
KG,2025-05-29,30.5,30.5065,24.93,26.24
KG,2025-05-30,25.74,26.45,23.5,25.41
KG,2025-06-02,25.295,25.98,24.405,24.42
KG,2025-06-03,23.96,23.96,21.81,21.975
KG,2025-06-04,21.33,23.164,20.51,22.0
KG,2025-06-05,21.5,22.02,21.24,22.02
KG,2025-06-06,22.88,25.775,22.5,25.68
KG,2025-06-09,26.2,30.365,23.2045,30.06
KG,2025-06-10,30.14,35.37,27.3,27.39
KG,2025-06-11,26.45,27.4,24.25,25.56
KG,2025-06-12,24.63,29.0,24.63,26.7
KG,2025-06-13,27.0,27.0,25.36,25.36
KG,2025-06-16,24.94,26.49,23.675,25.5
KG,2025-06-17,25.705,25.73,23.41,23.41
KG,2025-06-18,24.05,25.825,24.0,25.0
KG,2025-06-20,25.28,25.8048,24.34,25.26
KG,2025-06-23,25.28,26.73,24.61,24.61
KG,2025-06-24,25.1488,26.0,25.02,25.02
KG,2025-06-25,25.42,25.8604,23.91,24.26
KG,2025-06-26,24.5,26.02,23.6,24.7
KG,2025-06-27,24.76,27.81,24.75,27.81
KG,2025-06-30,27.5,27.95,26.32,26.52
KG,2025-07-01,26.38,26.47,25.29,25.495
KG,2025-07-02,25.32,26.06,24.83,25.42
KG,2025-07-03,24.65,26.1,24.65,25.44
KG,2025-07-07,25.4,25.4,23.76,24.31
KG,2025-07-08,24.35,26.25,24.35,25.03
KG,2025-07-09,25.034,25.44,24.8,25.2
KG,2025-07-10,25.0,25.755,24.4801,25.0
KG,2025-07-11,24.46,24.46,23.9175,24.46
KG,2025-07-14,24.73,25.0,23.96,24.5
KG,2025-07-15,24.78,24.99,22.785,22.96
KG,2025-07-16,22.98,23.5,22.76,23.1
KG,2025-07-17,22.85,23.615,22.85,23.1
KG,2025-07-18,23.45,23.85,22.61,22.92
KG,2025-07-21,23.03,23.71,22.98,23.71
KG,2025-07-22,23.44,25.39,23.25,25.14
KG,2025-07-23,24.845,25.275,24.5001,24.79
KG,2025-07-24,23.94,25.48,23.94,25.28
KG,2025-07-25,25.0578,25.95,25.0578,25.67
KG,2025-07-28,25.71,25.71,24.82,24.82
KG,2025-07-29,25.27,25.27,24.61,24.87
KG,2025-07-30,24.76,28.0,24.75,26.36
KG,2025-07-31,25.5855,27.215,25.3349,27.02
KG,2025-08-01,26.19,27.28,26.19,27.13
KG,2025-08-04,27.84,27.84,26.71,27.03
KG,2025-08-05,27.95,27.95,25.865,26.82
KG,2025-08-06,27.24,27.5,26.75,26.81
KG,2025-08-07,27.0,28.995,27.0,28.64
KG,2025-08-08,28.61,29.52,27.39,28.61
KG,2025-08-11,28.99,29.0,22.53,29.0
KG,2025-08-12,28.49,29.86,27.34,29.3
KG,2025-08-13,29.98,31.075,29.0001,29.6
KG,2025-08-14,29.57,31.16,28.315,29.7
KG,2025-08-15,29.68,30.0,27.0798,27.47
KG,2025-08-18,27.12,28.67,26.995,27.36
KG,2025-08-19,27.23,27.52,25.4001,26.79
KG,2025-08-20,27.0,27.72,25.5001,26.8
KG,2025-08-21,26.69,27.38,25.61,26.91
KG,2025-08-22,27.0,27.78,26.53,27.78
KG,2025-08-25,28.365,28.7,27.34,27.34
KG,2025-08-26,27.71,28.81,26.9001,28.4
KG,2025-08-27,28.82,28.82,27.45,28.15
KG,2025-08-28,27.97,28.41,27.26,27.54
KG,2025-08-29,27.64,27.64,26.0,26.95
KG,2025-09-02,26.03,26.63,25.05,26.35
KG,2025-09-03,26.04,26.15,25.58,25.58
KG,2025-09-04,25.0,26.5,25.0,25.99
KG,2025-09-05,26.0,26.23,25.8,25.84
KG,2025-09-08,26.385,27.05,25.28,25.66
KG,2025-09-09,25.04,27.415,25.04,25.25
KG,2025-09-10,26.01,26.705,25.43,25.725
KG,2025-09-11,26.46,26.99,26.0,26.405
KG,2025-09-12,25.13,27.485,25.03,27.2
KG,2025-09-15,26.6,27.5,25.75,27.3
KG,2025-09-16,27.34,27.88,27.065,27.88
KG,2025-09-17,27.87,28.17,27.69,27.98
KG,2025-09-18,27.01,28.25,27.01,28.13
KG,2025-09-19,28.0,29.11,27.26,29.06
KG,2025-09-22,29.13,29.13,28.3,28.89
KG,2025-09-23,28.94,28.96,28.38,28.81
KG,2025-09-24,28.87,28.87,27.795,28.33
KG,2025-09-25,28.42,28.42,26.79,26.8
KG,2025-09-26,27.0,27.495,26.685,26.8
KG,2025-09-29,27.0092,27.365,26.32,26.36
KG,2025-09-30,25.96,27.75,25.96,27.31
KG,2025-10-01,27.22,27.55,27.11,27.26
KG,2025-10-02,27.24,27.24,25.47,26.56
KG,2025-10-03,26.525,26.525,25.84,25.84
KG,2025-10-06,26.54,26.58,26.0,26.09
KG,2025-10-07,25.65,26.13,25.44,25.67
KG,2025-10-08,25.615,26.2499,25.6,26.24
KG,2025-10-09,25.7617,26.13,25.51,25.74
KG,2025-10-10,25.435,25.63,25.31,25.63
KG,2025-10-13,25.44,25.5,24.94,25.47
KG,2025-10-14,25.615,26.125,25.01,26.125
KG,2025-10-15,25.18,25.935,25.17,25.49
KG,2025-10-16,25.4594,25.4594,24.66,25.25
KG,2025-10-17,24.83,25.18,24.58,25.18
KG,2025-10-20,25.0494,25.6001,25.0494,25.45
KG,2025-10-21,25.35,26.2,24.92,25.95
KG,2025-10-22,25.625,26.22,25.0,26.03
KG,2025-10-23,25.83,26.29,25.65,26.11
KG,2025-10-24,25.955,26.275,25.69,26.2
KG,2025-10-27,25.38,26.44,25.38,26.24
KG,2025-10-28,26.0,26.0,24.37,24.89
KG,2025-10-29,24.7,25.16,23.405,23.48
KG,2025-10-30,23.48,24.3,21.18,21.7
KG,2025-10-31,21.44,21.88,19.775,20.2
KG,2025-11-03,20.0,23.2,19.91,22.71
KG,2025-11-04,22.3184,23.23,21.67,22.76
KG,2025-11-05,22.78,23.885,22.78,23.61
KG,2025-11-06,21.57,22.97,18.69,18.95
KG,2025-11-07,18.63,19.285,18.11,18.42
KG,2025-11-10,18.46,18.5572,17.75,18.11
KG,2025-11-11,18.0451,18.4,16.97,17.09
KG,2025-11-12,16.025,17.44,16.005,16.8
KG,2025-11-13,16.0775,16.39,15.845,16.39
KG,2025-11-14,16.0,16.1815,15.885,15.91
KG,2025-11-17,15.0,15.7,14.3,14.905
KG,2025-11-18,14.695,14.7,13.87,14.26
KG,2025-11-19,14.0,15.0,13.99,13.99
KG,2025-11-20,14.5,14.99,14.43,14.43
KG,2025-11-21,14.09,14.81,14.09,14.79
KG,2025-11-24,14.93,14.93,14.0,14.1193
KG,2025-11-25,13.76,14.83,13.76,14.81
KG,2025-11-26,14.86,14.86,14.36,14.85
KG,2025-11-28,14.2,14.915,14.2,14.89
KG,2025-12-01,14.75,14.75,14.1,14.1
KG,2025-12-02,13.81,14.0,12.5501,12.975
KG,2025-12-03,12.7,14.4299,12.7,14.41
KG,2025-12-04,14.24,14.5,13.455,13.62
KG,2025-12-05,13.59,13.72,12.95,13.04
KG,2025-12-08,13.0,13.16,11.7,12.63
KG,2025-12-09,12.85,12.85,11.76,12.05
KG,2025-12-10,12.0,12.1,11.27,11.39
KG,2025-12-11,11.5,11.605,10.54,10.65
KG,2025-12-12,10.82,10.82,10.03,10.37
KG,2025-12-15,10.525,10.6279,9.9,10.38
KG,2025-12-16,10.675,10.92,10.21,10.87
KG,2025-12-17,10.6101,11.12,10.6101,10.99
KG,2025-12-18,11.0,11.17,10.6,10.91
KG,2025-12-19,10.91,10.99,10.0,10.73
KG,2025-12-22,10.77,10.77,10.1,10.53
KG,2025-12-23,10.4,10.57,10.13,10.23
KG,2025-12-24,9.91,10.5,9.88,10.44
KG,2025-12-26,10.44,10.47,10.06,10.19
KG,2025-12-29,10.06,10.06,9.395,9.48
KG,2025-12-30,9.534,10.1,9.2501,9.62
KG,2025-12-31,9.81,10.41,9.56,10.24
KG,2026-01-02,10.16,10.16,9.06,9.4
KG,2026-01-05,9.21,10.11,9.21,9.37
KG,2026-01-06,9.645,9.645,8.88,8.98
KG,2026-01-07,8.9,8.9,8.48,8.48
KG,2026-01-08,8.4,8.905,8.1,8.68
KG,2026-01-09,8.6834,8.82,8.31,8.49
KG,2026-01-12,8.21,8.8,8.07,8.62
KG,2026-01-13,8.43,8.8,8.26,8.68
KG,2026-01-14,8.83,9.29,8.65,9.29
KG,2026-01-15,9.49,9.855,8.54,9.43
KG,2026-01-16,9.37,10.74,9.37,9.88
KG,2026-01-20,9.195,9.575,8.77,8.88
KG,2026-01-21,9.09,9.665,8.765,9.14
KG,2026-01-22,9.3,10.205,9.28,10.205
KG,2026-01-23,10.41,10.5,10.2285,10.33
KG,2026-01-26,10.06,10.47,9.9,10.11
KG,2026-01-27,10.345,10.5,10.19,10.5
KG,2026-01-28,10.31,10.3375,9.78,10.12
KG,2026-01-29,10.35,10.35,10.0,10.14
KG,2026-01-30,10.4649,11.87,10.4649,11.87
KG,2026-02-02,11.88,12.5,11.6471,12.5
