ticker,date,open,high,low,close
KMRK,2025-07-16,4.48,5.5,4.1,4.95
KMRK,2025-07-17,4.39,4.6,4.38,4.45
KMRK,2025-07-18,4.61,4.73,2.19,2.45
KMRK,2025-07-21,2.2,2.2,1.9,2.15
KMRK,2025-07-22,2.01,2.0827,1.91,2.01
KMRK,2025-07-23,1.96,2.07,1.96,2.02
KMRK,2025-07-24,2.08,2.36,1.86,1.91
KMRK,2025-07-25,1.9,1.918,1.68,1.73
KMRK,2025-07-28,1.8,1.93,1.66,1.75
KMRK,2025-07-29,1.74,1.74,1.52,1.64
KMRK,2025-07-30,1.58,1.66,1.52,1.56
KMRK,2025-07-31,1.56,1.58,1.31,1.4
KMRK,2025-08-01,1.348,1.36,1.19,1.22
KMRK,2025-08-04,1.29,1.71,1.2503,1.49
KMRK,2025-08-05,1.51,1.51,1.37,1.43
KMRK,2025-08-06,1.49,1.63,1.41,1.61
KMRK,2025-08-07,1.53,1.6,1.49,1.6
KMRK,2025-08-08,1.55,1.6955,1.55,1.61
KMRK,2025-08-11,1.55,1.646,1.37,1.42
KMRK,2025-08-12,1.4345,1.4622,1.36,1.43
KMRK,2025-08-13,1.42,1.47,1.3832,1.47
KMRK,2025-08-14,1.47,1.47,1.35,1.43
KMRK,2025-08-15,1.39,1.418,1.28,1.35
KMRK,2025-08-18,1.32,1.41,1.22,1.31
KMRK,2025-08-19,1.29,1.4,1.26,1.27
KMRK,2025-08-20,1.26,1.35,1.23,1.29
KMRK,2025-08-21,1.2959,1.3265,1.2464,1.3
KMRK,2025-08-22,1.28,1.36,1.28,1.33
KMRK,2025-08-25,1.36,1.39,1.29,1.38
KMRK,2025-08-26,1.3366,1.59,1.2972,1.34
KMRK,2025-08-27,1.34,1.34,1.25,1.32
KMRK,2025-08-28,1.32,1.32,1.2502,1.31
KMRK,2025-08-29,1.32,1.35,1.25,1.2665
KMRK,2025-09-02,1.23,1.71,1.18,1.44
KMRK,2025-09-03,1.33,1.3999,1.2554,1.28
KMRK,2025-09-04,1.3345,1.58,1.3001,1.57
KMRK,2025-09-05,1.5,1.55,1.35,1.4745
KMRK,2025-09-08,1.43,1.5,1.38,1.4029
KMRK,2025-09-09,1.48,1.68,1.44,1.66
KMRK,2025-09-10,1.63,1.8,1.55,1.78
KMRK,2025-09-11,1.8,1.8094,1.62,1.69
KMRK,2025-09-12,1.66,1.8,1.6297,1.67
KMRK,2025-09-15,1.61,2.0,1.61,1.85
KMRK,2025-09-16,1.74,1.82,1.66,1.68
KMRK,2025-09-17,1.76,1.84,1.52,1.65
KMRK,2025-09-18,1.65,1.7125,1.51,1.52
KMRK,2025-09-19,1.49,1.6735,1.3601,1.52
KMRK,2025-09-22,1.44,1.55,1.44,1.509
KMRK,2025-09-23,1.42,1.531,1.3747,1.46
KMRK,2025-09-24,1.5,1.5735,1.46,1.5
KMRK,2025-09-25,1.4,1.49,1.4,1.49
KMRK,2025-09-26,1.45,1.49,1.41,1.43
KMRK,2025-09-29,1.44,1.4643,1.42,1.45
KMRK,2025-09-30,1.499,1.499,1.4142,1.44
KMRK,2025-10-01,1.4102,1.579,1.39,1.57
KMRK,2025-10-02,1.485,1.51,1.42,1.42
KMRK,2025-10-03,1.45,1.4502,1.3902,1.4
KMRK,2025-10-06,1.4,1.4399,1.39,1.39
KMRK,2025-10-07,1.38,1.38,1.3401,1.37
KMRK,2025-10-08,1.34,1.39,1.32,1.35
KMRK,2025-10-09,1.43,1.5477,1.37,1.39
KMRK,2025-10-10,1.46,1.46,1.26,1.26
KMRK,2025-10-13,1.38,1.3996,1.2001,1.33
KMRK,2025-10-14,1.318,1.3419,1.28,1.29
KMRK,2025-10-15,1.32,1.32,1.24,1.24
KMRK,2025-10-16,1.37,1.54,1.3,1.45
KMRK,2025-10-17,1.69,1.82,1.3,1.39
KMRK,2025-10-20,1.27,1.37,1.16,1.27
KMRK,2025-10-21,1.22,1.24,1.13,1.16
KMRK,2025-10-22,1.13,1.2,1.12,1.13
KMRK,2025-10-23,1.16,1.248,1.16,1.24
KMRK,2025-10-24,1.2,1.24,1.16,1.21
KMRK,2025-10-27,1.22,1.26,1.22,1.22
KMRK,2025-10-28,1.2,1.24,1.19,1.2003
KMRK,2025-10-29,1.19,1.19,1.062,1.08
KMRK,2025-10-30,1.09,1.11,1.07,1.093
KMRK,2025-10-31,1.1041,1.13,1.07,1.08
KMRK,2025-11-03,1.0606,1.109,1.06,1.07
KMRK,2025-11-04,1.0542,1.08,0.9985,1.05
KMRK,2025-11-05,0.97,1.039,0.95,0.95
KMRK,2025-11-06,0.93,0.95,0.8851,0.9
KMRK,2025-11-07,0.9,0.94,0.86,0.905
KMRK,2025-11-10,0.9015,0.945,0.9,0.94
KMRK,2025-11-11,0.9,1.0798,0.9,1.02
KMRK,2025-11-12,1.02,1.06,0.97,1.06
KMRK,2025-11-13,0.98,1.0799,0.98,1.06
KMRK,2025-11-14,1.03,1.06,1.0101,1.03
KMRK,2025-11-17,1.07,1.07,1.0,1.025
KMRK,2025-11-18,1.0,1.02,0.9738,0.98
KMRK,2025-11-19,0.986,1.02,0.982,0.99
KMRK,2025-11-20,1.03,1.05,1.0,1.01
KMRK,2025-11-21,1.005,1.05,1.0,1.0499
KMRK,2025-11-24,1.05,1.07,1.0,1.0
KMRK,2025-11-25,1.04,1.06,0.9881,1.06
KMRK,2025-11-26,1.0507,1.07,1.03,1.06
KMRK,2025-11-28,1.06,1.0879,1.04,1.0879
KMRK,2025-12-01,1.1,1.46,1.08,1.4
KMRK,2025-12-02,1.35,1.39,1.18,1.19
