ticker,date,open,high,low,close
KMTS,2025-03-06,22.95,22.95,21.0,21.55
KMTS,2025-03-07,21.99,21.99,20.8,20.99
KMTS,2025-03-10,20.4,22.95,20.4,21.05
KMTS,2025-03-11,20.9,21.13,20.9,21.13
KMTS,2025-03-12,21.31,22.0794,21.0,21.16
KMTS,2025-03-13,20.95,21.575,20.0,20.41
KMTS,2025-03-14,20.25,22.0,20.165,21.5
KMTS,2025-03-17,21.48,25.39,21.28,24.55
KMTS,2025-03-18,24.41,25.04,22.3,23.2
KMTS,2025-03-19,22.92,23.935,22.029,23.0
KMTS,2025-03-20,22.89,23.9,22.3275,23.9
KMTS,2025-03-21,23.9,25.35,23.055,24.77
KMTS,2025-03-24,24.94,25.4,24.0,24.5
KMTS,2025-03-25,24.52,25.98,24.11,25.21
KMTS,2025-03-26,24.51,25.53,23.4,23.76
KMTS,2025-03-27,23.8,24.65,23.8,24.02
KMTS,2025-03-28,23.96,25.155,23.24,23.43
KMTS,2025-03-31,23.01,25.669,23.01,24.92
KMTS,2025-04-01,24.92,25.51,23.75,24.58
KMTS,2025-04-02,24.505,26.06,24.505,25.7
KMTS,2025-04-03,25.44,25.85,23.2,24.03
KMTS,2025-04-04,23.79,24.06,22.41,23.29
KMTS,2025-04-07,23.0,24.725,22.5,22.68
KMTS,2025-04-08,22.78,23.955,21.51,21.8
KMTS,2025-04-09,21.52,24.99,21.52,23.85
KMTS,2025-04-10,23.4,24.25,22.4,24.2
KMTS,2025-04-11,24.34,24.55,22.2,24.28
KMTS,2025-04-14,23.915,24.47,22.5,23.83
KMTS,2025-04-15,22.91,24.13,22.0001,24.13
KMTS,2025-04-16,24.08,26.15,23.7167,24.58
KMTS,2025-04-17,24.55,25.335,24.5,24.5
KMTS,2025-04-21,24.03,25.145,22.85,23.54
KMTS,2025-04-22,23.43,24.99,23.17,24.0
KMTS,2025-04-23,23.98,24.81,23.98,24.34
KMTS,2025-04-24,24.64,24.99,23.405,24.99
KMTS,2025-04-25,23.98,25.865,23.98,24.24
KMTS,2025-04-28,24.51,25.31,23.66,25.12
KMTS,2025-04-29,24.83,25.465,24.21,24.5
KMTS,2025-04-30,24.28,24.315,23.755,24.06
KMTS,2025-05-01,23.83,24.72,22.77,22.96
KMTS,2025-05-02,23.19,23.75,22.945,23.75
KMTS,2025-05-05,23.75,23.785,21.94,22.57
KMTS,2025-05-06,22.53,23.11,21.8,22.19
KMTS,2025-05-07,22.14,23.02,21.76,21.84
KMTS,2025-05-08,22.0,22.9004,21.66,22.63
KMTS,2025-05-09,22.55,23.34,22.32,22.675
KMTS,2025-05-12,23.29,23.91,23.0,23.58
KMTS,2025-05-13,23.34,23.6,22.89,22.97
KMTS,2025-05-14,23.05,23.05,22.14,22.4
KMTS,2025-05-15,22.39,24.15,21.965,23.75
KMTS,2025-05-16,23.75,25.05,23.5,24.615
KMTS,2025-05-19,24.61,24.91,23.8,24.24
KMTS,2025-05-20,24.12,25.5,23.8815,24.92
KMTS,2025-05-21,24.37,24.76,22.73,23.09
KMTS,2025-05-22,23.06,23.595,22.23,22.3
KMTS,2025-05-23,22.19,22.19,21.54,22.19
KMTS,2025-05-27,22.41,23.1,22.07,22.52
KMTS,2025-05-28,22.5,23.3768,22.05,22.86
KMTS,2025-05-29,22.69,23.62,22.51,22.69
KMTS,2025-05-30,22.6,23.085,22.21,22.52
KMTS,2025-06-02,22.52,22.52,20.64,20.68
KMTS,2025-06-03,20.77,21.17,19.355,19.63
KMTS,2025-06-04,19.54,20.25,18.92,19.79
KMTS,2025-06-05,19.76,20.37,19.33,20.055
KMTS,2025-06-06,20.08,21.16,19.56,20.7
KMTS,2025-06-09,21.05,22.26,20.59,21.17
KMTS,2025-06-10,21.16,21.925,20.385,20.5
KMTS,2025-06-11,20.33,20.9,19.48,19.49
KMTS,2025-06-12,19.26,20.005,18.62,18.755
KMTS,2025-06-13,18.42,18.435,17.34,17.61
KMTS,2025-06-16,17.65,18.405,16.63,16.65
KMTS,2025-06-17,16.52,16.52,14.45,15.07
KMTS,2025-06-18,14.97,15.76,14.15,15.505
