ticker,date,open,high,low,close
KUST,2026-01-08,2.59,3.1,2.3,2.8497
KUST,2026-01-09,3.27,3.3,2.4201,2.59
KUST,2026-01-12,2.42,2.43,1.88,2.14
KUST,2026-01-13,2.1,2.1688,1.97,2.04
KUST,2026-01-14,1.94,2.0515,1.8547,1.92
KUST,2026-01-15,1.96,2.7,1.9,2.31
KUST,2026-01-16,2.26,2.44,2.01,2.14
KUST,2026-01-20,2.17,2.29,2.1,2.1916
KUST,2026-01-21,2.1,2.2414,1.98,2.16
KUST,2026-01-22,1.97,2.14,1.94,2.02
KUST,2026-01-23,3.49,4.48,2.57,2.665
KUST,2026-01-26,2.14,2.2,1.8,2.17
KUST,2026-01-27,2.04,2.179,1.88,2.11
KUST,2026-01-28,2.53,2.53,2.11,2.14
KUST,2026-01-29,1.952,2.07,1.8858,2.0
KUST,2026-01-30,1.9,1.95,1.69,1.72
KUST,2026-02-02,1.54,1.54,1.51,1.54
