ticker,date,open,high,low,close
KYNB,2026-01-08,9.51,9.7,9.35,9.5
KYNB,2026-01-09,9.51,9.66,9.22,9.22
KYNB,2026-01-12,9.1,9.21,9.02,9.07
KYNB,2026-01-13,9.23,9.4618,9.06,9.13
KYNB,2026-01-14,9.08,9.58,9.08,9.5
KYNB,2026-01-15,9.27,9.37,9.05,9.07
KYNB,2026-01-16,9.1,9.3843,9.02,9.14
KYNB,2026-01-20,8.96,9.13,8.52,8.55
KYNB,2026-01-21,8.55,8.93,8.423,8.86
KYNB,2026-01-22,8.85,9.08,8.655,9.08
KYNB,2026-01-23,9.004,9.0885,8.56,8.74
KYNB,2026-01-26,8.69,8.9222,8.46,8.53
KYNB,2026-01-27,8.58,8.58,8.36,8.43
KYNB,2026-01-28,8.42,8.96,8.42,8.775
KYNB,2026-01-29,8.76,9.04,8.01,8.01
KYNB,2026-01-30,8.07,8.13,7.485,7.88
KYNB,2026-02-02,7.82,8.49,7.63,8.16
