ticker,date,open,high,low,close
LIFE,2015-05-07,185.5,210.14,180.6,209.3
LIFE,2015-05-08,210.28,272.72,210.28,269.78
LIFE,2015-05-11,284.9,303.8,274.4,290.5
LIFE,2015-05-12,303.52,306.46,269.36,301.98
LIFE,2015-05-13,301.98,308.0,254.8,274.26
LIFE,2015-05-14,268.66,298.76,256.9,288.12
LIFE,2015-05-15,294.98,300.86,264.38,281.82
LIFE,2015-05-18,264.84,283.22,264.6,278.6
LIFE,2015-05-19,285.46,285.46,273.42,281.4
LIFE,2015-05-20,280.56,324.24,267.12,320.32
LIFE,2015-05-21,324.8,389.48,320.6,336.0
LIFE,2015-05-22,322.0,363.58,322.0,345.94
LIFE,2015-05-26,352.8,371.0,336.42,354.76
LIFE,2015-05-27,361.62,375.9,329.56,345.66
LIFE,2015-05-28,339.08,351.96,334.74,335.72
LIFE,2015-05-29,330.26,336.0,309.82,320.46
LIFE,2015-06-01,338.38,339.78,317.66,328.72
LIFE,2015-06-02,330.54,368.76,320.24,353.36
LIFE,2015-06-03,349.86,395.22,341.04,390.32
LIFE,2015-06-04,396.06,396.06,372.4,382.62
LIFE,2015-06-05,375.76,386.68,350.84,362.18
LIFE,2015-06-08,362.46,377.86,346.5,349.02
LIFE,2015-06-09,349.44,349.44,305.2,309.96
LIFE,2015-06-10,316.12,329.6,284.06,315.56
LIFE,2015-06-11,315.98,327.04,290.54,303.24
LIFE,2015-06-12,305.48,321.02,295.96,311.22
LIFE,2015-06-15,308.0,325.64,305.76,317.1
LIFE,2015-06-16,312.9,321.86,304.5,307.3
LIFE,2015-06-17,305.9,321.58,302.68,313.88
LIFE,2015-06-18,311.78,324.24,303.24,309.26
LIFE,2015-06-19,312.2,324.66,302.54,305.48
LIFE,2015-06-22,302.4,320.74,302.4,319.9
LIFE,2015-06-23,319.9,321.44,302.4,307.16
LIFE,2015-06-24,304.08,314.02,304.08,307.02
LIFE,2015-06-25,305.62,313.18,271.18,274.4
LIFE,2015-06-26,272.44,281.82,262.5,275.24
LIFE,2015-06-29,276.08,276.08,259.14,263.9
LIFE,2015-06-30,263.34,268.52,254.73,259.28
LIFE,2015-07-01,258.58,263.06,232.4,238.0
LIFE,2015-07-02,238.0,238.0,226.24,230.86
LIFE,2015-07-06,231.0,238.28,220.92,227.36
LIFE,2015-07-07,226.38,232.96,215.6,226.24
LIFE,2015-07-08,224.84,224.84,206.64,209.44
LIFE,2015-07-09,211.12,219.24,211.12,214.62
LIFE,2015-07-10,218.82,260.82,217.14,257.04
LIFE,2015-07-13,257.6,274.96,257.6,272.3
LIFE,2015-07-14,269.5,270.84,247.8,251.44
LIFE,2015-07-15,249.9,251.16,231.84,244.86
LIFE,2015-07-16,246.26,254.94,243.46,250.18
LIFE,2015-07-17,251.3,261.94,237.3,237.72
LIFE,2015-07-20,240.94,240.94,221.48,223.86
LIFE,2015-07-21,225.4,225.4,216.3,221.2
LIFE,2015-07-22,220.08,240.38,220.08,233.8
LIFE,2015-07-23,245.0,246.26,229.88,233.38
LIFE,2015-07-24,233.24,256.76,214.62,247.94
