ticker,date,open,high,low,close
LNAI,2025-10-01,1.55,1.55,1.25,1.28
LNAI,2025-10-02,1.3,1.33,1.2,1.23
LNAI,2025-10-03,1.25,1.31,1.2214,1.29
LNAI,2025-10-06,1.29,1.39,1.2215,1.27
LNAI,2025-10-07,1.24,1.3,1.23,1.26
LNAI,2025-10-08,1.26,1.3059,1.21,1.24
LNAI,2025-10-09,1.24,1.2799,1.2001,1.24
LNAI,2025-10-10,1.22,1.2438,1.1208,1.13
LNAI,2025-10-13,1.15,1.17,1.11,1.16
LNAI,2025-10-14,1.14,1.25,1.13,1.24
LNAI,2025-10-15,1.21,1.27,1.21,1.24
LNAI,2025-10-16,1.27,1.4,1.22,1.22
LNAI,2025-10-17,1.22,1.2675,1.15,1.2
LNAI,2025-10-20,1.25,1.25,1.17,1.21
LNAI,2025-10-21,1.2,1.28,1.17,1.27
LNAI,2025-10-22,1.23,1.2427,0.902,1.0
LNAI,2025-10-23,1.03,1.07,1.0,1.04
LNAI,2025-10-24,1.04,1.1466,1.02,1.08
LNAI,2025-10-27,1.06,1.0967,1.02,1.05
LNAI,2025-10-28,1.05,1.08,1.01,1.04
LNAI,2025-10-29,1.03,1.045,0.925601,0.97
LNAI,2025-10-30,0.9596,1.06,0.9139,0.9409
LNAI,2025-10-31,0.97,0.97,0.8506,0.869
LNAI,2025-11-03,0.86,0.879,0.811,0.8709
LNAI,2025-11-04,0.8448,0.8893,0.8199,0.834
LNAI,2025-11-05,1.1,1.532,0.9127,1.17
LNAI,2025-11-06,1.09,1.1,1.0,1.02
LNAI,2025-11-07,0.93,0.9846,0.81,0.9331
LNAI,2025-11-10,0.89,0.9296,0.85,0.8946
LNAI,2025-11-11,0.858,0.8772,0.8101,0.87
LNAI,2025-11-12,0.8466,0.951,0.8242,0.9466
LNAI,2025-11-13,0.96,1.08,0.9054,1.025
LNAI,2025-11-14,1.03,1.19,0.96525,1.06
LNAI,2025-11-17,1.1,1.13,1.02,1.04
LNAI,2025-11-18,0.98,1.2,0.98,1.16
LNAI,2025-11-19,1.15,1.53,1.13,1.51
LNAI,2025-11-20,1.4,1.66,1.34,1.44
LNAI,2025-11-21,1.37,1.52,1.21,1.24
LNAI,2025-11-24,1.24,1.3265,1.2174,1.27
LNAI,2025-11-25,1.41,1.52,1.03,1.08
LNAI,2025-11-26,0.9817,1.32,0.9601,1.3
LNAI,2025-11-28,1.3,1.3,1.13,1.18
LNAI,2025-12-01,1.17,1.33,1.1601,1.31
LNAI,2025-12-02,1.3,1.3099,1.21,1.26
LNAI,2025-12-03,1.19,1.29,1.1101,1.25
LNAI,2025-12-04,1.17,1.31,1.16,1.3
LNAI,2025-12-05,1.28,1.2899,1.2,1.25
LNAI,2025-12-08,1.24,1.4,1.218,1.39
LNAI,2025-12-09,1.29,1.37,1.1801,1.26
LNAI,2025-12-10,1.24,1.25,1.13,1.19
LNAI,2025-12-11,1.19,1.195,1.15,1.16
LNAI,2025-12-12,1.13,1.15,1.06,1.07
LNAI,2025-12-15,1.07,1.07,0.9949,0.9987
LNAI,2025-12-16,0.9701,1.06,0.963,1.055
LNAI,2025-12-17,1.06,1.1,0.9702,0.9838
LNAI,2025-12-18,1.03,1.08,1.002,1.035
LNAI,2025-12-19,1.04,1.08,1.02,1.04
LNAI,2025-12-22,1.06,1.105,1.03,1.03
LNAI,2025-12-23,0.998,1.06,0.9822,0.9922
LNAI,2025-12-24,1.0207,1.0519,0.97,0.986
LNAI,2025-12-26,0.9985,1.0,0.9448,0.9709
LNAI,2025-12-29,1.01,1.01,0.9158,0.9305
LNAI,2025-12-30,0.94,0.9433,0.86,0.8854
LNAI,2025-12-31,0.89,0.949599,0.8671,0.8817
LNAI,2026-01-02,0.9013,0.99,0.8613,0.9716
LNAI,2026-01-05,0.97,1.04,0.9401,0.951
LNAI,2026-01-06,0.94,1.0,0.91,0.925
LNAI,2026-01-07,0.9058,0.9562,0.88201,0.95
LNAI,2026-01-08,0.9506,0.96,0.9,0.9102
LNAI,2026-01-09,0.92,0.96,0.8801,0.96
LNAI,2026-01-12,0.92,0.97005,0.8901,0.9433
LNAI,2026-01-13,0.97,0.9972,0.9093,0.9715
LNAI,2026-01-14,0.95,0.962,0.895,0.9554
LNAI,2026-01-15,0.94,0.96,0.9002,0.9191
LNAI,2026-01-16,0.92,0.9351,0.8985,0.9251
LNAI,2026-01-20,0.9,0.921334,0.8511,0.8661
LNAI,2026-01-21,0.87,0.8778,0.82,0.8401
LNAI,2026-01-22,0.826,0.93,0.8215,0.905
LNAI,2026-01-23,0.8977,0.92,0.8507,0.878
LNAI,2026-01-26,0.8617,0.9674,0.7855,0.8565
LNAI,2026-01-27,0.87,0.9452,0.82,0.839
LNAI,2026-01-28,0.83,0.88,0.75,0.7991
LNAI,2026-01-29,0.7857,0.847,0.75,0.843
LNAI,2026-01-30,0.84,0.84,0.7804,0.7804
LNAI,2026-02-02,0.802,0.83608,0.75,0.7575
