ticker,date,open,high,low,close
LONA,2026-01-12,6.74,7.0,6.51,6.55
LONA,2026-01-13,6.55,6.67,6.42,6.54
LONA,2026-01-14,6.54,6.6,6.37,6.57
LONA,2026-01-15,6.59,6.625,6.26,6.335
LONA,2026-01-16,6.34,6.34,6.07,6.1
LONA,2026-01-20,6.04,6.22,5.94,6.21
LONA,2026-01-21,6.2,6.605,6.2,6.26
LONA,2026-01-22,6.3,6.56,6.12,6.15
LONA,2026-01-23,6.05,6.161,5.8,5.81
LONA,2026-01-26,5.79,5.79,5.33,5.33
LONA,2026-01-27,5.35,5.405,5.245,5.36
LONA,2026-01-28,5.31,5.35,4.84,4.85
LONA,2026-01-29,4.8,4.9,4.4001,4.76
LONA,2026-01-30,4.91,5.06,4.75,4.75
LONA,2026-02-02,4.86,4.95,4.58,4.6
