ticker,date,open,high,low,close
LWAC,2025-08-18,9.99,9.99,9.97,9.97
LWAC,2025-08-19,9.96,9.97,9.95,9.965
LWAC,2025-08-20,9.985,10.04,9.97,9.98
LWAC,2025-08-21,10.01,10.01,9.98,9.99
LWAC,2025-08-22,9.99,10.0,9.99,10.0
LWAC,2025-08-26,9.97,9.98,9.97,9.97
LWAC,2025-08-27,9.97,9.97,9.97,9.97
LWAC,2025-08-28,9.985,9.985,9.98,9.98
LWAC,2025-09-02,9.97,9.97,9.97,9.97
LWAC,2025-09-03,9.965,9.965,9.965,9.965
LWAC,2025-09-04,9.97,9.97,9.96,9.96
LWAC,2025-09-05,9.97,9.97,9.97,9.97
LWAC,2025-09-08,9.95,9.95,9.95,9.95
LWAC,2025-09-10,9.97,9.97,9.95,9.95
LWAC,2025-09-11,9.96,9.97,9.96,9.96
LWAC,2025-09-12,9.97,9.97,9.8068,9.968
LWAC,2025-09-16,9.95,9.95,9.94,9.94
LWAC,2025-09-17,9.95,9.96,9.9499,9.96
LWAC,2025-09-19,9.9698,9.9698,9.9698,9.9698
LWAC,2025-09-24,9.9699,9.97,9.9699,9.97
LWAC,2025-09-30,9.95,9.95,9.95,9.95
LWAC,2025-10-01,9.96,9.96,9.96,9.96
LWAC,2025-10-02,9.965,9.965,9.96,9.96
LWAC,2025-10-07,9.9599,9.96,9.9599,9.96
LWAC,2025-10-08,9.96,9.98,9.96,9.98
LWAC,2025-10-09,9.97,10.02,9.97,10.02
LWAC,2025-10-10,9.98,9.98,9.98,9.98
LWAC,2025-10-13,10.0,10.0,10.0,10.0
LWAC,2025-10-14,10.0,10.0,10.0,10.0
LWAC,2025-10-15,10.0,10.0,10.0,10.0
LWAC,2025-10-16,10.0,10.04,10.0,10.04
LWAC,2025-10-17,10.0,10.05,10.0,10.01
LWAC,2025-10-20,10.0,10.04,10.0,10.04
LWAC,2025-10-21,10.0,10.05,10.0,10.05
LWAC,2025-10-23,10.03,10.03,10.03,10.03
LWAC,2025-10-24,10.01,10.04,10.01,10.03
LWAC,2025-10-27,10.04,10.05,10.01,10.03
LWAC,2025-10-28,10.03,10.04,10.03,10.03
LWAC,2025-10-29,10.03,10.04,10.03,10.04
LWAC,2025-10-30,10.045,10.05,10.045,10.05
LWAC,2025-10-31,10.06,10.065,10.055,10.06
LWAC,2025-11-03,10.06,10.06,10.06,10.06
LWAC,2025-11-04,10.065,10.065,10.06,10.06
LWAC,2025-11-05,10.07,10.1,10.06,10.1
LWAC,2025-11-06,10.1,10.1,10.09,10.09
LWAC,2025-11-07,10.09,10.09,10.09,10.09
LWAC,2025-11-10,10.09,10.09,10.09,10.09
LWAC,2025-11-11,10.11,10.11,10.1,10.105
LWAC,2025-11-14,10.109,10.12,10.1076,10.12
LWAC,2025-11-17,10.0901,10.0901,10.0901,10.0901
LWAC,2025-11-19,10.1,10.1,10.1,10.1
LWAC,2025-11-20,10.12,10.12,10.12,10.12
LWAC,2025-11-21,10.12,10.12,10.12,10.12
LWAC,2025-11-24,10.07,10.07,10.07,10.07
LWAC,2025-11-25,10.09,10.11,10.09,10.09
LWAC,2025-11-26,10.07,10.08,10.07,10.08
LWAC,2025-11-28,10.08,10.09,10.08,10.09
LWAC,2025-12-01,10.11,10.11,10.09,10.1
LWAC,2025-12-02,10.09,10.09,10.08,10.08
LWAC,2025-12-03,10.07,10.09,10.07,10.08
LWAC,2025-12-04,10.12,10.12,10.08,10.08
LWAC,2025-12-05,10.07,10.07,10.07,10.07
LWAC,2025-12-08,10.06,10.07,10.06,10.07
LWAC,2025-12-09,10.06,10.065,10.05,10.05
LWAC,2025-12-10,10.05,10.05,10.05,10.05
LWAC,2025-12-11,10.055,10.055,10.03,10.03
LWAC,2025-12-12,10.042,10.042,10.03,10.03
LWAC,2025-12-15,10.04,10.05,10.02,10.02
LWAC,2025-12-16,10.02,10.03,10.02,10.02
LWAC,2025-12-17,10.03,10.03,10.02,10.02
LWAC,2025-12-19,10.02,10.02,10.02,10.02
LWAC,2025-12-22,10.03,10.035,10.03,10.03
LWAC,2025-12-23,10.03,10.03,10.03,10.03
LWAC,2025-12-30,10.03,10.03,10.03,10.03
LWAC,2026-01-05,10.03,10.0328,10.03,10.03
LWAC,2026-01-07,10.04,10.05,10.04,10.05
LWAC,2026-01-08,10.05,10.095,10.05,10.095
LWAC,2026-01-09,10.1,10.1,10.08,10.08
LWAC,2026-01-13,10.11,10.11,10.11,10.11
LWAC,2026-01-14,10.06,10.07,10.05,10.05
LWAC,2026-01-20,10.07,10.07,10.06,10.06
LWAC,2026-01-21,10.06,10.06,10.06,10.06
LWAC,2026-01-29,10.09,10.09,10.09,10.09
LWAC,2026-01-30,10.095,10.1,10.095,10.1
LWAC,2026-02-02,10.1,10.1,10.1,10.1
