ticker,date,open,high,low,close
MB,2025-04-10,3.8,4.6684,3.2,4.1
MB,2025-04-11,3.655,3.86,3.01,3.3
MB,2025-04-14,3.9,5.37,3.64,4.52
MB,2025-04-15,3.76,4.17,3.65,3.94
MB,2025-04-16,3.44,3.73,3.3,3.375
MB,2025-04-17,3.3257,3.59,2.955,3.08
MB,2025-04-21,2.91,3.25,2.7444,3.25
MB,2025-04-22,2.97,3.36,2.84,3.15
MB,2025-04-23,3.09,3.1,2.852,3.0
MB,2025-04-24,2.99,3.05,2.782,3.05
MB,2025-04-25,2.96,3.23,2.96,3.05
MB,2025-04-28,2.95,3.4698,2.8201,3.32
MB,2025-04-29,3.27,3.38,3.25,3.27
MB,2025-04-30,3.16,3.41,3.15,3.28
MB,2025-05-01,3.2584,3.36,3.14,3.2
MB,2025-05-02,3.23,3.25,3.2,3.2
MB,2025-05-05,3.1,3.32,3.1,3.165
MB,2025-05-06,3.14,3.3,3.14,3.29
MB,2025-05-07,3.3,3.5,3.28,3.425
MB,2025-05-08,3.52,3.52,3.2,3.3
MB,2025-05-09,3.3,3.39,3.08,3.27
MB,2025-05-12,3.2504,3.75,3.2504,3.75
MB,2025-05-13,3.6387,3.795,3.5146,3.77
MB,2025-05-14,3.78,4.51,3.78,4.15
MB,2025-05-15,4.36,4.5195,3.8,3.99
MB,2025-05-16,3.71,3.98,3.7,3.91
MB,2025-05-19,4.1,4.12,4.0,4.06
MB,2025-05-20,3.93,4.2326,3.93,4.03
MB,2025-05-21,3.92,4.69,3.825,4.0
MB,2025-05-22,4.03,4.43,3.83,3.83
MB,2025-05-23,4.065,4.55,4.065,4.37
MB,2025-05-27,4.2,4.42,3.95,4.39
MB,2025-05-28,4.5,4.735,4.1993,4.21
MB,2025-05-29,4.3,4.49,4.16,4.36
MB,2025-05-30,4.53,4.74,4.495,4.68
MB,2025-06-02,4.615,4.615,4.335,4.45
MB,2025-06-03,4.32,4.75,4.27,4.41
MB,2025-06-04,4.5,4.99,4.21,4.93
MB,2025-06-05,4.755,5.53,4.52,5.17
MB,2025-06-06,5.18,8.5759,5.09,7.75
MB,2025-06-09,8.88,9.5,6.82,7.34
MB,2025-06-10,7.42,7.9188,6.09,6.31
MB,2025-06-11,6.62,8.5,6.3601,6.46
MB,2025-06-12,7.5,7.64,6.7,7.14
MB,2025-06-13,7.0,8.08,7.0,7.45
MB,2025-06-16,7.52,8.67,7.5,8.22
MB,2025-06-17,9.0,9.3,7.71,8.58
MB,2025-06-18,8.56,9.2899,7.8445,8.5
MB,2025-06-20,8.5,8.715,8.1438,8.7
MB,2025-06-23,8.6,9.3505,8.56,8.85
MB,2025-06-24,8.85,9.29,8.21,8.26
MB,2025-06-25,8.3,8.59,8.08,8.44
MB,2025-06-26,8.2439,8.53,8.0,8.53
MB,2025-06-27,8.41,8.67,8.0413,8.67
MB,2025-06-30,8.64,8.69,8.4298,8.6
MB,2025-07-01,9.0,9.29,8.4,8.84
MB,2025-07-02,8.94,8.94,7.52,7.52
MB,2025-07-03,8.13,8.47,8.0,8.2
MB,2025-07-07,8.21,10.5,8.1252,8.8
MB,2025-07-08,9.15,9.8099,7.56,8.98
MB,2025-07-09,8.91,10.78,8.0,9.95
MB,2025-07-10,9.59,15.7653,9.3496,11.15
MB,2025-07-11,12.91,13.45,12.91,12.95
MB,2025-07-14,13.23,13.95,11.5,11.92
MB,2025-07-15,12.0,12.03,10.5,11.09
MB,2025-07-16,11.01,13.1,10.51,12.75
MB,2025-07-17,12.34,14.11,12.34,14.0
MB,2025-07-18,14.38,16.4,14.207,14.3306
MB,2025-07-21,14.5,15.59,13.5001,14.8
MB,2025-07-22,14.78,15.98,13.7901,15.1959
MB,2025-07-23,15.41,16.25,14.0,15.24
MB,2025-07-24,14.96,16.0,13.0,14.88
MB,2025-07-25,14.35,14.47,12.5001,13.95
MB,2025-07-28,13.8,14.64,13.3,14.29
MB,2025-07-29,14.15,14.97,14.0,14.1
MB,2025-07-30,14.02,14.7471,14.0,14.69
MB,2025-07-31,14.22,15.79,14.22,14.75
MB,2025-08-01,14.72,14.93,13.33,14.63
MB,2025-08-04,14.49,15.37,13.04,14.36
MB,2025-08-05,14.15,14.74,14.03,14.5
MB,2025-08-06,14.46,15.2,12.96,14.82
MB,2025-08-07,14.27,15.2534,14.27,15.0
MB,2025-08-08,14.89,15.46,14.46,14.88
MB,2025-08-11,14.8,15.0,13.72,14.24
MB,2025-08-12,14.19,14.69,13.7001,14.01
MB,2025-08-13,13.57,13.9462,6.5,7.31
MB,2025-08-14,6.8,6.9,4.13,4.4
MB,2025-08-15,4.56,4.8,3.5,3.55
MB,2025-08-18,3.77,8.5,3.77,6.41
MB,2025-08-19,5.91,6.59,5.31,6.2
MB,2025-08-20,5.86,7.48,5.7,5.76
MB,2025-08-21,5.7,6.3249,5.2,5.57
MB,2025-08-22,5.16,6.4,5.16,6.17
MB,2025-08-25,5.7,6.95,5.7,6.4
MB,2025-08-26,6.2,7.95,6.2,7.67
MB,2025-08-27,7.5,9.125,7.5,8.67
MB,2025-08-28,8.75,12.7,8.75,12.69
MB,2025-08-29,11.23,11.69,9.26,10.12
MB,2025-09-02,10.4,12.88,10.4,11.98
MB,2025-09-03,11.46,11.95,10.4,10.46
MB,2025-09-04,11.79,11.79,10.0,10.86
MB,2025-09-05,10.9,11.84,10.51,11.65
MB,2025-09-08,11.95,12.53,11.6,11.6
MB,2025-09-09,11.51,11.795,10.5,11.0
MB,2025-09-10,11.0,11.0,10.25,10.55
MB,2025-09-11,10.07,10.5,10.0,10.22
MB,2025-09-12,10.17,10.291,9.05,9.35
MB,2025-09-15,11.2,11.42,10.08,10.5
MB,2025-09-16,10.04,10.1688,9.8,9.8
MB,2025-09-17,9.75,9.91,9.37,9.37
MB,2025-09-18,9.66,9.94,9.4,9.4
MB,2025-09-19,9.99,9.99,9.543,9.64
MB,2025-09-22,9.41,9.7899,9.25,9.25
MB,2025-09-23,9.25,9.4,9.0,9.33
MB,2025-09-24,9.33,9.69,9.0,9.55
MB,2025-09-25,9.48,9.64,9.17,9.435
MB,2025-09-26,9.68,9.74,9.211,9.74
MB,2025-09-29,9.65,9.65,9.22,9.25
MB,2025-09-30,9.2,9.35,9.0,9.0
MB,2025-10-01,8.33,9.1484,8.33,8.87
MB,2025-10-02,9.2,9.7,8.89,9.7
MB,2025-10-03,9.57,9.89,8.35,8.35
MB,2025-10-06,8.73,9.8,8.73,9.55
MB,2025-10-07,9.75,9.75,9.36,9.5
MB,2025-10-08,9.09,9.73,9.03,9.03
MB,2025-10-09,9.49,9.49,9.1,9.47
MB,2025-10-10,9.59,9.6691,9.3414,9.435
MB,2025-10-13,9.4732,9.4732,8.9782,9.275
MB,2025-10-14,9.09,9.105,8.89,8.94
MB,2025-10-15,8.95,8.9999,8.8817,8.8817
MB,2025-10-16,8.8,8.82,8.8,8.82
MB,2025-10-17,9.2569,9.2569,9.0,9.0
MB,2025-10-20,8.84,9.02,8.8001,9.02
MB,2025-10-21,9.49,9.49,9.28,9.37
MB,2025-10-22,9.4,10.0,9.4,9.55
MB,2025-10-23,9.5,9.5,9.259819,9.3794
MB,2025-10-24,9.04,9.33,9.04,9.285
MB,2025-10-27,9.38,9.45,8.9101,9.225
MB,2025-10-28,9.0,9.02,9.0,9.0001
MB,2025-10-29,9.2771,9.2771,8.55,8.55
MB,2025-10-30,8.93,8.93,8.8,8.895
MB,2025-10-31,8.9563,8.9563,8.95,8.95
MB,2025-11-03,8.56,8.876,8.5501,8.7089
MB,2025-11-04,8.6,8.7566,8.6,8.7566
MB,2025-11-05,8.74,8.74,8.52,8.6
MB,2025-11-07,8.12,8.29,7.8,8.29
MB,2025-11-10,7.68,8.24,7.31,7.42
MB,2025-11-11,7.9146,7.9146,7.9146,7.9146
MB,2025-11-14,7.3,7.67,7.0,7.0
MB,2025-11-17,6.9999,6.9999,6.9999,6.9999
MB,2025-11-18,6.44,6.74,6.38,6.74
MB,2025-11-19,6.5,6.8,6.5,6.8
MB,2025-11-20,6.69,6.96,6.45,6.96
MB,2025-11-21,6.93,6.99,6.92,6.92
MB,2025-11-24,6.84,6.84,6.84,6.84
MB,2025-11-25,6.86,6.86,6.74,6.74
MB,2025-11-26,6.3,6.39,6.3,6.39
MB,2025-11-28,6.4,6.4,6.39,6.39
MB,2025-12-03,6.5,6.5,6.5,6.5
MB,2025-12-05,6.5101,6.5101,6.5101,6.5101
MB,2025-12-08,6.62,6.9,6.62,6.9
MB,2025-12-09,6.8,6.8,6.8,6.8
MB,2025-12-10,6.5001,6.5001,6.5001,6.5001
MB,2025-12-11,6.5,6.5,6.5,6.5
MB,2025-12-12,6.4001,6.4001,6.4001,6.4001
MB,2025-12-15,6.1317,6.1317,6.1317,6.1317
MB,2025-12-22,6.4,8.25,6.23,7.45
