ticker,date,open,high,low,close
MBAI,2025-11-28,1.67,1.96,1.61,1.87
MBAI,2025-12-01,1.66,1.8604,1.6,1.65
MBAI,2025-12-02,1.63,1.7199,1.63,1.66
MBAI,2025-12-03,1.64,1.77,1.63,1.72
MBAI,2025-12-04,1.6,1.7871,1.6,1.75
MBAI,2025-12-05,1.72,1.7655,1.65,1.663
MBAI,2025-12-08,1.68,1.74,1.6,1.717
MBAI,2025-12-09,1.64,1.83,1.64,1.79
MBAI,2025-12-10,1.74,1.78,1.67,1.77
MBAI,2025-12-11,1.75,1.84,1.68,1.81
MBAI,2025-12-12,1.79,1.855,1.72,1.72
MBAI,2025-12-15,1.64,1.755,1.63,1.72
MBAI,2025-12-16,1.71,1.83,1.7,1.7827
MBAI,2025-12-17,1.71,1.81,1.71,1.76
MBAI,2025-12-18,1.72,1.78,1.72,1.78
MBAI,2025-12-19,1.786,1.88,1.73,1.88
MBAI,2025-12-22,1.78,1.86,1.74,1.85
MBAI,2025-12-23,1.76,1.81,1.73,1.79
MBAI,2025-12-24,1.77,1.79,1.74,1.79
MBAI,2025-12-26,1.72,1.74,1.65,1.68
MBAI,2025-12-29,1.62,1.73,1.62,1.68
MBAI,2025-12-30,1.66,1.71,1.63,1.67
MBAI,2025-12-31,1.63,1.68,1.57,1.62
MBAI,2026-01-02,1.58,1.77,1.58,1.715
MBAI,2026-01-05,1.65,1.69,1.6,1.663
MBAI,2026-01-06,1.62,1.69,1.61,1.68
MBAI,2026-01-07,1.69,1.75,1.66,1.72
MBAI,2026-01-08,1.69,1.75,1.6607,1.75
MBAI,2026-01-09,1.76,1.7799,1.72,1.76
MBAI,2026-01-12,1.68,1.73,1.68,1.68
MBAI,2026-01-13,1.688419,1.74,1.6601,1.73
MBAI,2026-01-14,1.68,1.76,1.6748,1.72
MBAI,2026-01-15,1.69,1.75,1.68,1.75
MBAI,2026-01-16,1.71,1.75,1.69,1.72
MBAI,2026-01-20,1.65,1.7,1.63,1.67
MBAI,2026-01-21,1.66,1.66,1.641,1.66
MBAI,2026-01-22,1.63,1.66,1.45,1.53
MBAI,2026-01-23,1.56,1.56,1.45,1.49
MBAI,2026-01-26,1.63,3.92,1.57,3.16
MBAI,2026-01-27,2.555,2.56,2.0,2.3
MBAI,2026-01-28,2.18,2.75,2.02,2.08
MBAI,2026-01-29,2.32,2.53,1.62,1.89
MBAI,2026-01-30,1.8,1.93,1.65,1.672
MBAI,2026-02-02,1.65,1.67,1.39,1.45
