ticker,date,open,high,low,close
MBBC,2025-04-22,12.0,12.0,9.9,9.95
MBBC,2025-04-23,10.25,10.41,10.25,10.32
MBBC,2025-04-24,10.45,10.45,10.35,10.35
MBBC,2025-04-25,10.3,10.34,10.2124,10.2739
MBBC,2025-04-28,10.27,10.61,10.2,10.3
MBBC,2025-04-29,10.3248,10.4,10.11,10.2
MBBC,2025-04-30,10.12,10.3,10.01,10.05
MBBC,2025-05-01,10.235,10.4,10.0,10.05
MBBC,2025-05-02,10.1201,10.205,10.01,10.01
MBBC,2025-05-05,10.0,10.105,10.0,10.0
MBBC,2025-05-06,10.0233,10.0233,10.0,10.01
MBBC,2025-05-07,10.0467,10.1,10.0,10.0
MBBC,2025-05-08,10.0001,10.027,10.0,10.0
MBBC,2025-05-09,10.03,10.07,10.0,10.0536
MBBC,2025-05-12,10.045,10.045,10.02,10.045
MBBC,2025-05-13,10.05,10.05,10.02,10.0203
MBBC,2025-05-15,10.0205,10.05,10.0205,10.05
MBBC,2025-05-16,10.05,10.0684,10.03,10.03
MBBC,2025-05-19,10.07,10.07,10.02,10.06
MBBC,2025-05-20,10.0371,10.07,10.02,10.07
MBBC,2025-05-21,10.05,10.05,10.01,10.02
MBBC,2025-05-22,10.0201,10.03,10.01,10.02
MBBC,2025-05-23,9.96,9.96,9.955,9.96
MBBC,2025-05-27,10.0,10.0325,10.0,10.015
MBBC,2025-05-28,10.02,10.0273,10.0,10.005
MBBC,2025-05-29,10.0,10.01,10.0,10.0084
MBBC,2025-06-02,10.0,10.0,10.0,10.0
MBBC,2025-06-03,9.95,9.97,9.95,9.95
MBBC,2025-06-04,9.95,9.97,9.95,9.95
MBBC,2025-06-05,9.9655,9.98,9.9512,9.98
MBBC,2025-06-06,9.9445,9.99,9.9445,9.99
MBBC,2025-06-09,10.0,10.0,9.95,9.99
MBBC,2025-06-10,9.99,10.0,9.99,10.0
MBBC,2025-06-11,9.99,10.04,9.9402,10.03
MBBC,2025-06-12,10.02,10.04,10.02,10.03
MBBC,2025-06-13,10.03,10.03,9.98,9.98
MBBC,2025-06-16,10.02,10.04,9.98,9.98
MBBC,2025-06-17,10.03,10.03,9.95,9.95
MBBC,2025-06-18,10.0,10.02,9.9,9.9
MBBC,2025-06-20,9.99,10.04,9.955,10.04
MBBC,2025-06-23,9.96,9.96,9.95,9.95
MBBC,2025-06-24,9.98,10.0,9.95,9.95
MBBC,2025-06-25,9.9999,10.0019,9.9995,10.0
MBBC,2025-06-26,9.98,10.02,9.96,9.9855
MBBC,2025-06-27,9.95,10.02,9.95,9.9905
MBBC,2025-06-30,10.0,10.02,9.96,9.96
MBBC,2025-07-01,10.0,10.01,10.0,10.01
MBBC,2025-07-02,10.01,10.01,9.9933,9.9933
MBBC,2025-07-03,9.98,10.01,9.98,9.98
MBBC,2025-07-07,10.0,10.01,9.98,9.98
MBBC,2025-07-08,10.01,10.02,9.98,9.98
MBBC,2025-07-09,10.01,10.02,10.0,10.0037
MBBC,2025-07-10,10.01,10.03,10.0,10.03
MBBC,2025-07-11,10.0187,10.0187,10.0187,10.0187
MBBC,2025-07-14,10.015,10.03,10.0003,10.03
MBBC,2025-07-15,10.01,10.0377,9.96,10.03
MBBC,2025-07-16,10.03,10.05,10.0,10.05
MBBC,2025-07-17,10.05,10.05,10.04,10.04
MBBC,2025-07-18,10.03,10.0333,10.03,10.0333
MBBC,2025-07-21,10.03,10.05,10.03,10.045
MBBC,2025-07-22,10.04,10.0494,10.04,10.04
MBBC,2025-07-23,10.0404,10.05,10.0404,10.0499
MBBC,2025-07-24,10.05,10.1,10.0492,10.1
MBBC,2025-07-28,10.1,10.1,10.0956,10.0956
MBBC,2025-07-29,10.08,10.08,10.08,10.08
MBBC,2025-07-31,10.0752,10.0752,10.06,10.06
MBBC,2025-08-01,10.08,10.08,10.06,10.06
MBBC,2025-08-04,10.08,10.08,10.08,10.08
MBBC,2025-08-05,10.08,10.09,10.0601,10.0601
MBBC,2025-08-06,10.07,10.105,10.07,10.091
MBBC,2025-08-07,10.09,10.09,9.96,10.01
MBBC,2025-08-08,10.0415,10.0415,10.0201,10.0201
MBBC,2025-08-11,10.03,10.1,10.02,10.0201
MBBC,2025-08-13,10.1,10.13,10.098,10.129
MBBC,2025-08-18,10.13,10.13,10.095,10.13
MBBC,2025-08-19,10.13,10.14,10.095,10.14
MBBC,2025-08-20,10.1288,10.205,10.125,10.205
MBBC,2025-08-21,10.28,10.5,10.28,10.327
MBBC,2025-08-22,10.36,10.44,10.3,10.421
MBBC,2025-08-25,10.16,10.38,10.16,10.38
MBBC,2025-08-26,10.382,10.382,10.382,10.382
MBBC,2025-08-27,10.39,10.4,10.33,10.33
MBBC,2025-09-02,10.35,10.35,10.35,10.35
MBBC,2025-09-04,10.31,10.372,10.31,10.372
MBBC,2025-09-08,10.35,10.48,10.31,10.31
MBBC,2025-09-09,10.31,10.312,10.2,10.2
MBBC,2025-09-10,10.4066,10.4066,10.4066,10.4066
MBBC,2025-09-11,10.25,10.275,10.2,10.2
MBBC,2025-09-12,10.28,10.2827,10.25,10.25
MBBC,2025-09-15,10.29,10.2999,10.25,10.25
MBBC,2025-09-17,10.3,10.3,10.28,10.28
MBBC,2025-09-18,10.3496,10.3496,10.3496,10.3496
MBBC,2025-09-19,10.4,10.48,10.4,10.48
MBBC,2025-09-22,10.38,10.4,10.38,10.4
MBBC,2025-09-23,10.4,10.48,10.4,10.48
MBBC,2025-09-24,10.48,10.48,10.48,10.48
MBBC,2025-09-25,10.45,10.48,10.42,10.43
MBBC,2025-09-26,10.455,10.4711,10.43,10.43
MBBC,2025-09-29,10.41,10.43,10.4,10.43
MBBC,2025-09-30,10.43,10.43,10.32,10.43
MBBC,2025-10-02,10.43,10.48,10.43,10.45
MBBC,2025-10-03,10.4999,10.5,10.49,10.49
MBBC,2025-10-06,10.48,10.5,10.4,10.4
MBBC,2025-10-07,10.5,10.5,10.4,10.4327
MBBC,2025-10-08,10.45,10.5,10.45,10.5
MBBC,2025-10-09,10.46,10.5,10.46,10.5
MBBC,2025-10-10,10.5,10.5,10.5,10.5
MBBC,2025-10-13,10.85,11.95,10.85,11.05
MBBC,2025-10-14,11.27,12.8,10.69,11.15
MBBC,2025-10-15,10.69,11.55,10.68,11.0
MBBC,2025-10-16,11.0,11.0,10.69,10.8924
MBBC,2025-10-17,10.85,10.8999,10.8,10.8
MBBC,2025-10-20,10.7945,10.83,10.52,10.53
MBBC,2025-10-21,10.74,10.74,10.74,10.74
MBBC,2025-10-22,10.748,10.9,10.748,10.9
MBBC,2025-10-23,10.88,11.22,10.755,10.8
MBBC,2025-10-24,10.9852,11.04,10.9,11.0
MBBC,2025-10-27,10.72,10.72,10.72,10.72
MBBC,2025-10-28,10.66,10.8,10.64,10.8
MBBC,2025-10-29,10.79,10.82,10.79,10.82
MBBC,2025-10-31,10.8899,10.89,10.8599,10.89
MBBC,2025-11-03,10.99,10.99,10.945,10.945
MBBC,2025-11-04,10.99,11.0,10.8999,10.8999
MBBC,2025-11-05,10.85,10.8562,10.8,10.8
MBBC,2025-11-06,10.8,10.8,10.8,10.8
MBBC,2025-11-07,10.8,10.8,10.61,10.6999
MBBC,2025-11-10,10.53,10.53,10.53,10.53
MBBC,2025-11-11,10.75,10.75,10.75,10.75
MBBC,2025-11-13,11.0,11.0,10.905,10.95
MBBC,2025-11-14,11.0,11.1001,10.86,10.86
MBBC,2025-11-17,11.0756,11.1799,11.0756,11.1799
MBBC,2025-11-18,11.27,11.49,11.19,11.27
MBBC,2025-11-19,11.29,11.4,11.15,11.35
MBBC,2025-11-20,11.45,12.08,11.45,11.53
MBBC,2025-11-21,11.4,11.49,11.35,11.35
MBBC,2025-11-24,11.6711,11.6711,11.35,11.63
MBBC,2025-11-25,11.54,11.7,11.54,11.7
MBBC,2025-11-26,11.5,11.6,11.35,11.475
MBBC,2025-11-28,11.38,11.38,11.15,11.15
MBBC,2025-12-01,11.57,11.57,11.16,11.16
MBBC,2025-12-02,11.11,11.42,11.11,11.42
MBBC,2025-12-03,11.25,11.28,11.16,11.1699
MBBC,2025-12-04,11.2,11.2,11.17,11.17
MBBC,2025-12-05,11.062,11.062,11.062,11.062
MBBC,2025-12-08,11.21,11.5,11.02,11.39
MBBC,2025-12-09,11.2515,11.39,11.2515,11.39
MBBC,2025-12-10,11.09,11.5,11.09,11.5
MBBC,2025-12-11,11.49,11.49,11.16,11.16
MBBC,2025-12-12,11.5,11.61,11.5,11.61
MBBC,2025-12-15,11.21,11.61,11.21,11.61
MBBC,2025-12-16,11.99,11.99,11.26,11.98
MBBC,2025-12-17,11.75,11.8873,11.51,11.64
MBBC,2025-12-18,12.46,12.46,12.44,12.44
MBBC,2025-12-19,12.12,12.34,11.9,11.9
MBBC,2025-12-22,11.78,12.39,11.76,12.39
MBBC,2025-12-23,12.3999,12.3999,12.1436,12.2
MBBC,2025-12-26,12.1901,12.295,11.9,12.24
MBBC,2025-12-29,12.35,12.4,12.2,12.36
MBBC,2025-12-30,12.2,12.2,12.2,12.2
MBBC,2025-12-31,12.2,12.2,12.16,12.16
MBBC,2026-01-02,12.0,12.19,12.0,12.19
MBBC,2026-01-05,11.93,12.13,11.93,12.13
MBBC,2026-01-06,12.18,12.18,12.18,12.18
MBBC,2026-01-08,11.75,12.44,11.75,11.7697
MBBC,2026-01-09,12.0,12.44,12.0,12.25
MBBC,2026-01-13,12.12,12.35,12.12,12.35
MBBC,2026-01-15,12.29,12.44,12.29,12.44
MBBC,2026-01-16,12.495,12.87,12.0702,12.87
MBBC,2026-01-20,12.55,12.55,12.34,12.35
MBBC,2026-01-21,12.4999,12.5,12.28,12.28
MBBC,2026-01-22,12.5,12.5,12.392,12.419
MBBC,2026-01-23,12.5,12.65,12.5,12.65
MBBC,2026-01-26,12.32,12.742,12.32,12.61
MBBC,2026-01-27,12.6,12.62,12.6,12.62
MBBC,2026-01-28,12.48,12.5,12.48,12.5
MBBC,2026-01-29,12.66,13.0,12.66,13.0
MBBC,2026-01-30,13.0,13.03,13.0,13.01
MBBC,2026-02-02,12.94,12.94,12.94,12.94
