ticker,date,open,high,low,close
MCGA,2025-09-09,10.84,10.84,10.43,10.52
MCGA,2025-09-10,10.69,10.7,10.45,10.48
MCGA,2025-09-11,10.48,10.59,10.39,10.44
MCGA,2025-09-12,10.44,10.6075,10.44,10.46
MCGA,2025-09-15,10.55,10.59,10.41,10.45
MCGA,2025-09-16,10.46,10.6,10.41,10.58
MCGA,2025-09-17,10.57,10.5879,10.4844,10.56
MCGA,2025-09-18,10.65,10.7,10.56,10.7
MCGA,2025-09-19,10.65,10.6995,10.6,10.68
MCGA,2025-09-22,10.54,10.7,10.54,10.66
MCGA,2025-09-23,10.59,10.675,10.56,10.67
MCGA,2025-09-24,10.57,10.8,10.56,10.75
MCGA,2025-09-25,10.7,10.7,10.65,10.69
MCGA,2025-09-26,10.68,10.75,10.5901,10.75
MCGA,2025-09-29,10.7,10.78,10.61,10.66
MCGA,2025-09-30,10.57,10.68,10.57,10.65
MCGA,2025-10-01,10.75,10.75,10.61,10.67
MCGA,2025-10-02,10.65,10.67,10.62,10.67
MCGA,2025-10-03,10.62,10.69,10.56,10.68
MCGA,2025-10-06,10.67,10.7,10.5801,10.69
MCGA,2025-10-07,10.68,10.7,10.6217,10.69
MCGA,2025-10-08,10.65,10.81,10.65,10.75
MCGA,2025-10-09,10.78,10.8,10.7,10.76
MCGA,2025-10-10,10.7001,10.83,10.66,10.8
MCGA,2025-10-13,10.71,10.7793,10.62,10.65
MCGA,2025-10-14,10.6042,10.69,10.6,10.65
MCGA,2025-10-15,10.69,10.69,10.62,10.62
MCGA,2025-10-16,10.62,10.66,10.57,10.64
MCGA,2025-10-17,10.55,10.6,10.45,10.54
MCGA,2025-10-20,10.55,10.565,10.42,10.46
MCGA,2025-10-21,10.44,10.47,10.4,10.47
MCGA,2025-10-22,10.48,10.48,10.37,10.37
MCGA,2025-10-23,10.42,10.45,10.38,10.42
MCGA,2025-10-24,10.4,10.4308,10.39,10.4
MCGA,2025-10-27,10.4,10.42,10.35,10.39
MCGA,2025-10-28,10.44,10.46,10.4206,10.46
MCGA,2025-10-29,10.45,10.46,10.42,10.42
MCGA,2025-10-30,10.42,10.442,10.35,10.38
MCGA,2025-10-31,10.44,10.44,10.35,10.35
MCGA,2025-11-03,10.35,10.38,10.35,10.35
MCGA,2025-11-04,10.35,10.36,10.25,10.27
MCGA,2025-11-05,10.3,10.35,10.25,10.3
MCGA,2025-11-06,10.31,10.3396,10.3,10.32
MCGA,2025-11-07,10.3,10.35,10.28,10.31
MCGA,2025-11-10,10.35,10.36,10.33,10.355
MCGA,2025-11-11,10.36,10.36,10.3,10.305
MCGA,2025-11-12,10.3,10.3,10.24,10.25
MCGA,2025-11-13,10.25,10.255,10.18,10.18
MCGA,2025-11-14,10.17,10.18,10.15,10.175
MCGA,2025-11-17,10.18,10.18,10.1,10.11
MCGA,2025-11-18,10.12,10.135,10.11,10.135
MCGA,2025-11-19,10.13,10.131,10.12,10.13
MCGA,2025-11-20,10.12,10.14,10.12,10.12
MCGA,2025-11-21,10.12,10.13,10.11,10.12
MCGA,2025-11-24,10.13,10.1356,10.12,10.12
MCGA,2025-11-25,10.13,10.14,10.12,10.13
MCGA,2025-11-26,10.14,10.14,10.13,10.135
MCGA,2025-11-28,10.14,10.14,10.13,10.13
MCGA,2025-12-01,10.13,10.13,10.11,10.125
MCGA,2025-12-02,10.14,10.14,10.115,10.12
MCGA,2025-12-03,10.12,10.13,10.1,10.11
MCGA,2025-12-04,10.11,10.1298,10.11,10.12
MCGA,2025-12-05,10.12,10.13,10.12,10.12
MCGA,2025-12-08,10.13,10.13,10.12,10.125
MCGA,2025-12-09,10.12,10.13,10.12,10.12
MCGA,2025-12-10,10.12,10.14,10.12,10.14
MCGA,2025-12-11,10.135,10.14,10.13,10.13
MCGA,2025-12-12,10.13,10.1348,10.12,10.12
MCGA,2025-12-15,10.13,10.14,10.115,10.12
MCGA,2025-12-16,10.12,10.13,10.12,10.12
MCGA,2025-12-17,10.12,10.129,10.12,10.128
MCGA,2025-12-18,10.12,10.13,10.12,10.12
MCGA,2025-12-19,10.12,10.13,10.12,10.12
MCGA,2025-12-22,10.12,10.13,10.1,10.1
MCGA,2025-12-23,10.11,10.115,10.1,10.11
MCGA,2025-12-24,10.115,10.115,10.1,10.1
MCGA,2025-12-26,10.1,10.125,10.1,10.12
MCGA,2025-12-29,10.11,10.1255,10.11,10.11
MCGA,2025-12-30,10.12,10.1375,10.12,10.13
MCGA,2025-12-31,10.13,10.14,10.13,10.13
MCGA,2026-01-02,10.14,10.15,10.135,10.14
MCGA,2026-01-05,10.16,10.22,10.14,10.22
MCGA,2026-01-06,10.185,10.1942,10.17,10.17
MCGA,2026-01-07,10.13,10.1937,10.13,10.14
MCGA,2026-01-08,10.175,10.175,10.14,10.14
