ticker,date,open,high,low,close
MCTA,2025-10-21,4.59,8.21,4.33,7.0
MCTA,2025-10-22,5.34,6.96,5.34,6.2
MCTA,2025-10-23,6.258,7.0,5.97,7.0
MCTA,2025-10-24,7.11,8.4499,7.08,7.41
MCTA,2025-10-27,7.9,9.67,7.9,9.67
MCTA,2025-10-28,9.6,14.42,9.2,14.21
MCTA,2025-10-29,14.17,20.8,13.0701,18.91
MCTA,2025-10-30,19.12,31.24,18.5,27.76
MCTA,2025-10-31,27.8,28.0,22.96,24.8
MCTA,2025-11-03,24.64,24.88,22.22,22.49
MCTA,2025-11-04,22.5,24.25,21.85,22.02
MCTA,2025-11-05,22.12,23.96,21.71,22.6
MCTA,2025-11-06,23.39,23.5,19.01,20.66
MCTA,2025-11-07,20.74,22.5464,20.62,22.1
MCTA,2025-11-10,23.18,27.68,23.14,27.5
MCTA,2025-11-11,28.35,31.7,25.9,29.4
