ticker,date,open,high,low,close
MEHA,2025-11-07,0.9975,0.9975,0.62,0.6899
MEHA,2025-11-10,0.7,0.74,0.605,0.7006
MEHA,2025-11-11,0.6677,0.69,0.5629,0.6197
MEHA,2025-11-12,0.613,0.617399,0.521,0.5798
MEHA,2025-11-13,0.505,0.5289,0.43,0.436
MEHA,2025-11-14,0.4132,0.429,0.3681,0.4197
MEHA,2025-11-17,0.425,0.4435,0.35,0.3712
MEHA,2025-11-18,0.3511,0.4489,0.3303,0.4478
MEHA,2025-11-19,0.3995,0.505,0.381,0.48941
MEHA,2025-11-20,0.4637,0.48,0.3327,0.3682
MEHA,2025-11-21,0.3565,0.3888,0.3502,0.3522
MEHA,2025-11-24,0.3571,0.393,0.3502,0.38
MEHA,2025-11-25,0.377,0.4002,0.35,0.37
MEHA,2025-11-26,0.3995,0.42,0.37,0.4126
MEHA,2025-11-28,0.41,0.41745,0.38,0.4077
MEHA,2025-12-01,0.3945,0.3945,0.3566,0.3754
MEHA,2025-12-02,0.3772,0.395,0.3622,0.3899
MEHA,2025-12-03,0.3774,0.41,0.3701,0.4009
MEHA,2025-12-04,0.39,0.3976,0.3762,0.3898
MEHA,2025-12-05,0.3913,0.4,0.3702,0.3867
MEHA,2025-12-08,0.386,0.425,0.3674,0.4106
MEHA,2025-12-09,0.3935,0.4098,0.39,0.4001
MEHA,2025-12-10,0.4,0.41999,0.38311,0.3959
MEHA,2025-12-11,0.384,0.4098,0.38,0.38
MEHA,2025-12-12,0.3893,0.4,0.3811,0.3888
MEHA,2025-12-15,0.3865,0.3865,0.249,0.28
MEHA,2025-12-16,0.28,0.29,0.2526,0.259
MEHA,2025-12-17,0.265,0.27,0.206,0.247
MEHA,2025-12-18,0.235,0.25,0.211,0.2167
MEHA,2025-12-19,0.236,0.2773,0.2308,0.2425
MEHA,2025-12-22,0.2378,0.2497,0.2181,0.2275
MEHA,2025-12-23,0.2288,0.2399,0.215,0.2178
MEHA,2025-12-24,0.214,0.2439,0.214,0.221
MEHA,2025-12-26,0.235,0.3094,0.2158,0.23
MEHA,2025-12-29,0.238,0.2665,0.2225,0.237
MEHA,2025-12-30,0.23,0.239,0.215,0.2239
MEHA,2025-12-31,0.2226,0.2266,0.1802,0.1892
MEHA,2026-01-02,0.2088,0.23,0.182,0.2021
MEHA,2026-01-05,0.214001,0.247,0.202,0.2216
MEHA,2026-01-06,0.2332,0.2471,0.218,0.221
MEHA,2026-01-07,0.2264,0.245,0.215501,0.2297
MEHA,2026-01-08,0.2243,0.2337,0.22,0.2208
MEHA,2026-01-09,0.225,0.2314,0.1902,0.2
MEHA,2026-01-12,0.202,0.21745,0.200101,0.202
MEHA,2026-01-13,0.202,0.219699,0.1903,0.2023
MEHA,2026-01-14,0.2,0.226,0.2,0.2128
MEHA,2026-01-15,0.21,0.2172,0.204,0.2099
MEHA,2026-01-16,0.206,0.219,0.2,0.2
MEHA,2026-01-20,0.2,0.211499,0.1971,0.2083
MEHA,2026-01-21,0.2098,0.2175,0.2016,0.2047
MEHA,2026-01-22,0.2038,0.2282,0.203,0.2088
MEHA,2026-01-23,0.213,0.2459,0.208,0.2212
MEHA,2026-01-26,0.23,0.2459,0.2213,0.223
MEHA,2026-01-27,0.23,0.24,0.215,0.2231
MEHA,2026-01-28,0.2255,0.2255,0.2108,0.2108
MEHA,2026-01-29,0.2207,0.2263,0.188,0.2
MEHA,2026-01-30,0.2034,0.211801,0.1977,0.2012
MEHA,2026-02-02,0.204,0.2178,0.2008,0.205
