ticker,date,open,high,low,close
MGN,2025-09-29,3.8,4.0568,2.84,3.19
MGN,2025-09-30,3.38,3.75,3.2,3.21
MGN,2025-10-01,2.98,3.19,2.91,3.1
MGN,2025-10-02,3.05,3.6297,3.03,3.52
MGN,2025-10-03,3.36,3.8163,3.34,3.36
MGN,2025-10-06,3.19,3.24,2.7075,2.73
MGN,2025-10-07,2.7,2.8,2.5,2.75
MGN,2025-10-08,2.7,3.0,2.675541,2.98
MGN,2025-10-09,3.02,3.02,2.75,2.88
MGN,2025-10-10,2.88,2.93,2.62,2.645
MGN,2025-10-13,2.74,2.74,2.525,2.6
MGN,2025-10-14,2.56,2.62,2.37,2.51
MGN,2025-10-15,2.44,2.6399,2.225,2.3
MGN,2025-10-16,2.21,2.2698,2.0101,2.18
MGN,2025-10-17,2.11,2.78,2.03,2.61
MGN,2025-10-20,2.5,2.56,2.3456,2.41
MGN,2025-10-21,2.42,2.45,2.2218,2.44
MGN,2025-10-22,2.32,2.5899,2.0,2.14
MGN,2025-10-23,2.24,2.28,1.835,1.99
MGN,2025-10-24,1.76,1.88,1.6016,1.8
MGN,2025-10-27,1.72,2.0637,1.72,1.9
MGN,2025-10-28,1.85,1.92,1.77,1.86
MGN,2025-10-29,1.76,1.85,1.73,1.76
MGN,2025-10-30,1.72,1.79,1.62,1.63
MGN,2025-10-31,1.65,1.79,1.64,1.7
MGN,2025-11-03,1.6,1.7279,1.6,1.68
MGN,2025-11-04,1.61,1.625,1.5,1.62
MGN,2025-11-05,1.57,1.6423,1.5414,1.61
MGN,2025-11-06,1.56,1.61,1.45,1.45
MGN,2025-11-07,1.4,1.44,1.3,1.43
MGN,2025-11-10,1.43,1.6,1.41,1.535
MGN,2025-11-11,1.54,1.54,1.362,1.5
MGN,2025-11-12,1.49,1.715,1.47,1.69
MGN,2025-11-13,1.61,1.64,1.5,1.55
MGN,2025-11-14,1.5366,1.5732,1.5,1.54
MGN,2025-11-17,1.5,1.57,1.35,1.45
MGN,2025-11-18,1.44,1.77,1.43,1.7298
MGN,2025-11-19,1.68,1.68,1.5125,1.6
MGN,2025-11-20,1.61,1.635,1.4,1.5
MGN,2025-11-21,1.46,1.85,1.46,1.75
MGN,2025-11-24,1.73,2.12,1.7,1.92
MGN,2025-11-25,1.86,1.955,1.84,1.9
MGN,2025-11-26,1.9,2.16,1.8518,2.0799
MGN,2025-11-28,2.11,2.11,1.94,1.94
MGN,2025-12-01,1.87,2.374,1.87,2.21
MGN,2025-12-02,2.2509,2.26,2.0001,2.07
MGN,2025-12-03,2.07,2.15,1.855,2.07
MGN,2025-12-04,2.01,2.05,1.96,2.05
MGN,2025-12-05,2.03,2.18,1.97,2.12
MGN,2025-12-08,2.1,2.24,2.08,2.125
MGN,2025-12-09,2.04,2.17,1.94,2.13
MGN,2025-12-10,2.03,2.14,2.02,2.1
MGN,2025-12-11,2.03,2.19,2.03,2.18
MGN,2025-12-12,2.03,2.08,1.95,1.98
MGN,2025-12-15,1.95,2.1005,1.835,2.07
MGN,2025-12-16,1.95,1.97,1.851,1.89
MGN,2025-12-17,1.87,1.87,1.61,1.75
MGN,2025-12-18,1.75,1.9899,1.745,1.91
MGN,2025-12-19,1.76,1.955,1.7502,1.9
MGN,2025-12-22,1.9,1.9366,1.84,1.85
MGN,2025-12-23,1.862,1.92,1.81,1.85
MGN,2025-12-24,1.85,1.86,1.8,1.8
MGN,2025-12-26,1.79,1.79,1.6505,1.67
MGN,2025-12-29,1.67,1.67,1.5015,1.57
MGN,2025-12-30,1.57,1.63,1.55,1.6
MGN,2025-12-31,1.51,1.6155,1.51,1.54
MGN,2026-01-02,1.52,1.7,1.52,1.66
MGN,2026-01-05,1.57,1.605,1.445,1.59
MGN,2026-01-06,1.67,2.15,1.5,1.52
MGN,2026-01-07,1.5,1.555,1.4,1.5
MGN,2026-01-08,1.525,1.65,1.525,1.64
MGN,2026-01-09,1.8,1.98,1.7799,1.94
MGN,2026-01-12,1.97,2.24,1.91,2.07
MGN,2026-01-13,2.05,2.05,1.92,1.97
MGN,2026-01-14,1.92,1.92,1.73,1.84
MGN,2026-01-15,1.91,1.91,1.61,1.745
MGN,2026-01-16,1.82,1.82,1.66,1.73
MGN,2026-01-20,1.6964,1.8,1.63,1.725
MGN,2026-01-21,1.73,1.855,1.72,1.78
MGN,2026-01-22,1.82,1.88,1.77,1.86
MGN,2026-01-23,1.83,1.94,1.76,1.88
MGN,2026-01-26,1.9,1.9106,1.83,1.88
MGN,2026-01-27,1.88,1.885,1.7237,1.86
MGN,2026-01-28,1.8145,1.825,1.702,1.71
MGN,2026-01-29,1.7,1.79,1.69,1.76
MGN,2026-01-30,1.740756,1.765,1.69,1.69
MGN,2026-02-02,1.8,1.89,1.7001,1.87
