ticker,date,open,high,low,close
MGRT,2025-07-16,3.99,4.0,3.39,3.81
MGRT,2025-07-17,3.5,3.64,3.395,3.44
MGRT,2025-07-18,3.43,3.74,3.43,3.47
MGRT,2025-07-21,3.59,3.6599,3.23,3.23
MGRT,2025-07-22,3.23,3.62,3.091,3.36
MGRT,2025-07-23,3.79,3.93,3.35,3.49
MGRT,2025-07-24,3.4,3.54,2.68,3.21
MGRT,2025-07-25,3.2611,3.53,3.099,3.33
MGRT,2025-07-28,3.06,3.1,1.5001,2.28
MGRT,2025-07-29,2.2,3.6,2.2,2.8
MGRT,2025-07-30,2.7,3.2,2.63,2.63
MGRT,2025-07-31,2.7,2.84,2.3302,2.46
MGRT,2025-08-01,2.37,3.6,2.3103,3.26
MGRT,2025-08-04,3.16,3.2608,2.71,3.04
MGRT,2025-08-05,2.99,3.1838,2.91,2.92
MGRT,2025-08-06,2.73,3.92,2.73,3.84
MGRT,2025-08-07,3.87,3.875,3.59,3.69
MGRT,2025-08-08,3.51,3.64,2.655,2.85
MGRT,2025-08-11,2.94,3.0196,2.85,2.85
MGRT,2025-08-12,2.73,3.29,2.73,3.01
MGRT,2025-08-13,3.1,3.3,2.8565,3.17
MGRT,2025-08-14,2.9852,3.21,2.9692,3.02
MGRT,2025-08-15,3.12,3.56,3.025,3.45
MGRT,2025-08-18,3.15,3.58,3.062,3.38
MGRT,2025-08-19,3.25,3.6,2.92,3.44
MGRT,2025-08-20,3.38,3.4,3.2519,3.26
MGRT,2025-08-21,3.11,3.399,3.11,3.2
MGRT,2025-08-22,3.3,3.33,3.21,3.33
MGRT,2025-08-25,3.06,3.4,3.06,3.38
MGRT,2025-08-26,3.38,3.4,3.3006,3.38
MGRT,2025-08-27,3.26,3.6205,3.26,3.55
MGRT,2025-08-28,3.36,3.7,3.2879,3.63
MGRT,2025-08-29,3.51,3.575,3.318,3.5
MGRT,2025-09-02,3.33,3.5364,3.32,3.47
MGRT,2025-09-03,3.69,3.69,3.32,3.32
MGRT,2025-09-04,3.4229,3.5479,3.08,3.5
MGRT,2025-09-05,3.37,3.6945,3.135,3.38
MGRT,2025-09-08,3.3,3.61,3.3,3.44
MGRT,2025-09-09,3.3164,3.7,3.295,3.6941
MGRT,2025-09-10,3.66,3.74,3.56,3.58
MGRT,2025-09-11,3.58,3.7222,3.52,3.52
MGRT,2025-09-12,3.5994,4.6,3.5994,4.52
MGRT,2025-09-15,4.35,4.57,3.94,4.1
MGRT,2025-09-16,4.15,4.35,4.02,4.215
MGRT,2025-09-17,4.0701,4.2,4.07,4.2
MGRT,2025-09-18,4.0901,4.39,4.0901,4.39
MGRT,2025-09-19,4.39,4.54,4.01,4.11
MGRT,2025-09-22,4.09,4.2,3.72,3.9
MGRT,2025-09-23,3.95,4.08,3.9,4.05
MGRT,2025-09-24,4.24,4.4993,3.9,4.38
MGRT,2025-09-25,4.27,4.61,4.19,4.6
MGRT,2025-09-26,4.46,4.58,4.2,4.2
MGRT,2025-09-29,4.2037,4.55,4.2037,4.4768
MGRT,2025-09-30,4.46,4.71,4.18,4.67
MGRT,2025-10-01,4.96,5.0,4.46,4.57
MGRT,2025-10-02,4.51,4.65,4.21,4.5001
MGRT,2025-10-03,4.5,4.95,4.45,4.85
MGRT,2025-10-06,4.87,4.9521,4.51,4.84
MGRT,2025-10-07,4.44,4.78,4.37,4.77
MGRT,2025-10-08,4.69,4.83,4.58,4.8001
MGRT,2025-10-09,4.7,6.2,4.7,5.86
MGRT,2025-10-10,5.54,5.67,4.2,4.38
MGRT,2025-10-13,4.3,5.45,4.2601,5.31
MGRT,2025-10-14,5.31,5.57,4.51,4.76
MGRT,2025-10-15,4.64,5.2919,4.5,4.6
MGRT,2025-10-16,4.6411,4.815,4.34,4.34
MGRT,2025-10-17,4.39,5.98,4.35,5.24
MGRT,2025-10-20,5.0,5.29,4.82,5.05
MGRT,2025-10-21,5.15,5.33,5.0012,5.01
MGRT,2025-10-22,5.01,5.4001,5.01,5.08
MGRT,2025-10-23,5.08,5.08,4.89,4.89
MGRT,2025-10-24,4.91,5.15,4.7,4.8
MGRT,2025-10-27,4.8,4.84,4.5,4.52
MGRT,2025-10-28,4.77,6.28,4.65,5.0
MGRT,2025-10-29,4.99,5.24,4.815,4.95
MGRT,2025-10-30,5.11,5.11,4.82,4.82
MGRT,2025-10-31,4.96,5.104,4.9,4.91
MGRT,2025-11-03,5.15,5.15,4.9144,4.93
MGRT,2025-11-04,5.025,5.26,4.93,5.08
MGRT,2025-11-05,5.14,6.64,5.14,6.07
MGRT,2025-11-06,6.22,6.7638,6.07,6.09
MGRT,2025-11-07,6.01,6.7587,5.45,6.36
MGRT,2025-11-10,6.0,7.0,5.6685,6.4
MGRT,2025-11-11,6.15,6.3632,6.03,6.11
MGRT,2025-11-12,6.2,6.45,6.0,6.14
MGRT,2025-11-13,5.96,6.29,5.53,6.06
MGRT,2025-11-14,5.82,6.41,5.82,6.31
MGRT,2025-11-17,6.69,6.81,6.5,6.65
MGRT,2025-11-18,6.59,6.7,6.32,6.5001
MGRT,2025-11-19,6.51,6.51,5.64,5.99
MGRT,2025-11-20,6.3,6.49,6.09,6.45
MGRT,2025-11-21,6.12,7.95,5.94,7.36
MGRT,2025-11-24,6.89,7.14,6.71,6.9101
MGRT,2025-11-25,7.16,7.16,6.46,6.46
MGRT,2025-11-26,6.4,6.49,6.31,6.42
MGRT,2025-11-28,6.48,6.5534,6.0,6.05
MGRT,2025-12-01,6.05,6.3198,5.72,5.72
MGRT,2025-12-02,6.01,6.25,5.75,5.85
MGRT,2025-12-03,5.85,5.85,5.22,5.22
