ticker,date,open,high,low,close
MPLT,2025-10-27,19.0,20.8558,18.0,18.34
MPLT,2025-10-28,17.75,19.39,16.75,16.75
MPLT,2025-10-29,16.77,17.66,15.0,16.53
MPLT,2025-10-30,16.8,18.35,16.5901,18.13
MPLT,2025-10-31,18.67,18.8389,16.21,17.075
MPLT,2025-11-03,17.0,17.56,15.16,16.96
MPLT,2025-11-04,16.61,16.61,15.675,16.24
MPLT,2025-11-05,16.22,16.765,15.78,16.0
MPLT,2025-11-06,15.85,16.25,14.0001,16.14
MPLT,2025-11-07,15.92,16.27,15.01,15.61
MPLT,2025-11-10,15.73,16.19,14.93,15.22
MPLT,2025-11-11,15.36,16.1,14.64,15.12
MPLT,2025-11-12,14.65,16.08,13.33,14.49
MPLT,2025-11-13,14.2,14.55,13.81,14.26
MPLT,2025-11-14,14.14,14.631,13.365,14.09
MPLT,2025-11-17,13.9,14.605,13.8,13.8
MPLT,2025-11-18,13.49,15.375,13.49,14.9
MPLT,2025-11-19,14.88,15.35,13.47,14.6
MPLT,2025-11-20,14.6,15.075,13.28,13.4
MPLT,2025-11-21,13.96,14.415,13.2,13.915
MPLT,2025-11-24,13.8,14.32,12.92,13.0
MPLT,2025-11-25,12.87,13.55,12.68,12.81
MPLT,2025-11-26,12.65,13.07,12.24,12.99
MPLT,2025-11-28,13.0,14.18,12.9,13.63
MPLT,2025-12-01,13.99,14.0,12.77,13.59
MPLT,2025-12-02,13.51,14.08,12.845,12.89
MPLT,2025-12-03,14.11,17.25,14.11,16.92
MPLT,2025-12-04,16.46,18.9495,16.0,18.34
MPLT,2025-12-05,18.1,19.2462,17.82,18.49
MPLT,2025-12-08,18.87,20.1,18.0,18.37
MPLT,2025-12-09,18.26,19.01,18.165,18.85
MPLT,2025-12-10,19.15,21.395,18.0,20.58
MPLT,2025-12-11,20.43,21.2,19.455,20.095
MPLT,2025-12-12,20.05,21.38,20.04,20.7
MPLT,2025-12-15,20.51,21.55,20.245,20.96
MPLT,2025-12-16,21.19,21.19,20.01,20.35
MPLT,2025-12-17,20.1,20.4,19.3878,19.64
MPLT,2025-12-18,19.21,20.315,19.21,19.92
MPLT,2025-12-19,19.74,21.08,19.74,20.55
MPLT,2025-12-22,20.13,21.47,19.17,19.18
MPLT,2025-12-23,18.82,19.55,17.8,17.86
MPLT,2025-12-24,17.78,18.27,17.78,18.12
MPLT,2025-12-26,18.05,18.35,17.65,18.01
MPLT,2025-12-29,18.0,18.25,17.6,17.73
MPLT,2025-12-30,17.72,18.33,17.72,17.93
MPLT,2025-12-31,17.9,18.245,17.52,17.565
MPLT,2026-01-02,17.4,17.78,15.58,16.77
MPLT,2026-01-05,17.11,17.33,15.775,17.27
MPLT,2026-01-06,17.22,17.41,16.545,16.94
MPLT,2026-01-07,17.0,17.41,16.0,16.06
MPLT,2026-01-08,16.32,17.27,15.877,17.19
MPLT,2026-01-09,17.5,18.99,17.16,18.02
MPLT,2026-01-12,17.68,20.5,17.5225,19.07
MPLT,2026-01-13,19.06,19.06,17.45,17.64
MPLT,2026-01-14,17.69,19.54,17.35,18.76
MPLT,2026-01-15,18.4,18.88,17.51,18.48
MPLT,2026-01-16,18.61,18.61,16.76,17.0
MPLT,2026-01-20,17.2,17.2553,16.38,17.03
MPLT,2026-01-21,17.17,18.49,16.275,16.91
MPLT,2026-01-22,17.2,19.68,17.0,18.6
MPLT,2026-01-23,18.81,19.5,17.79,17.98
MPLT,2026-01-26,17.98,18.32,17.055,17.98
MPLT,2026-01-27,17.77,19.23,17.73,19.15
MPLT,2026-01-28,19.25,19.335,18.07,18.86
MPLT,2026-01-29,18.77,19.28,18.175,18.58
MPLT,2026-01-30,18.5,18.585,17.51,17.69
MPLT,2026-02-02,17.69,18.305,17.45,17.93
