ticker,date,open,high,low,close
MSGY,2025-07-08,4.28,4.71,3.83,4.09
MSGY,2025-07-09,4.0,6.8,3.91,5.03
MSGY,2025-07-10,4.29,5.0,4.23,4.53
MSGY,2025-07-11,4.51,4.51,4.51,4.51
MSGY,2025-07-14,4.45,4.65,4.23,4.24
MSGY,2025-07-15,4.3936,5.2349,4.37,5.02
MSGY,2025-07-16,5.36,5.9,5.03,5.8
MSGY,2025-07-17,5.8,6.0,5.05,5.57
MSGY,2025-07-18,5.76,7.5,5.4,6.41
MSGY,2025-07-21,6.4,8.0,6.0001,7.7
MSGY,2025-07-22,8.35,8.8,7.1,8.15
MSGY,2025-07-23,7.95,10.88,7.405,9.81
MSGY,2025-07-24,9.81,11.0,9.4,10.01
MSGY,2025-07-25,10.0,10.445,9.5,9.85
MSGY,2025-07-28,10.07,10.3,9.67,10.2
MSGY,2025-07-29,10.15,10.21,9.6,9.81
MSGY,2025-07-30,10.0,10.55,9.3,10.44
MSGY,2025-07-31,10.1,12.1999,10.06,11.27
MSGY,2025-08-01,11.12,11.7611,9.99,10.03
MSGY,2025-08-04,9.81,10.7605,9.8,10.74
MSGY,2025-08-05,10.23,11.0745,10.23,11.03
MSGY,2025-08-06,10.69,11.3,10.2001,10.63
MSGY,2025-08-07,10.31,11.6303,7.74,11.43
MSGY,2025-08-08,11.2,12.0,10.89,12.0
MSGY,2025-08-11,11.31,12.0,11.1768,11.96
MSGY,2025-08-12,11.9,11.9,11.3,11.56
MSGY,2025-08-13,11.7,11.7,11.19,11.33
MSGY,2025-08-14,11.49,11.8181,11.2,11.5
MSGY,2025-08-15,11.5,11.86,11.3,11.5
MSGY,2025-08-18,11.41,11.6,11.41,11.53
MSGY,2025-08-19,11.6,12.22,11.31,11.85
MSGY,2025-08-20,12.04,12.16,11.62,11.76
MSGY,2025-08-21,11.76,12.19,11.6,11.9
MSGY,2025-08-22,12.15,12.15,11.77,11.9
MSGY,2025-08-25,12.0,12.092,11.78,11.98
MSGY,2025-08-26,12.1,12.5,11.77,12.5
MSGY,2025-08-27,12.6,12.89,12.0,12.22
MSGY,2025-08-28,12.09,13.0,11.6101,12.89
MSGY,2025-08-29,12.89,13.37,11.8,13.37
MSGY,2025-09-02,12.9,14.5994,12.3,13.3
MSGY,2025-09-03,13.3,13.605,12.53,12.95
MSGY,2025-09-04,12.6,18.68,12.5,17.32
MSGY,2025-09-05,17.29,18.48,13.6296,13.9
MSGY,2025-09-08,12.9,15.8979,12.9,13.5
MSGY,2025-09-09,13.06,13.4526,12.1,13.26
MSGY,2025-09-10,13.15,13.96,12.7,13.1
MSGY,2025-09-11,13.14,13.7,12.96,13.56
MSGY,2025-09-12,13.5,14.3,13.26,14.16
MSGY,2025-09-15,14.16,14.59,13.9,14.15
MSGY,2025-09-16,14.15,14.5,13.88,14.48
MSGY,2025-09-17,14.03,15.38,13.8,14.46
MSGY,2025-09-18,14.75,17.27,14.3,15.68
MSGY,2025-09-19,15.5,16.27,15.46,16.0
MSGY,2025-09-22,16.0,16.5,15.4,15.4
MSGY,2025-09-23,15.72,16.4996,15.45,16.47
MSGY,2025-09-24,16.3,17.3,16.19,16.72
MSGY,2025-09-25,17.08,17.7,16.72,17.3
MSGY,2025-09-26,16.91,22.2,16.89,19.7
MSGY,2025-09-29,19.3,19.84,18.5,19.62
MSGY,2025-09-30,19.7,20.43,19.32,20.4
MSGY,2025-10-01,20.34,20.79,20.1001,20.52
MSGY,2025-10-02,20.45,21.33,2.6,2.97
MSGY,2025-10-03,2.42,2.6299,2.33,2.51
MSGY,2025-10-06,2.35,2.36,2.0,2.0
MSGY,2025-10-07,1.93,1.94,1.61,1.61
MSGY,2025-10-08,1.53,1.5699,1.41,1.52
MSGY,2025-10-09,1.55,1.78,1.55,1.62
MSGY,2025-10-10,1.6,1.7399,1.5901,1.6
MSGY,2025-10-13,1.59,1.64,1.51,1.56
MSGY,2025-10-14,1.56,1.73,1.52,1.6
MSGY,2025-10-15,1.78,1.78,1.62,1.65
MSGY,2025-10-16,1.65,1.76,1.65,1.68
MSGY,2025-10-17,1.67,1.81,1.66,1.69
MSGY,2025-10-20,1.69,1.75,1.62,1.68
MSGY,2025-10-21,1.66,1.75,1.66,1.68
MSGY,2025-10-22,1.58,1.7,1.48,1.56
MSGY,2025-10-23,1.55,1.68,1.55,1.59
MSGY,2025-10-24,1.55,1.7,1.55,1.62
MSGY,2025-10-27,1.54,1.66,1.51,1.53
MSGY,2025-10-28,1.5,1.6,1.49,1.5
MSGY,2025-10-29,1.5,1.59,1.5,1.535
MSGY,2025-10-30,1.52,1.65,1.52,1.54
MSGY,2025-10-31,1.51,1.65,1.51,1.58
MSGY,2025-11-03,1.58,1.58,1.47,1.5
MSGY,2025-11-04,1.42,1.55,1.4,1.45
MSGY,2025-11-05,1.42,1.53,1.42,1.45
MSGY,2025-11-06,1.44,1.55,1.41,1.42
MSGY,2025-11-07,1.4,1.42,0.83,0.95
MSGY,2025-11-10,1.25,1.7,1.18,1.45
MSGY,2025-11-11,1.18,1.49,1.13,1.42
MSGY,2025-11-12,1.21,1.45,1.21,1.411
MSGY,2025-11-13,1.3,1.53,1.2943,1.4
MSGY,2025-11-14,1.38,1.79,1.38,1.7026
MSGY,2025-11-17,1.71,1.87,1.6507,1.8
MSGY,2025-11-18,1.71,2.16,1.7,2.08
MSGY,2025-11-19,2.15,2.39,2.0,2.24
MSGY,2025-11-20,2.24,2.429,2.02,2.26
MSGY,2025-11-21,2.29,2.56,2.162,2.45
MSGY,2025-11-24,2.48,2.64,2.38,2.55
MSGY,2025-11-25,2.65,2.72,2.52,2.61
MSGY,2025-11-26,2.63,2.77,2.6201,2.745
MSGY,2025-11-28,2.7,2.9399,2.62,2.69
MSGY,2025-12-01,2.74,2.86,2.64,2.86
MSGY,2025-12-02,2.88,3.09,2.7501,2.9
MSGY,2025-12-03,2.84,2.8544,2.65,2.71
MSGY,2025-12-04,2.74,2.89,2.66,2.81
MSGY,2025-12-05,2.8,2.85,2.76,2.83
MSGY,2025-12-08,2.79,2.82,2.72,2.78
MSGY,2025-12-09,2.76,2.8,2.66,2.74
MSGY,2025-12-10,2.79,2.79,2.71,2.75
MSGY,2025-12-11,2.89,3.525,2.68,2.73
MSGY,2025-12-12,2.8,2.8337,2.55,2.77
MSGY,2025-12-15,2.79,2.83,2.68,2.71
MSGY,2025-12-16,2.7,2.74,2.6899,2.7
MSGY,2025-12-17,2.68,2.78,2.68,2.74
MSGY,2025-12-18,2.71,2.81,2.71,2.81
MSGY,2025-12-19,2.75,2.86,2.71,2.72
MSGY,2025-12-22,2.68,2.735,2.68,2.72
MSGY,2025-12-23,2.69,2.75,2.65,2.68
MSGY,2025-12-24,2.7,2.7,2.6501,2.68
MSGY,2025-12-26,2.68,2.703,2.67,2.68
MSGY,2025-12-29,2.59,2.74,2.59,2.67
MSGY,2025-12-30,2.67,2.71,2.67,2.685
MSGY,2025-12-31,2.67,2.69,2.645,2.69
MSGY,2026-01-02,2.6871,2.69,2.6601,2.69
MSGY,2026-01-05,2.65,2.68,2.6,2.63
MSGY,2026-01-06,2.51,2.7,2.51,2.67
MSGY,2026-01-07,2.69,2.71,2.6115,2.7
MSGY,2026-01-08,2.71,2.9,2.67,2.87
MSGY,2026-01-09,2.99,3.0395,2.75,2.86
MSGY,2026-01-12,2.87,3.05,2.29,2.85
MSGY,2026-01-13,2.75,2.99,2.7,2.95
MSGY,2026-01-14,3.015,3.11,2.99,3.06
MSGY,2026-01-15,2.995,3.14,2.995,3.13
MSGY,2026-01-16,3.17,3.26,3.1301,3.24
MSGY,2026-01-20,3.23,4.4,3.19,4.095
MSGY,2026-01-21,4.18,5.8999,4.08,5.41
MSGY,2026-01-22,5.8,6.6,5.19,5.65
MSGY,2026-01-23,5.6,5.79,5.47,5.77
MSGY,2026-01-26,5.77,6.11,5.62,6.04
MSGY,2026-01-27,6.03,6.6,5.75,6.26
MSGY,2026-01-28,6.24,6.3,0.7,2.05
MSGY,2026-01-29,1.25,1.31,0.7502,0.8
MSGY,2026-01-30,0.8012,1.15,0.8012,0.8401
MSGY,2026-02-02,0.9327,0.959,0.8289,0.8367
