ticker,date,open,high,low,close
MTVA,2024-12-02,2.5213,2.65,2.5213,2.6
MTVA,2024-12-03,2.58,2.635,2.35,2.57
MTVA,2024-12-04,2.45,2.47,2.28,2.4499
MTVA,2024-12-05,2.37,2.535,2.28,2.3
MTVA,2024-12-06,2.39,2.455,2.04,2.31
MTVA,2024-12-09,2.24,2.35,2.24,2.32
MTVA,2025-01-27,1.95,1.954,1.84,1.86
MTVA,2025-01-28,1.9075,2.14,1.85,1.98
MTVA,2025-01-29,2.0,2.0,1.75,1.89
MTVA,2025-01-30,1.9992,2.015,1.87,1.88
MTVA,2025-01-31,1.89,1.9499,1.76,1.81
MTVA,2025-02-03,1.74,1.81,1.7,1.74
MTVA,2025-02-04,1.8588,1.8588,1.7,1.74
MTVA,2025-02-05,1.71,1.8,1.71,1.79
MTVA,2025-02-06,1.8,1.866,1.7423,1.81
MTVA,2025-02-07,1.75,1.81,1.73,1.73
MTVA,2025-02-10,1.78,1.94,1.72,1.74
MTVA,2025-02-11,1.68,1.93,1.68,1.76
MTVA,2025-02-12,1.7782,1.85,1.7175,1.73
MTVA,2025-02-13,1.7,1.7462,1.6212,1.65
MTVA,2025-02-14,1.6857,1.7335,1.65,1.674
MTVA,2025-02-18,1.66,1.7667,1.56,1.65
MTVA,2025-02-19,1.6718,1.7616,1.51,1.6
MTVA,2025-02-20,1.61,1.66,1.54,1.64
MTVA,2025-02-21,1.64,1.695,1.55,1.6038
MTVA,2025-02-24,1.64,1.67,1.56,1.56
MTVA,2025-02-25,1.625,1.625,1.574,1.574
MTVA,2025-02-26,1.5701,1.65,1.29,1.51
MTVA,2025-02-27,1.46,1.46,1.29,1.46
MTVA,2025-02-28,1.48,1.5,1.4101,1.45
MTVA,2025-03-03,1.46,1.5277,1.4203,1.48
MTVA,2025-03-04,1.38,1.52,1.38,1.46
MTVA,2025-03-05,1.4743,1.5897,1.42,1.52
MTVA,2025-03-06,1.53,1.6043,1.53,1.57
MTVA,2025-03-07,1.65,1.68,1.43,1.55
MTVA,2025-03-10,1.55,1.58,1.43,1.505
MTVA,2025-03-11,1.55,1.55,1.47,1.47
MTVA,2025-03-12,1.565,1.565,1.42,1.49943
MTVA,2025-03-13,1.5143,1.56,1.4899,1.505
MTVA,2025-03-14,1.54,1.54,1.45,1.48
MTVA,2025-03-17,1.565,1.6386,1.55,1.5901
MTVA,2025-03-18,1.57,1.57,1.57,1.57
MTVA,2025-03-19,1.59,1.6197,1.52,1.5892
MTVA,2025-03-20,1.55,1.55,1.48,1.55
MTVA,2025-03-21,1.5497,1.56,1.51,1.55
MTVA,2025-03-24,1.5358,1.58,1.52,1.58
MTVA,2025-03-25,1.52,1.6,1.52,1.5841
MTVA,2025-03-26,1.58,1.6,1.5076,1.59
MTVA,2025-03-27,1.58,1.6065,1.51,1.56
MTVA,2025-03-28,1.6092,1.62,1.51,1.575
MTVA,2025-03-31,1.52,1.6131,1.52,1.61
MTVA,2025-04-01,1.575,1.575,1.5201,1.575
MTVA,2025-04-02,1.54,1.54,1.48,1.54
MTVA,2025-04-03,1.56,1.595,1.4781,1.53
MTVA,2025-04-04,1.499,1.499,1.4237,1.499
MTVA,2025-04-07,1.43,1.53,1.36,1.401
MTVA,2025-04-08,1.41,1.46,1.31,1.365
MTVA,2025-04-09,1.35,1.4898,1.26,1.38
MTVA,2025-04-10,1.38,1.43,1.35,1.37
MTVA,2025-04-11,1.435,1.45,1.38,1.45
MTVA,2025-04-14,1.54,1.84,1.54,1.84
MTVA,2025-04-15,1.97,2.1,0.8055,0.81
MTVA,2025-04-16,0.855,0.8698,0.71,0.7343
MTVA,2025-04-17,0.7,0.7479,0.647,0.739
MTVA,2025-04-21,0.7292,0.77,0.7,0.7326
MTVA,2025-04-22,0.7274,0.7841,0.67,0.75
MTVA,2025-04-23,0.7673,0.829728,0.744638,0.8001
MTVA,2025-04-24,0.7886,0.86,0.7886,0.85
MTVA,2025-04-25,0.8245,0.85,0.8007,0.8226
MTVA,2025-04-28,0.791,0.791,0.7804,0.791
MTVA,2025-04-29,0.7801,0.7801,0.7581,0.7801
MTVA,2025-04-30,0.7717,0.7898,0.7502,0.761
MTVA,2025-05-01,0.76,0.7667,0.744,0.762
MTVA,2025-05-02,0.7526,0.7789,0.735,0.7789
MTVA,2025-05-05,0.7506,0.8,0.7257,0.77
MTVA,2025-05-06,0.749999,0.7898,0.7211,0.7406
MTVA,2025-05-07,0.794,0.794,0.6602,0.681
MTVA,2025-05-08,0.6991,0.71,0.66,0.71
MTVA,2025-05-09,0.715,0.75,0.7003,0.729
MTVA,2025-05-12,0.725,0.732501,0.68,0.7007
MTVA,2025-05-13,0.65,0.65,0.65,0.65
MTVA,2025-05-14,0.65,0.6889,0.65,0.667
MTVA,2025-05-15,0.66,0.68,0.66,0.6758
MTVA,2025-05-16,0.66,0.6983,0.659899,0.6845
MTVA,2025-05-19,0.68,0.699,0.6685,0.699
MTVA,2025-05-20,0.6931,0.71055,0.68,0.6905
