ticker,date,open,high,low,close
MWYN,2025-03-13,4.6,4.86,4.3,4.3
MWYN,2025-03-14,4.3,4.44,4.23,4.23
MWYN,2025-03-17,4.29,5.2,4.29,4.6913
MWYN,2025-03-18,4.85,4.9754,4.2,4.4
MWYN,2025-03-19,4.48,4.76,4.0,4.01
MWYN,2025-03-20,3.99,4.19,3.75,3.9987
MWYN,2025-03-21,4.045,4.88,4.045,4.45
MWYN,2025-03-24,4.53,4.56,4.33,4.33
MWYN,2025-03-25,4.36,4.43,4.0,4.2
MWYN,2025-03-26,4.0,4.505,4.0,4.38
MWYN,2025-03-27,4.43,4.75,4.16,4.31
MWYN,2025-03-28,4.35,4.69,3.92,4.09
MWYN,2025-03-31,4.13,4.4,4.13,4.17
MWYN,2025-04-01,4.3154,4.5,4.15,4.4
MWYN,2025-04-02,4.42,4.54,4.01,4.38
MWYN,2025-04-03,4.3991,4.3991,4.25,4.3792
MWYN,2025-04-04,4.31,4.42,4.185,4.42
MWYN,2025-04-07,4.39,4.46,4.1701,4.42
MWYN,2025-04-08,4.46,4.49,4.195,4.39
MWYN,2025-04-09,4.31,4.4,4.15,4.4
MWYN,2025-04-10,4.36,4.38,4.17,4.38
MWYN,2025-04-11,4.3,4.5,4.19,4.46
MWYN,2025-04-14,4.35,4.58,4.16,4.56
MWYN,2025-04-15,4.43,5.5,4.25,4.31
MWYN,2025-04-16,4.295,4.3699,4.05,4.33
MWYN,2025-04-17,4.33,4.8999,4.22,4.4
MWYN,2025-04-21,4.4,4.45,3.52,3.94
MWYN,2025-04-22,4.0,4.5,3.85,4.41
MWYN,2025-04-23,4.4,4.78,4.0,4.37
MWYN,2025-04-24,4.3,4.6,4.17,4.22
MWYN,2025-04-25,4.33,4.33,3.94,3.98
MWYN,2025-04-28,3.97,4.33,3.82,4.07
MWYN,2025-04-29,4.175,4.23,2.25,3.16
MWYN,2025-04-30,3.18,3.35,2.91,3.32
MWYN,2025-05-01,3.3,3.3,3.03,3.04
MWYN,2025-05-02,3.11,3.13,2.98,3.05
MWYN,2025-05-05,3.03,3.35,2.98,3.24
MWYN,2025-05-06,3.18,3.37,3.11,3.3
MWYN,2025-05-07,3.3161,3.59,3.31,3.51
MWYN,2025-05-08,3.52,4.41,3.52,4.41
MWYN,2025-05-09,4.42,5.87,4.2418,5.76
MWYN,2025-05-12,6.0,7.68,5.45,7.17
MWYN,2025-05-13,7.13,7.43,6.47,7.23
MWYN,2025-05-14,8.7,8.9125,6.9301,7.68
MWYN,2025-05-15,7.62,8.17,7.62,7.7
MWYN,2025-05-16,7.5,8.25,7.2001,7.96
MWYN,2025-05-19,7.8,8.3,7.63,8.19
MWYN,2025-05-20,8.2,8.42,7.755,8.21
MWYN,2025-05-21,8.03,10.8768,8.01,10.22
MWYN,2025-05-22,9.61,11.2,8.91,9.05
MWYN,2025-05-23,9.01,9.425,8.4,8.87
MWYN,2025-05-27,8.9,9.75,8.74,9.57
MWYN,2025-05-28,9.69,10.06,9.492,9.8
MWYN,2025-05-29,9.6,9.7736,9.32,9.43
MWYN,2025-05-30,9.4,9.9799,9.25,9.95
MWYN,2025-06-02,9.67,9.89,8.81,9.06
MWYN,2025-06-03,9.01,9.99,9.01,9.73
MWYN,2025-06-04,9.83,10.4603,9.13,9.88
MWYN,2025-06-05,9.75,10.42,8.81,9.82
MWYN,2025-06-06,9.8,9.8,1.4,2.855
MWYN,2025-06-09,2.76,2.76,1.85,1.96
MWYN,2025-06-10,1.81,1.8499,1.42,1.425
MWYN,2025-06-11,1.46,1.69,1.46,1.62
MWYN,2025-06-12,1.58,1.62,1.45,1.45
MWYN,2025-06-13,1.39,1.6,1.38,1.56
MWYN,2025-06-16,1.57,1.77,1.56,1.61
MWYN,2025-06-17,1.63,1.6799,1.61,1.67
MWYN,2025-06-18,1.67,1.76,1.65,1.69
MWYN,2025-06-20,1.71,1.71,1.55,1.58
MWYN,2025-06-23,1.51,1.6168,1.5,1.52
MWYN,2025-06-24,1.59,1.74,1.59,1.69
MWYN,2025-06-25,1.71,1.77,1.65,1.72
MWYN,2025-06-26,1.7,2.05,1.69,2.02
MWYN,2025-06-27,2.01,2.3792,1.91,1.91
MWYN,2025-06-30,1.9,1.93,1.7298,1.77
MWYN,2025-07-01,1.73,1.875,1.7,1.71
MWYN,2025-07-02,1.65,1.79,1.64,1.65
MWYN,2025-07-03,1.69,1.69,1.62,1.65
MWYN,2025-07-07,1.62,1.6825,1.5101,1.52
MWYN,2025-07-08,1.53,1.635,1.472,1.62
MWYN,2025-07-09,1.62,1.69,1.52,1.56
MWYN,2025-07-10,1.53,1.6,1.5,1.54
MWYN,2025-07-11,1.42,1.42,1.42,1.42
MWYN,2025-07-14,1.41,1.53,1.41,1.5
MWYN,2025-07-15,1.46,1.4826,1.39,1.4
MWYN,2025-07-16,1.4,1.4,1.36,1.4
MWYN,2025-07-17,1.4,1.4,1.3536,1.385
MWYN,2025-07-18,1.37,1.37,1.3,1.33
MWYN,2025-07-21,1.35,1.4,1.22,1.25
MWYN,2025-07-22,1.24,1.24,1.21,1.22
MWYN,2025-07-23,1.2,1.335,1.15,1.31
MWYN,2025-07-24,1.28,1.3,1.24,1.26
MWYN,2025-07-25,1.27,1.3,1.245,1.29
MWYN,2025-07-28,1.2779,1.28,1.2,1.22
MWYN,2025-07-29,1.18,1.2089,1.13,1.135
MWYN,2025-07-30,1.2,1.21,0.9558,0.98
MWYN,2025-07-31,1.0,1.015,0.8091,0.9
MWYN,2025-08-01,1.72,1.75,1.16,1.36
MWYN,2025-08-04,1.13,1.135,0.9268,1.06
MWYN,2025-08-05,0.983,1.1507,0.983,1.05
MWYN,2025-08-06,1.0,1.1495,1.0,1.05
MWYN,2025-08-07,1.09,1.28,1.045,1.09
MWYN,2025-08-08,1.14,1.2,1.11,1.13
MWYN,2025-08-11,1.2,1.2,1.07,1.07
MWYN,2025-08-12,1.07,1.1,1.0336,1.08
MWYN,2025-08-13,1.09,1.09,1.0,1.01
MWYN,2025-08-14,0.98,1.025,0.8642,0.9465
MWYN,2025-08-15,0.945,0.975,0.8816,0.951
MWYN,2025-08-18,0.9336,0.9834,0.86,0.8743
MWYN,2025-08-19,0.8637,0.8898,0.78,0.8301
MWYN,2025-08-20,0.85,0.85,0.7109,0.8001
MWYN,2025-08-21,0.8142,0.8292,0.7801,0.7882
MWYN,2025-08-22,0.77,0.86,0.77,0.855
MWYN,2025-08-25,0.84,0.840173,0.7723,0.7723
MWYN,2025-08-26,0.79,0.83,0.79,0.7925
MWYN,2025-08-27,0.7811,0.8027,0.7617,0.7911
MWYN,2025-08-28,0.79,0.91,0.7704,0.81
MWYN,2025-08-29,0.77,0.9,0.77,0.8275
MWYN,2025-09-02,0.8101,0.8654,0.8101,0.8349
MWYN,2025-09-03,0.803,1.04,0.803,0.938
MWYN,2025-09-04,0.89,0.985,0.88,0.9261
MWYN,2025-09-05,0.89,0.9245,0.8573,0.879
MWYN,2025-09-08,0.87,0.9,0.82,0.8302
MWYN,2025-09-09,0.8223,0.90315,0.8137,0.8596
MWYN,2025-09-10,1.29,2.35,1.08,1.17
MWYN,2025-09-11,1.23,1.43,1.15,1.32
MWYN,2025-09-12,1.33,1.5,1.19,1.19
MWYN,2025-09-15,1.23,1.4313,1.22,1.37
MWYN,2025-09-16,1.42,1.42,1.19,1.23
MWYN,2025-09-17,1.2,1.28,1.2,1.21
MWYN,2025-09-18,1.2,1.25,1.1607,1.23
MWYN,2025-09-19,1.26,1.39,1.23,1.33
MWYN,2025-09-22,1.36,1.375,1.26,1.26
MWYN,2025-09-23,1.09,1.25,1.09,1.25
MWYN,2025-09-24,1.26,1.26,1.17,1.17
MWYN,2025-09-25,1.17,1.2076,1.115,1.15
MWYN,2025-09-26,1.15,1.16,1.12,1.13
MWYN,2025-09-29,1.2,1.2,1.15,1.17
MWYN,2025-09-30,1.14,1.17,1.11,1.17
MWYN,2025-10-01,1.2,1.2,1.13,1.14
MWYN,2025-10-02,1.15,1.155,1.1247,1.14
MWYN,2025-10-03,1.17,1.17,1.11,1.12
MWYN,2025-10-06,1.16,1.25,1.12,1.21
MWYN,2025-10-07,1.17,1.2015,1.13,1.15
MWYN,2025-10-08,1.19,1.19,1.16,1.17
MWYN,2025-10-09,1.18,1.1998,1.15,1.18
MWYN,2025-10-10,1.19,1.19,1.12,1.14
MWYN,2025-10-13,1.17,1.2,1.13,1.17
MWYN,2025-10-14,1.19,1.19,1.14,1.15
MWYN,2025-10-15,1.18,1.18,1.148,1.16
MWYN,2025-10-16,1.15,1.165,1.09,1.09
MWYN,2025-10-17,1.08,1.09,0.9901,1.005
MWYN,2025-10-20,1.06,1.07,1.0,1.03
MWYN,2025-10-21,1.02,1.0498,0.9957,0.999
MWYN,2025-10-22,1.0,1.03,0.95,0.9915
MWYN,2025-10-23,0.9618,1.04,0.9618,0.9983
MWYN,2025-10-24,0.9601,1.035,0.9601,1.03
MWYN,2025-10-27,1.05,1.05,0.9802,0.9952
MWYN,2025-10-28,0.9738,1.0347,0.9738,0.9791
MWYN,2025-10-29,0.9785,0.989299,0.9513,0.9588
MWYN,2025-10-30,0.9529,1.0,0.95,0.9727
MWYN,2025-10-31,0.9633,0.97,0.93,0.9686
MWYN,2025-11-03,0.97,1.02,0.9662,0.9828
MWYN,2025-11-04,0.9084,0.9522,0.9084,0.9498
MWYN,2025-11-05,0.935,0.9498,0.93,0.9427
MWYN,2025-11-06,0.95,0.95,0.9349,0.9351
MWYN,2025-11-07,0.9477,0.9494,0.9103,0.9342
MWYN,2025-11-10,0.8989,0.9342,0.8989,0.9267
MWYN,2025-11-11,0.925,0.9267,0.905,0.9162
MWYN,2025-11-12,0.9162,0.95,0.9112,0.93835
MWYN,2025-11-13,0.95,0.99,0.920001,0.9262
MWYN,2025-11-14,0.91,0.939,0.91,0.9389
MWYN,2025-11-17,0.9475,0.9475,0.8801,0.894
MWYN,2025-11-18,0.8612,0.909999,0.772,0.7968
