ticker,date,open,high,low,close
MYSE,2025-08-11,2.51,2.69,2.195,2.3
MYSE,2025-08-12,2.22,2.35,2.22,2.23
MYSE,2025-08-13,2.28,2.35,2.15,2.25
MYSE,2025-08-14,2.12,2.19,1.9,2.1
MYSE,2025-08-15,2.08,2.0806,1.8,1.865
MYSE,2025-08-18,1.89,2.17,1.89,2.15
MYSE,2025-08-19,2.07,2.158,1.9,1.965
MYSE,2025-08-20,1.96,2.08,1.9321,2.04
MYSE,2025-08-21,2.05,2.2,1.97,2.0
MYSE,2025-08-22,1.95,2.1,1.92,2.07
MYSE,2025-08-25,2.08,2.12,1.9816,2.04
MYSE,2025-08-26,1.99,2.12,1.99,2.12
MYSE,2025-08-27,2.03,2.08,1.99,2.03
MYSE,2025-08-28,2.01,2.094,1.99,2.03
MYSE,2025-08-29,2.02,2.06,1.94,2.03
MYSE,2025-09-02,1.92,2.0741,1.92,1.96
MYSE,2025-09-03,1.964,1.9794,1.85,1.853
MYSE,2025-09-04,1.85,1.92,1.78,1.91
MYSE,2025-09-05,1.88,1.97,1.8642,1.97
MYSE,2025-09-08,1.97,2.03,1.82,1.99
MYSE,2025-09-09,1.94,2.06,1.9188,2.03
MYSE,2025-09-10,1.9355,2.38,1.9355,2.19
MYSE,2025-09-11,2.2,2.285,2.06,2.06
MYSE,2025-09-12,2.12,2.15,2.02,2.063
MYSE,2025-09-15,2.095,2.1428,2.0162,2.1428
MYSE,2025-09-16,2.08,2.1486,2.05,2.093
MYSE,2025-09-17,2.14,2.23,2.1,2.14
MYSE,2025-09-18,2.14,2.29,2.02,2.16
MYSE,2025-09-19,2.23,2.23,2.08,2.12
MYSE,2025-09-22,2.14,2.2765,2.1,2.24
MYSE,2025-09-23,2.19,2.23,2.1201,2.15
MYSE,2025-09-24,2.152,2.19,2.14,2.14
MYSE,2025-09-25,2.13,2.1525,2.06,2.08
MYSE,2025-09-26,2.05,2.1,2.02,2.1
MYSE,2025-09-29,2.15,2.3,2.1,2.23
MYSE,2025-09-30,2.32,2.328,2.1595,2.253
MYSE,2025-10-01,2.28,2.79,2.25,2.75
MYSE,2025-10-02,2.76,2.96,2.5077,2.75
MYSE,2025-10-03,2.81,3.1,2.66,2.74
MYSE,2025-10-06,2.75,3.29,2.69,3.24
MYSE,2025-10-07,3.2,3.2861,2.8,2.82
MYSE,2025-10-08,2.9,3.4,2.9,3.24
MYSE,2025-10-09,3.27,3.28,3.04,3.16
MYSE,2025-10-10,3.07,3.1785,2.83,2.85
MYSE,2025-10-13,2.93,3.0,2.7502,2.93
MYSE,2025-10-14,2.79,3.0993,2.75,3.07
MYSE,2025-10-15,3.02,3.32,3.01,3.08
MYSE,2025-10-16,2.97,3.12,2.805,2.87
MYSE,2025-10-17,2.85,2.94,2.59,2.79
MYSE,2025-10-20,2.91,2.915,2.7732,2.81
MYSE,2025-10-21,2.81,2.84,2.6386,2.7
MYSE,2025-10-22,2.68,2.75,2.56,2.68
MYSE,2025-10-23,2.73,3.06,2.69,2.93
MYSE,2025-10-24,3.0,3.09,2.7558,2.97
MYSE,2025-10-27,2.94,2.9979,2.78,2.82
MYSE,2025-10-28,2.83,3.0,2.79,2.83
MYSE,2025-10-29,2.86,2.9149,2.6,2.77
MYSE,2025-10-30,2.7,2.8941,2.6,2.68
MYSE,2025-10-31,2.66,2.76,2.63,2.68
MYSE,2025-11-03,2.66,2.69,2.5,2.53
MYSE,2025-11-04,2.48,2.5297,2.1,2.19
MYSE,2025-11-05,2.25,2.37,2.2,2.3
MYSE,2025-11-06,2.3,2.315,2.16,2.18
MYSE,2025-11-07,2.15,2.33,2.088,2.15
MYSE,2025-11-10,2.19,2.3257,2.1515,2.2248
