ticker,date,open,high,low,close
NAVN,2025-10-30,22.0,22.75,19.74,20.0
NAVN,2025-10-31,20.0,21.0,19.75,20.275
NAVN,2025-11-03,20.27,20.29,16.7801,17.13
NAVN,2025-11-04,16.97,19.14,16.01,18.89
NAVN,2025-11-05,18.84,19.75,17.55,17.7
NAVN,2025-11-06,17.78,18.395,17.3311,17.85
NAVN,2025-11-07,17.12,18.21,17.05,17.86
NAVN,2025-11-10,17.77,18.7452,17.47,18.01
NAVN,2025-11-11,17.99,18.08,17.02,17.17
NAVN,2025-11-12,17.145,18.08,17.145,18.02
NAVN,2025-11-13,18.02,18.02,16.9,17.235
NAVN,2025-11-14,17.0,17.19,16.25,16.82
NAVN,2025-11-17,16.77,17.0,14.65,15.02
NAVN,2025-11-18,14.69,15.75,14.69,15.1
NAVN,2025-11-19,15.11,15.486,13.84,14.12
NAVN,2025-11-20,14.44,15.211,14.15,14.21
NAVN,2025-11-21,14.0,15.14,14.0,14.965
NAVN,2025-11-24,15.77,16.45,15.0,15.2948
NAVN,2025-11-25,15.25,15.99,14.92,14.93
NAVN,2025-11-26,14.93,16.6899,14.93,16.35
NAVN,2025-11-28,16.77,17.75,16.68,16.69
NAVN,2025-12-01,16.57,16.829,15.45,15.62
NAVN,2025-12-02,15.56,15.91,14.96,15.77
NAVN,2025-12-03,15.61,15.93,14.99,15.75
NAVN,2025-12-04,15.56,16.085,14.54,14.66
NAVN,2025-12-05,14.52,14.8768,13.175,13.99
NAVN,2025-12-08,14.09,14.215,13.2,13.89
NAVN,2025-12-09,13.75,14.48,13.57,13.75
NAVN,2025-12-10,13.75,14.38,13.5,13.97
NAVN,2025-12-11,13.75,14.1,13.71,13.92
NAVN,2025-12-12,14.0,14.7123,13.95,14.55
NAVN,2025-12-15,14.55,14.75,13.75,14.635
NAVN,2025-12-16,13.73,13.8314,11.76,12.88
NAVN,2025-12-17,12.67,13.15,12.3,12.865
NAVN,2025-12-18,13.0,13.93,12.81,13.77
NAVN,2025-12-19,14.23,15.41,14.18,15.1
NAVN,2025-12-22,15.53,16.958,15.525,15.9
NAVN,2025-12-23,15.87,16.18,15.4976,15.9
NAVN,2025-12-24,15.9,16.16,15.695,15.84
NAVN,2025-12-26,15.79,16.12,15.47,15.53
NAVN,2025-12-29,15.4,16.54,15.3516,16.5
NAVN,2025-12-30,17.1,17.59,16.81,17.39
NAVN,2025-12-31,17.38,17.64,16.96,17.08
NAVN,2026-01-02,16.92,17.3,16.095,16.25
NAVN,2026-01-05,16.13,17.03,15.56,16.6
NAVN,2026-01-06,16.93,17.09,16.25,17.0
NAVN,2026-01-07,17.62,18.55,17.37,18.055
NAVN,2026-01-08,18.21,18.216,17.4,17.89
NAVN,2026-01-09,17.94,18.0,17.13,17.28
NAVN,2026-01-12,17.78,17.98,17.24,17.765
NAVN,2026-01-13,17.83,17.99,16.7702,17.25
NAVN,2026-01-14,17.14,17.259,15.2,15.66
NAVN,2026-01-15,16.22,16.22,14.75,14.76
NAVN,2026-01-16,14.76,15.51,14.11,14.79
NAVN,2026-01-20,14.43,14.475,13.805,14.095
NAVN,2026-01-21,13.98,14.45,13.8336,14.19
NAVN,2026-01-22,14.42,15.12,14.36,15.09
NAVN,2026-01-23,15.05,15.275,14.55,14.98
NAVN,2026-01-26,14.92,15.09,14.655,15.0
NAVN,2026-01-27,14.8,14.85,13.95,14.33
NAVN,2026-01-28,13.85,14.42,13.41,13.57
NAVN,2026-01-29,13.5,13.595,12.485,12.66
NAVN,2026-01-30,12.54,12.64,11.4,11.48
NAVN,2026-02-02,11.47,11.47,10.705,10.79
