ticker,date,open,high,low,close
NBP,2025-10-31,4.7,5.02,4.69,4.95
NBP,2025-11-03,5.1,5.14,4.65,4.7251
NBP,2025-11-04,4.5,4.85,4.25,4.27
NBP,2025-11-05,4.3,4.49,3.922,4.26
NBP,2025-11-06,4.35,4.35,4.05,4.19
NBP,2025-11-07,4.03,4.09,3.83,4.0
NBP,2025-11-10,4.13,4.34,4.06,4.27
NBP,2025-11-11,4.17,4.28,4.05,4.23
NBP,2025-11-12,4.28,4.37,4.1,4.31
NBP,2025-11-13,4.18,4.33,4.03,4.14
NBP,2025-11-14,4.1,4.41,4.06,4.13
NBP,2025-11-17,4.06,4.42,3.98,4.35
NBP,2025-11-18,4.21,4.65,4.14,4.55
NBP,2025-11-19,4.56,4.65,4.32,4.49
NBP,2025-11-20,4.58,4.71,4.14,4.16
NBP,2025-11-21,4.1301,4.25,4.09,4.23
NBP,2025-11-24,4.01,4.01,4.0,4.01
NBP,2025-11-25,4.07,4.08,3.81,3.9
NBP,2025-11-26,4.04,4.04,3.815,3.86
NBP,2025-11-28,3.88,4.04,3.83,3.84
NBP,2025-12-01,3.83,3.87,3.76,3.84
NBP,2025-12-02,3.9,3.9799,3.66,3.68
NBP,2025-12-03,3.68,3.897,3.6,3.85
NBP,2025-12-04,3.85,4.09,3.79,3.99
NBP,2025-12-05,4.03,4.18,3.9,4.18
NBP,2025-12-08,4.01,4.1187,3.95,4.01
NBP,2025-12-09,3.91,4.17,3.87,4.02
NBP,2025-12-10,4.04,4.1999,3.947,4.09
NBP,2025-12-11,4.11,4.11,3.875,3.92
NBP,2025-12-12,3.97,4.125,3.9,3.99
NBP,2025-12-15,4.06,4.1,3.9,4.07
NBP,2025-12-16,4.02,4.365,4.02,4.15
NBP,2025-12-17,4.33,4.33,4.06,4.11
NBP,2025-12-18,4.21,4.39,3.945,3.95
NBP,2025-12-19,3.98,4.25,3.945,4.19
NBP,2025-12-22,4.22,4.59,4.14,4.39
NBP,2025-12-23,4.35,4.55,4.35,4.5
NBP,2025-12-24,4.5,4.65,4.42,4.63
NBP,2025-12-26,4.63,4.63,4.32,4.34
NBP,2025-12-29,4.34,4.36,3.9,4.03
NBP,2025-12-30,4.02,4.19,3.93,3.96
NBP,2025-12-31,3.96,4.0595,3.9,3.98
NBP,2026-01-02,4.19,4.39,4.15,4.27
NBP,2026-01-05,4.42,4.42,4.115,4.365
NBP,2026-01-06,5.165,5.19,3.805,3.88
NBP,2026-01-07,4.0,4.05,3.895,4.0
NBP,2026-01-08,3.99,3.99,3.71,3.79
NBP,2026-01-09,3.81,3.8384,3.66,3.7
NBP,2026-01-12,3.64,3.81,3.36,3.72
NBP,2026-01-13,3.7,3.82,3.595,3.65
NBP,2026-01-14,3.65,3.68,3.46,3.53
NBP,2026-01-15,3.54,3.94,3.5075,3.66
NBP,2026-01-16,3.66,3.88,3.66,3.73
NBP,2026-01-20,3.74,4.09,3.73,3.92
NBP,2026-01-21,4.08,4.08,3.71,3.785
NBP,2026-01-22,3.79,4.05,3.76,3.885
NBP,2026-01-23,3.9,4.04,3.84,3.89
NBP,2026-01-26,4.02,4.05,3.9,3.97
NBP,2026-01-27,3.98,4.075,3.95,3.98
NBP,2026-01-28,4.02,4.05,3.8,3.87
NBP,2026-01-29,3.87,3.93,3.66,3.69
NBP,2026-01-30,3.63,3.7,3.25,3.31
NBP,2026-02-02,3.31,3.43,3.05,3.43
