ticker,date,open,high,low,close
NCEW,2025-01-27,1.87,2.402,1.83,2.19
NCEW,2025-01-28,2.1723,2.25,2.01,2.03
NCEW,2025-01-29,2.02,2.156,1.8,1.82
NCEW,2025-01-30,1.825,1.9816,1.78,1.85
NCEW,2025-01-31,1.8634,1.98,1.75,1.7717
NCEW,2025-02-03,1.85,2.042,1.75,1.93
NCEW,2025-02-04,1.92,2.0005,1.85,1.95
NCEW,2025-02-05,1.9,2.0421,1.82,1.96
NCEW,2025-02-06,1.824,2.0055,1.824,1.9
NCEW,2025-02-07,1.81,1.81,1.52,1.62
NCEW,2025-02-10,1.5,1.5,1.16,1.35
NCEW,2025-02-11,1.21,1.4986,1.21,1.49
NCEW,2025-02-12,1.38,1.38,1.26,1.31
NCEW,2025-02-13,1.21,1.4,1.2,1.273
NCEW,2025-02-14,1.22,1.3683,1.22,1.34
NCEW,2025-02-18,1.31,1.35,1.23,1.34
NCEW,2025-02-19,1.3499,1.4038,1.32,1.37
NCEW,2025-02-20,1.35,1.45,1.3153,1.45
NCEW,2025-02-21,1.43,1.43,1.27,1.28
NCEW,2025-02-24,1.23,1.3292,1.14,1.2011
NCEW,2025-02-25,1.15,1.2392,0.88,0.9901
NCEW,2025-02-26,0.973,1.1,0.973,1.06
NCEW,2025-02-27,1.02,1.02,0.93,0.9534
NCEW,2025-02-28,0.9525,1.05,0.93,1.01
NCEW,2025-03-03,1.06,1.11,1.0114,1.06
NCEW,2025-03-04,1.09,1.19,1.03,1.11
NCEW,2025-03-05,1.12,1.12,0.94,1.01
NCEW,2025-03-06,1.08,1.1328,1.06,1.11
NCEW,2025-03-07,1.17,1.17,1.07,1.13
NCEW,2025-03-10,1.1505,1.16,1.01,1.04
NCEW,2025-03-11,1.13,1.23,1.03,1.05
NCEW,2025-03-12,1.12,1.29,1.06,1.28
NCEW,2025-03-13,1.29,1.58,1.29,1.52
NCEW,2025-03-14,1.63,1.74,1.39,1.47
NCEW,2025-03-17,1.45,1.55,1.415,1.415
NCEW,2025-03-18,1.4,1.5403,1.4,1.44
NCEW,2025-03-19,1.45,1.7285,1.45,1.61
NCEW,2025-03-20,1.66,2.1875,1.66,1.845
NCEW,2025-03-21,1.84,1.9807,1.63,1.7
NCEW,2025-03-24,1.66,1.8051,1.66,1.68
NCEW,2025-03-25,1.6763,1.8012,1.64,1.793
NCEW,2025-03-26,1.8628,1.8628,1.64,1.64
NCEW,2025-03-27,1.68,1.85,1.57,1.76
NCEW,2025-03-28,1.65,1.79,1.59,1.67
NCEW,2025-03-31,1.67,1.75,1.56,1.59
NCEW,2025-04-01,1.55,1.68,1.55,1.68
NCEW,2025-04-02,1.66,1.82,1.66,1.8
NCEW,2025-04-03,1.64,1.735,1.55,1.55
NCEW,2025-04-04,1.5013,1.63,1.5013,1.58
NCEW,2025-04-07,1.5699,1.7,1.5,1.69
