ticker,date,open,high,low,close
NGEN,2026-01-08,6.3,6.3,5.41,5.97
NGEN,2026-01-09,5.75,5.75,5.6,5.75
NGEN,2026-01-12,5.89,5.9299,5.6,5.65
NGEN,2026-01-13,5.36,5.36,5.1,5.36
NGEN,2026-01-14,5.4,5.6,5.24,5.57
NGEN,2026-01-15,5.53,5.6,5.31,5.47
NGEN,2026-01-16,5.53,5.7,5.36,5.63
NGEN,2026-01-20,5.51,5.51,5.22,5.22
NGEN,2026-01-21,5.22,5.45,5.02,5.21
NGEN,2026-01-22,5.25,5.38,5.15,5.22
NGEN,2026-01-23,5.17,5.2385,4.8,5.07
NGEN,2026-01-26,4.77,4.77,4.76,4.77
NGEN,2026-01-27,4.76,4.76,4.4401,4.63
NGEN,2026-01-28,4.3699,4.3699,4.0,4.3699
NGEN,2026-01-29,4.36,4.36,4.04,4.17
NGEN,2026-01-30,4.15,4.3,3.9,4.01
NGEN,2026-02-02,4.19,4.19,3.73,4.16
