ticker,date,open,high,low,close
NOMA,2025-11-03,9.07,14.49,7.51,11.5
NOMA,2025-11-04,10.0,10.95,7.74,9.03
NOMA,2025-11-05,8.5,9.7999,8.0,9.33
NOMA,2025-11-06,8.95,9.1551,7.31,7.73
NOMA,2025-11-07,7.43,7.8,6.25,7.06
NOMA,2025-11-10,7.0,8.08,6.0,6.515
NOMA,2025-11-11,6.18,7.2,5.15,6.99
NOMA,2025-11-12,7.02,7.5,5.82,6.5
NOMA,2025-11-13,6.4,6.92,5.61,6.3
NOMA,2025-11-14,6.0,7.45,5.14,7.45
NOMA,2025-11-17,7.11,8.0,6.62,7.72
NOMA,2025-11-18,7.797,9.6,7.02,9.025
NOMA,2025-11-19,8.4,10.0,8.4,9.15
NOMA,2025-11-20,9.25,9.25,8.35,8.96
NOMA,2025-11-21,8.43,9.0,7.8,8.71
NOMA,2025-11-24,8.16,8.92,7.99,8.05
NOMA,2025-11-25,8.85,8.92,7.17,7.29
NOMA,2025-11-26,7.56,8.8,7.19,8.33
NOMA,2025-11-28,8.6,8.9,8.34,8.78
NOMA,2025-12-01,8.63,8.9,8.52,8.6
NOMA,2025-12-02,8.5,8.95,7.9,8.0
NOMA,2025-12-03,8.16,8.16,7.32,7.32
NOMA,2025-12-04,7.89,7.89,6.28,6.42
NOMA,2025-12-05,6.66,7.3,6.3077,6.62
NOMA,2025-12-08,7.0,7.65,6.06,7.41
NOMA,2025-12-09,7.04,7.76,6.96,7.5
NOMA,2025-12-10,7.18,8.15,6.705,7.87
NOMA,2025-12-11,7.26,8.45,7.26,7.86
NOMA,2025-12-12,8.5,8.5,7.55,7.58
NOMA,2025-12-15,7.7,8.5,7.0,7.27
NOMA,2025-12-16,7.15,7.54,6.76,6.76
NOMA,2025-12-17,6.57,7.2699,6.5344,7.16
NOMA,2025-12-18,7.46,7.99,6.3601,7.93
NOMA,2025-12-19,7.38,7.88,7.2,7.38
NOMA,2025-12-22,7.47,7.77,6.5,6.5
NOMA,2025-12-23,6.58,6.665,6.02,6.04
NOMA,2025-12-24,6.12,6.3,5.86,5.86
NOMA,2025-12-26,5.82,5.98,5.33,5.47
NOMA,2025-12-29,5.47,5.85,5.0,5.24
NOMA,2025-12-30,4.82,5.31,4.25,4.43
NOMA,2025-12-31,4.47,4.79,4.26,4.48
NOMA,2026-01-02,4.32,4.68,4.077,4.39
NOMA,2026-01-05,4.29,4.29,3.7186,3.75
NOMA,2026-01-06,4.06,4.18,3.35,4.01
NOMA,2026-01-07,3.625,4.0,3.5,3.65
NOMA,2026-01-08,3.58,4.37,3.4101,4.16
NOMA,2026-01-09,4.18,4.68,4.0,4.17
NOMA,2026-01-12,4.11,4.81,4.06,4.52
NOMA,2026-01-13,4.47,4.63,4.29,4.46
NOMA,2026-01-14,4.0875,4.56,4.0875,4.51
NOMA,2026-01-15,4.3,4.585,4.3,4.47
NOMA,2026-01-16,4.39,4.58,4.1398,4.36
NOMA,2026-01-20,4.205,4.72,4.18,4.72
NOMA,2026-01-21,4.64,4.64,4.49,4.59
NOMA,2026-01-22,4.39,4.5299,4.3,4.5
NOMA,2026-01-23,4.31,4.37,4.31,4.37
NOMA,2026-01-26,4.23,5.03,4.15,5.02
NOMA,2026-01-27,4.85,5.19,4.68,5.18
NOMA,2026-01-28,4.82,5.14,4.4,5.11
NOMA,2026-01-29,4.76,4.835,3.66,3.7
NOMA,2026-01-30,3.71,4.11,3.51,3.51
NOMA,2026-02-02,3.8,3.99,3.4,3.725
