ticker,date,open,high,low,close
ORIO,2026-01-05,1.04,1.07,1.0,1.04
ORIO,2026-01-06,1.06,1.0813,1.02,1.065
ORIO,2026-01-07,1.06,1.1,1.0377,1.06
ORIO,2026-01-08,1.06,1.18,1.0448,1.11
ORIO,2026-01-09,1.14,1.22,1.1113,1.19
ORIO,2026-01-12,1.21,1.23,1.14,1.17
ORIO,2026-01-13,1.22,1.22,1.16,1.17
ORIO,2026-01-14,1.17,1.2,1.17,1.17
ORIO,2026-01-15,1.16,1.274,1.16,1.22
ORIO,2026-01-16,1.1951,1.23,1.18,1.19
ORIO,2026-01-20,1.14,1.19,1.09,1.09
ORIO,2026-01-21,1.09,1.15,1.08,1.13
ORIO,2026-01-22,1.12,1.24,1.12,1.1703
ORIO,2026-01-23,1.17,1.24,1.16,1.24
ORIO,2026-01-26,1.23,1.25,1.16,1.24
ORIO,2026-01-27,1.229,1.38,1.229,1.32
ORIO,2026-01-28,1.33,1.4,1.27,1.37
ORIO,2026-01-29,1.36,1.38,1.23,1.3235
ORIO,2026-01-30,1.28,1.35,1.23,1.27
ORIO,2026-02-02,1.27,1.28,1.185,1.2
