ticker,date,open,high,low,close
OWLS,2025-10-16,68.0,90.0,18.4031,55.55
OWLS,2025-10-17,35.0,43.2,27.12,39.5
OWLS,2025-10-20,35.42,36.54,27.5,28.8
OWLS,2025-10-21,28.45,29.0,19.0001,19.5
OWLS,2025-10-22,9.52,9.52,8.15,9.52
OWLS,2025-10-23,9.48,10.92,7.48,10.68
OWLS,2025-10-24,10.3,13.6,10.0,12.6
OWLS,2025-10-27,13.5,13.88,11.3,11.75
OWLS,2025-10-28,11.1,11.7,10.925,11.09
OWLS,2025-10-29,10.5,10.82,9.6,9.7
OWLS,2025-10-30,9.9,9.9,8.2,9.255
OWLS,2025-10-31,9.0,10.05,9.0,9.95
OWLS,2025-11-03,9.79,9.9499,9.2,9.2
OWLS,2025-11-04,9.35,9.35,8.5,8.82
OWLS,2025-11-05,9.05,9.75,8.92,9.61
OWLS,2025-11-06,9.51,9.73,9.11,9.45
OWLS,2025-11-07,9.22,9.4,8.9,9.0
OWLS,2025-11-10,9.12,9.4773,9.0228,9.1
OWLS,2025-11-11,9.03,9.23,8.79,9.03
OWLS,2025-11-12,8.9,9.153,8.77,8.81
OWLS,2025-11-13,8.79,8.9902,8.2,8.33
OWLS,2025-11-14,8.31,8.6895,8.1,8.1
OWLS,2025-11-17,8.01,8.4,7.6,7.98
OWLS,2025-11-18,7.8,8.1,7.5,7.98
OWLS,2025-11-19,8.04,8.075,7.71,7.8
OWLS,2025-11-20,8.23,8.85,7.85,7.85
OWLS,2025-11-21,7.91,8.095,7.55,7.64
OWLS,2025-11-24,7.7,7.9365,6.88,7.1
OWLS,2025-11-25,7.04,7.2,6.8,7.09
OWLS,2025-11-26,7.3,7.495,6.9,7.03
OWLS,2025-11-28,7.24,8.75,7.2,8.25
OWLS,2025-12-01,7.76,8.23,7.76,8.12
OWLS,2025-12-02,8.1,8.25,7.505,7.72
OWLS,2025-12-03,7.72,7.88,7.0,7.32
OWLS,2025-12-04,7.32,7.5265,7.12,7.27
OWLS,2025-12-05,7.5,7.5,7.1,7.13
OWLS,2025-12-08,7.43,7.43,7.08,7.28
OWLS,2025-12-09,7.5,8.3,7.5,8.03
OWLS,2025-12-10,7.79,8.085,7.78,7.795
OWLS,2025-12-11,7.78,8.5757,7.7,8.09
OWLS,2025-12-12,8.09,8.17,7.9,7.92
OWLS,2025-12-15,7.92,7.92,6.81,6.81
OWLS,2025-12-16,6.9,7.2958,6.88,7.0
OWLS,2025-12-17,7.05,7.26,6.97,7.13
OWLS,2025-12-18,7.3,7.3,6.84,6.85
OWLS,2025-12-19,6.84,7.06,6.3,6.33
OWLS,2025-12-22,6.25,6.62,6.2175,6.25
OWLS,2025-12-23,6.35,6.6098,6.25,6.51
OWLS,2025-12-24,6.51,6.65,6.325,6.34
OWLS,2025-12-26,6.4,6.55,6.2,6.21
OWLS,2025-12-29,6.21,6.695,6.0,6.58
OWLS,2025-12-30,6.58,6.58,6.05,6.07
OWLS,2025-12-31,6.23,6.9,6.05,6.68
OWLS,2026-01-02,6.59,6.7,6.31,6.57
OWLS,2026-01-05,6.66,6.85,6.3,6.68
OWLS,2026-01-06,6.61,6.85,6.35,6.35
OWLS,2026-01-07,6.41,6.6,6.21,6.29
OWLS,2026-01-08,6.29,6.5,6.16,6.45
OWLS,2026-01-09,6.44,6.65,6.22,6.58
OWLS,2026-01-12,6.41,6.65,6.4,6.52
OWLS,2026-01-13,6.33,6.5,6.3001,6.46
OWLS,2026-01-14,6.5,6.64,6.4,6.64
OWLS,2026-01-15,6.51,6.61,6.25,6.55
OWLS,2026-01-16,6.45,6.55,6.4,6.55
OWLS,2026-01-20,6.55,6.55,6.35,6.42
OWLS,2026-01-21,6.4,6.44,6.2,6.39
OWLS,2026-01-22,6.41,6.42,6.31,6.4
OWLS,2026-01-23,6.33,6.43,6.3,6.34
OWLS,2026-01-26,6.32,6.32,6.2,6.27
OWLS,2026-01-27,6.29,6.42,6.275,6.42
OWLS,2026-01-28,6.27,6.398,5.6985,5.91
OWLS,2026-01-29,6.0,6.1,5.8701,6.01
OWLS,2026-01-30,6.01,6.01,5.31,5.41
OWLS,2026-02-02,5.57,6.1,5.509,6.02
