ticker,date,open,high,low,close
PFSA,2025-07-14,2.22,2.4,1.8,2.02
PFSA,2025-07-15,1.75,1.78,1.35,1.43
PFSA,2025-07-16,1.41,1.48,1.05,1.25
PFSA,2025-07-17,1.2,1.27,1.07,1.11
PFSA,2025-07-18,1.11,1.38,1.06,1.1
PFSA,2025-07-21,1.27,1.33,0.8501,0.9095
PFSA,2025-07-22,0.86,0.8739,0.7003,0.7624
PFSA,2025-07-23,0.7505,0.8272,0.7411,0.8
PFSA,2025-07-24,0.7997,0.8001,0.7,0.713
PFSA,2025-07-25,0.7398,0.7599,0.6524,0.6802
PFSA,2025-07-28,0.746,2.22,0.67,1.94
PFSA,2025-07-29,1.12,1.2099,0.87,0.8758
PFSA,2025-07-30,0.7894,0.8149,0.706,0.72
PFSA,2025-07-31,0.75,0.76,0.6869,0.7
PFSA,2025-08-01,0.651,0.652,0.51,0.5867
PFSA,2025-08-04,0.58,0.6127,0.5425,0.5951
PFSA,2025-08-05,0.586,0.61,0.5154,0.5296
PFSA,2025-08-06,0.5137,0.5248,0.4626,0.4887
PFSA,2025-08-07,0.48,0.4875,0.4561,0.47
PFSA,2025-08-08,0.4999,0.5369,0.4609,0.466
PFSA,2025-08-11,0.5,0.5856,0.473,0.5
PFSA,2025-08-12,0.505,0.5194,0.4714,0.49
PFSA,2025-08-13,0.5407,0.633,0.4915,0.56
PFSA,2025-08-14,0.535,0.55,0.51,0.543
PFSA,2025-08-15,0.57,0.57,0.48,0.4993
PFSA,2025-08-18,0.524,0.575,0.51545,0.563
PFSA,2025-08-19,0.54,0.56,0.5016,0.518
PFSA,2025-08-20,0.5169,0.5399,0.48,0.5183
PFSA,2025-08-21,0.5192,0.52,0.463,0.466
PFSA,2025-08-22,0.47,0.53,0.47,0.5
PFSA,2025-08-25,0.4878,0.4979,0.47,0.4899
PFSA,2025-08-26,0.6658,0.692,0.3968,0.4303
PFSA,2025-08-27,0.4798,0.4798,0.3966,0.409
PFSA,2025-08-28,0.395,0.43,0.3838,0.4102
PFSA,2025-08-29,0.4051,0.4299,0.4,0.41
PFSA,2025-09-02,0.4044,0.41,0.3705,0.3779
PFSA,2025-09-03,0.38,0.399,0.359,0.359
PFSA,2025-09-04,0.356,0.356,0.3111,0.3305
PFSA,2025-09-05,0.3206,0.33,0.3023,0.3064
PFSA,2025-09-08,0.3192,0.3192,0.281,0.2813
PFSA,2025-09-09,0.28,0.3334,0.28,0.3153
PFSA,2025-09-10,0.31,0.319,0.265,0.265
PFSA,2025-09-11,0.5461,0.6,0.4025,0.465
PFSA,2025-09-12,0.4198,0.4556,0.36,0.3935
PFSA,2025-09-15,0.4094,0.4315,0.375,0.375
PFSA,2025-09-16,0.38,0.39,0.3406,0.3462
PFSA,2025-09-17,0.34,0.344,0.309,0.3201
PFSA,2025-09-18,0.335,0.34,0.3263,0.34
PFSA,2025-09-19,0.3525,0.3598,0.323,0.3503
PFSA,2025-09-22,0.3255,0.339999,0.318,0.3263
PFSA,2025-09-23,0.3264,0.3351,0.3252,0.3289
PFSA,2025-09-24,0.3265,0.3298,0.3111,0.3111
PFSA,2025-09-25,0.3148,0.3151,0.298101,0.3017
PFSA,2025-09-26,0.3035,0.3097,0.29,0.3065
PFSA,2025-09-29,0.3,0.303,0.29,0.2938
PFSA,2025-09-30,0.2938,0.297199,0.2889,0.2969
PFSA,2025-10-01,0.2998,0.3272,0.2998,0.3084
PFSA,2025-10-02,0.3191,0.3297,0.3087,0.3262
PFSA,2025-10-03,0.33,0.3315,0.301,0.3312
PFSA,2025-10-06,0.3312,0.356,0.3312,0.3518
PFSA,2025-10-07,0.3554,0.3734,0.3256,0.3351
PFSA,2025-10-08,0.33,0.3841,0.33,0.3773
PFSA,2025-10-09,0.39,0.39,0.335,0.3383
PFSA,2025-10-10,0.345,0.3495,0.3149,0.3281
PFSA,2025-10-13,0.35,0.35,0.3149,0.321
PFSA,2025-10-14,0.3111,0.3166,0.29,0.3001
PFSA,2025-10-15,0.32,0.3998,0.3046,0.3101
PFSA,2025-10-16,0.309,0.321,0.2902,0.308
PFSA,2025-10-17,0.29,0.3071,0.281,0.2973
PFSA,2025-10-20,0.3149,0.3295,0.2925,0.3219
PFSA,2025-10-21,0.3223,0.3223,0.3019,0.3047
PFSA,2025-10-22,0.28,0.28,0.259899,0.28
