ticker,date,open,high,low,close
PLBL,2025-08-08,10.0,11.2,9.0306,10.73
PLBL,2025-08-11,10.44,12.29,10.1835,11.42
PLBL,2025-08-12,10.6,11.02,9.0,9.81
PLBL,2025-08-13,9.2,10.459,9.1146,9.91
PLBL,2025-08-14,10.15,10.1551,9.75,10.11
PLBL,2025-08-15,10.0,10.6498,9.52,10.6
PLBL,2025-08-18,10.5,11.1,10.0,10.92
PLBL,2025-08-19,10.73,11.0,10.0601,10.92
PLBL,2025-08-20,10.415,12.41,10.415,11.67
PLBL,2025-08-21,11.49,12.3,11.2277,11.5
PLBL,2025-08-22,12.8,13.48,10.58,11.28
PLBL,2025-08-25,11.5,12.0,9.23,9.45
PLBL,2025-08-26,9.45,9.98,9.1801,9.7
PLBL,2025-08-27,9.75,10.19,9.3,9.3
PLBL,2025-08-28,9.38,10.2898,9.11,10.0
PLBL,2025-08-29,10.21,10.5134,9.02,9.99
PLBL,2025-09-02,9.6,10.29,9.305,9.95
PLBL,2025-09-03,9.7,10.5148,9.49,9.62
PLBL,2025-09-04,9.97,10.725,9.4077,10.49
PLBL,2025-09-05,11.13,11.13,10.0,10.6
PLBL,2025-09-08,10.17,10.6,10.145,10.145
PLBL,2025-09-09,10.76,10.76,9.49,9.81
PLBL,2025-09-10,9.82,10.29,9.73,9.73
PLBL,2025-09-11,10.15,10.15,9.46,9.48
PLBL,2025-09-12,9.58,10.1208,9.16,9.64
PLBL,2025-09-15,9.51,9.9,9.5,9.9
PLBL,2025-09-16,10.0,10.0,9.4,9.8
PLBL,2025-09-17,9.52,9.78,9.23,9.2582
PLBL,2025-09-18,9.15,9.5,9.13,9.4
PLBL,2025-09-19,9.43,9.43,8.74,9.0
PLBL,2025-09-22,8.84,8.84,8.27,8.5862
PLBL,2025-09-23,8.51,8.53,7.22,7.94
PLBL,2025-09-24,8.1,8.87,7.3452,8.4979
PLBL,2025-09-25,7.8,8.1,7.5,7.8
PLBL,2025-09-26,7.4,8.3399,7.4,8.3296
PLBL,2025-09-29,9.17,9.5,8.15,8.608
