ticker,date,open,high,low,close
PPCB,2025-08-15,4.0,4.5,2.82,2.87
PPCB,2025-08-18,5.8,9.36,5.57,5.85
PPCB,2025-08-19,4.84,4.9833,3.51,3.67
PPCB,2025-08-20,4.905,5.69,4.24,4.4
PPCB,2025-08-21,4.17,4.5573,3.81,4.06
PPCB,2025-08-22,3.89,4.0,3.15,3.37
PPCB,2025-08-25,3.38,3.4456,3.15,3.37
PPCB,2025-08-26,3.14,3.26,3.0,3.03
PPCB,2025-08-27,2.92,3.0,2.8301,2.94
PPCB,2025-08-28,3.1,3.4198,3.09,3.12
PPCB,2025-08-29,3.1,3.24,3.0,3.02
PPCB,2025-09-02,2.99,3.0994,2.71,2.73
PPCB,2025-09-03,2.81,2.8154,2.5,2.51
PPCB,2025-09-04,2.5,2.55,1.925,1.98
PPCB,2025-09-05,2.05,2.6,2.05,2.15
PPCB,2025-09-08,2.1,2.155,1.9401,1.9598
PPCB,2025-09-09,1.98,2.06,1.8005,1.87
PPCB,2025-09-10,1.87,1.87,1.6,1.73
PPCB,2025-09-11,1.79,2.09,1.79,1.98
PPCB,2025-09-12,2.15,2.5,2.1,2.22
PPCB,2025-09-15,2.15,2.31,2.061,2.25
PPCB,2025-09-16,2.23,2.2998,2.1901,2.23
PPCB,2025-09-17,2.4,2.4,2.11,2.21
PPCB,2025-09-18,2.17,2.25,2.16,2.2
PPCB,2025-09-19,2.25,2.28,2.125,2.16
PPCB,2025-09-22,2.1,2.1358,1.95,2.04
PPCB,2025-09-23,2.04,2.07,1.88,1.9
PPCB,2025-09-24,1.9,2.0607,1.9,1.94
PPCB,2025-09-25,1.9,1.9124,1.78,1.81
PPCB,2025-09-26,1.81,1.8517,1.7,1.82
PPCB,2025-09-29,1.8,1.92,1.8,1.83
PPCB,2025-09-30,1.77,1.83,1.69,1.72
PPCB,2025-10-01,1.69,1.75,1.68,1.7
PPCB,2025-10-02,1.7,1.87,1.7,1.84
PPCB,2025-10-03,1.82,1.911,1.77,1.77
PPCB,2025-10-06,1.77,2.1,1.77,1.98
PPCB,2025-10-07,1.96,2.0196,1.8,1.96
PPCB,2025-10-08,1.97,1.97,1.83,1.91
PPCB,2025-10-09,1.88,1.95,1.82,1.88
PPCB,2025-10-10,1.86,1.87,1.71,1.73
PPCB,2025-10-13,1.71,1.84,1.71,1.83
PPCB,2025-10-14,1.79,1.82,1.76,1.81
PPCB,2025-10-15,1.77,1.9,1.67,1.72
PPCB,2025-10-16,1.71,1.73,1.53,1.58
PPCB,2025-10-17,1.54,1.6,1.54,1.58
PPCB,2025-10-20,1.62,1.65,1.58,1.64
PPCB,2025-10-21,1.6,1.64,1.58,1.59
PPCB,2025-10-22,1.39,1.39,1.36,1.39
PPCB,2025-10-23,1.43,1.5,1.4,1.48
PPCB,2025-10-24,1.46,1.53,1.46,1.52
PPCB,2025-10-27,1.5,1.5192,1.445,1.48
PPCB,2025-10-28,1.46,1.49,1.355,1.42
PPCB,2025-10-29,1.4,1.415,1.25,1.31
PPCB,2025-10-30,1.29,1.3,1.24,1.255
PPCB,2025-10-31,1.22,1.2795,1.21,1.23
PPCB,2025-11-03,1.23,1.26,1.07,1.13
PPCB,2025-11-04,1.15,1.17,1.04,1.06
PPCB,2025-11-05,1.03,1.2,1.03,1.18
PPCB,2025-11-06,1.17,1.17,1.0968,1.113
PPCB,2025-11-07,1.09,1.109,0.96,1.03
PPCB,2025-11-10,0.977,1.0,0.8418,0.9045
PPCB,2025-11-11,0.9,0.9,0.7671,0.8406
PPCB,2025-11-12,0.82,0.87,0.8058,0.8373
PPCB,2025-11-13,0.8165,0.8403,0.77,0.782
PPCB,2025-11-14,0.77,0.7899,0.73,0.761
PPCB,2025-11-17,0.78,0.78,0.7379,0.7558
PPCB,2025-11-18,0.7436,0.8224,0.7436,0.82
PPCB,2025-11-19,0.83,0.86,0.801,0.85
PPCB,2025-11-20,0.845,0.855,0.7898,0.8031
PPCB,2025-11-21,0.779,0.8277,0.777,0.8104
PPCB,2025-11-24,0.788,0.8101,0.788,0.8098
PPCB,2025-11-25,0.83,0.84,0.801,0.8213
PPCB,2025-11-26,0.7924,0.8184,0.79,0.8105
PPCB,2025-11-28,0.83,0.9,0.818,0.8936
PPCB,2025-12-01,0.8931,1.26,0.8931,0.9425
PPCB,2025-12-02,0.891,0.9132,0.7999,0.7999
PPCB,2025-12-03,0.7816,0.8313,0.74,0.8313
PPCB,2025-12-04,0.8187,0.8692,0.7714,0.825
