ticker,date,open,high,low,close
PURR,2025-12-04,3.99,4.0,3.4,3.6
PURR,2025-12-05,3.75,3.75,3.445,3.68
PURR,2025-12-08,3.75,3.905,3.42,3.72
PURR,2025-12-09,3.7,4.08,3.33,3.86
PURR,2025-12-10,3.92,3.97,3.67,3.745
PURR,2025-12-11,3.72,3.7556,3.41,3.42
PURR,2025-12-12,3.48,3.6,3.21,3.5
PURR,2025-12-15,3.46,3.5612,3.17,3.225
PURR,2025-12-16,3.19,3.615,3.1865,3.47
PURR,2025-12-17,3.54,3.54,3.25,3.41
PURR,2025-12-18,3.41,3.6,3.15,3.15
PURR,2025-12-19,3.25,3.44,3.17,3.41
PURR,2025-12-22,3.47,3.47,3.29,3.37
PURR,2025-12-23,3.36,3.46,3.2592,3.32
PURR,2025-12-24,3.35,3.35,3.16,3.21
PURR,2025-12-26,3.29,3.31,3.2,3.26
PURR,2025-12-29,3.26,3.43,3.01,3.1
PURR,2025-12-30,3.15,3.4636,3.06,3.37
PURR,2025-12-31,3.47,3.59,3.32,3.56
PURR,2026-01-02,3.53,3.56,3.3,3.44
PURR,2026-01-05,3.615,3.76,3.37,3.46
PURR,2026-01-06,3.38,3.768,3.35,3.71
PURR,2026-01-07,3.74,3.8,3.525,3.76
PURR,2026-01-08,3.75,3.85,3.46,3.58
PURR,2026-01-09,3.53,3.71,3.48,3.55
PURR,2026-01-12,3.49,3.65,3.28,3.45
PURR,2026-01-13,3.45,3.755,3.36,3.735
PURR,2026-01-14,3.75,3.9,3.67,3.76
PURR,2026-01-15,3.85,3.85,3.59,3.64
PURR,2026-01-16,3.75,3.81,3.55,3.71
PURR,2026-01-20,3.63,3.68,3.4,3.46
PURR,2026-01-21,3.48,3.535,3.24,3.36
PURR,2026-01-22,3.38,3.525,3.3701,3.4
PURR,2026-01-23,3.41,3.65,3.26,3.51
PURR,2026-01-26,3.51,3.79,3.311,3.74
PURR,2026-01-27,4.05,4.63,4.05,4.35
PURR,2026-01-28,5.01,5.12,4.3207,4.64
PURR,2026-01-29,4.77,5.1,4.19,4.37
PURR,2026-01-30,4.21,4.715,3.98,4.56
PURR,2026-02-02,4.6,5.36,4.5615,5.35
