ticker,date,open,high,low,close
QS,2020-08-17,9.85,9.9,9.85,9.9
QS,2020-08-18,9.94,9.94,9.8,9.86
QS,2020-08-19,9.83,9.83,9.82,9.82
QS,2020-08-20,9.85,9.88,9.83,9.88
QS,2020-08-21,9.88,9.88,9.74,9.7926
QS,2020-08-24,9.85,9.89,9.8,9.8
QS,2020-08-25,9.85,9.9,9.8,9.81
QS,2020-08-26,9.85,9.9,9.8,9.83
QS,2020-08-27,9.86,9.8699,9.85,9.85
QS,2020-08-28,9.84,9.9,9.82,9.885
QS,2020-08-31,9.9,9.95,9.9,9.9
QS,2020-09-01,9.92,9.98,9.92,9.95
QS,2020-09-02,10.0,10.1007,9.9,10.0
QS,2020-09-03,16.2,18.98,14.6,18.74
QS,2020-09-04,22.85,25.75,19.24,22.5
QS,2020-09-08,21.2,22.4,20.1,20.13
QS,2020-09-09,20.63,21.0,18.1201,18.5
QS,2020-09-10,19.31,20.45,18.0,18.25
QS,2020-09-11,18.5,18.83,16.54,17.63
QS,2020-09-14,18.25,19.71,17.75,18.8
QS,2020-09-15,19.42,19.5,18.08,18.35
QS,2020-09-16,18.8,19.6,18.2,18.66
QS,2020-09-17,17.81,18.5,17.75,17.88
QS,2020-09-18,18.0,18.33,17.71,17.85
QS,2020-09-21,17.58,18.64,16.72,18.35
QS,2020-09-22,18.75,20.35,18.5,18.99
QS,2020-09-23,19.0,19.38,16.49,16.74
QS,2020-09-24,16.1,16.7,15.11,16.0
QS,2020-09-25,16.5,17.15,16.095,17.15
QS,2020-09-28,17.78,18.6,17.3,17.86
QS,2020-09-29,17.99,18.05,16.75,16.9
QS,2020-09-30,17.02,17.4001,16.55,16.75
QS,2020-10-01,16.8,17.09,16.5,16.65
QS,2020-10-02,15.88,16.5,15.71,15.93
QS,2020-10-05,16.4,16.44,14.75,14.95
QS,2020-10-06,14.9,15.0,13.56,13.7
QS,2020-10-07,14.04,14.37,13.7,13.72
QS,2020-10-08,13.9,14.35,13.72,14.1
QS,2020-10-09,14.75,14.939,14.35,14.75
QS,2020-10-12,15.01,15.7,14.76,15.7
QS,2020-10-13,15.9,16.0,14.88,15.1
QS,2020-10-14,15.01,15.21,14.23,14.5
QS,2020-10-15,14.76,15.18,14.23,14.65
QS,2020-10-16,15.2,15.21,14.32,14.48
QS,2020-10-19,14.6335,15.0,14.5,14.54
QS,2020-10-20,14.96,15.12,14.45,15.1
QS,2020-10-21,15.4,15.4,13.93,14.19
QS,2020-10-22,14.21,14.3522,13.31,13.75
QS,2020-10-23,14.35,14.49,13.66,13.87
QS,2020-10-26,13.75,13.8994,12.86,12.92
QS,2020-10-27,13.11,13.2,12.35,12.4
QS,2020-10-28,12.1,12.18,11.5,11.59
QS,2020-10-29,11.73,12.38,11.66,12.0
QS,2020-10-30,12.19,12.2,11.25,11.8
QS,2020-11-02,11.93,12.33,11.8,12.01
QS,2020-11-03,12.14,13.07,12.14,13.0
QS,2020-11-04,13.25,13.34,12.52,12.93
QS,2020-11-05,13.13,13.25,12.8,12.95
QS,2020-11-06,13.17,14.2,12.9801,14.15
QS,2020-11-09,14.75,14.88,13.1,14.15
QS,2020-11-10,14.49,14.49,13.3,14.13
QS,2020-11-11,14.15,14.1999,13.8,14.14
QS,2020-11-12,14.24,14.82,13.71,14.3
QS,2020-11-13,15.95,19.57,15.77,19.5
QS,2020-11-16,19.99,21.2,17.6,19.67
QS,2020-11-17,19.24,19.68,16.64,17.2
QS,2020-11-18,17.62,19.38,17.55,18.11
QS,2020-11-19,18.69,20.0727,17.55,20.0
QS,2020-11-20,20.0,21.1,19.3,20.14
QS,2020-11-23,21.5,22.47,19.51,22.05
QS,2020-11-24,23.55,23.8,20.5,21.63
QS,2020-11-25,20.98,25.0,20.51,23.5
QS,2020-11-27,24.8,40.0,24.5,37.0
QS,2020-11-30,48.09,52.8,40.4,47.0
QS,2020-12-01,42.5,42.5,35.03,35.42
QS,2020-12-02,31.11,37.85,28.63,37.71
QS,2020-12-03,39.89,41.08,37.85,38.55
QS,2020-12-04,40.77,43.1,38.88,42.5
QS,2020-12-07,43.15,44.55,39.95,44.17
QS,2020-12-08,51.73,59.99,47.23,57.9
QS,2020-12-09,73.23,87.5,65.0,75.14
QS,2020-12-10,68.51,79.5,66.0,76.61
QS,2020-12-11,72.365,73.2,63.69,64.15
QS,2020-12-14,62.2,66.75,55.55,56.1
QS,2020-12-15,58.0,63.5,57.5,62.2
QS,2020-12-16,62.66,64.71,59.2,62.78
QS,2020-12-17,65.0,69.0,61.64,67.55
QS,2020-12-18,69.33,73.73,67.15,73.73
QS,2020-12-21,75.38,95.7299,73.27,94.9
QS,2020-12-22,108.45,132.73,101.12,131.67
QS,2020-12-23,122.02,123.5,103.1,110.79
QS,2020-12-24,114.9,120.33,112.1,114.77
QS,2020-12-28,122.51,122.7,112.69,115.2
QS,2020-12-29,113.35,113.47,94.0,101.0
QS,2020-12-30,105.76,107.792,96.03,98.29
QS,2020-12-31,97.17,97.89,84.1799,84.45
QS,2021-01-04,58.87,61.0,47.4,49.96
QS,2021-01-05,48.81,61.23,47.26,59.5
QS,2021-01-06,62.99,74.5,60.65,63.03
QS,2021-01-07,69.11,71.44,60.1,62.0
QS,2021-01-08,64.52,64.77,56.03,56.79
QS,2021-01-11,56.0002,56.15,51.55,53.14
QS,2021-01-12,54.0,58.99,51.71,56.56
QS,2021-01-13,59.0,59.99,56.18,56.4
QS,2021-01-14,56.53,59.3,54.05,55.95
QS,2021-01-15,55.9,55.95,52.03,53.99
QS,2021-01-19,54.06,54.55,51.2401,52.36
QS,2021-01-20,51.76,53.02,48.0,48.59
QS,2021-01-21,48.0,51.35,44.54,50.0
QS,2021-01-22,48.7,52.87,48.02,49.68
QS,2021-01-25,49.55,49.91,45.9,47.63
QS,2021-01-26,47.56,49.6,46.6,47.27
QS,2021-01-27,46.0,51.54,45.8,46.51
QS,2021-01-28,47.02,48.3,44.61,45.56
QS,2021-01-29,46.79,47.09,43.38,43.75
QS,2021-02-01,44.2,44.33,40.62,42.33
QS,2021-02-02,42.7,44.6789,41.12,42.58
QS,2021-02-03,43.67,48.79,43.33,46.82
QS,2021-02-04,50.12,50.3298,46.51,47.39
QS,2021-02-05,47.59,47.8,44.2,44.9
QS,2021-02-08,45.11,45.87,43.7401,44.96
QS,2021-02-09,44.44,46.9661,43.41,46.43
QS,2021-02-10,46.49,46.95,43.89,44.55
QS,2021-02-11,44.88,45.9,43.62,44.97
QS,2021-02-12,51.05,55.2,49.36,54.64
QS,2021-02-16,53.69,54.97,48.87,50.64
QS,2021-02-17,57.25,67.24,54.15,66.52
QS,2021-02-18,62.37,71.97,60.08,64.0
QS,2021-02-19,65.8,67.19,61.47,62.26
