ticker,date,open,high,low,close
QVCGA,2025-02-24,0.38,0.625,0.3605,0.42
QVCGA,2025-02-25,0.3832,0.3832,0.37,0.3832
QVCGA,2025-02-26,0.3922,0.4474,0.3829,0.4039
QVCGA,2025-02-27,0.4,0.407,0.3752,0.4001
QVCGA,2025-02-28,0.37,0.3701,0.31,0.3251
QVCGA,2025-03-03,0.33,0.333,0.2611,0.29
QVCGA,2025-03-04,0.275,0.2857,0.261,0.2794
QVCGA,2025-03-05,0.272,0.2818,0.2663,0.27
QVCGA,2025-03-06,0.265,0.2999,0.2501,0.2637
QVCGA,2025-03-07,0.2594,0.2898,0.25,0.2726
QVCGA,2025-03-10,0.2703,0.2703,0.251,0.2516
QVCGA,2025-03-11,0.2504,0.2517,0.2311,0.232
QVCGA,2025-03-12,0.23,0.2432,0.2082,0.2234
QVCGA,2025-03-13,0.22,0.2298,0.201,0.2197
QVCGA,2025-03-14,0.2101,0.217,0.2052,0.213
QVCGA,2025-03-17,0.2156,0.2156,0.2025,0.204
QVCGA,2025-03-18,0.2033,0.2138,0.1888,0.1929
QVCGA,2025-03-19,0.1862,0.1862,0.1836,0.1862
QVCGA,2025-03-20,0.1825,0.2087,0.1712,0.1712
QVCGA,2025-03-21,0.172,0.1989,0.1615,0.1989
QVCGA,2025-03-24,0.19,0.2113,0.1899,0.21
QVCGA,2025-03-25,0.219,0.2977,0.213601,0.2567
QVCGA,2025-03-26,0.26,0.26,0.21,0.2101
QVCGA,2025-03-27,0.2099,0.2157,0.2,0.2102
QVCGA,2025-03-28,0.2191,0.2191,0.1795,0.1971
QVCGA,2025-03-31,0.19,0.2062,0.19,0.2011
QVCGA,2025-04-01,0.2004,0.2051,0.181,0.1825
QVCGA,2025-04-02,0.19,0.2037,0.1875,0.1876
QVCGA,2025-04-03,0.1791,0.185,0.1658,0.1694
QVCGA,2025-04-04,0.1542,0.1542,0.1387,0.1542
QVCGA,2025-04-07,0.135,0.1692,0.135,0.1525
QVCGA,2025-04-08,0.1539,0.1691,0.153,0.1542
QVCGA,2025-04-09,0.1565,0.17,0.148,0.1617
QVCGA,2025-04-10,0.1613,0.165,0.1544,0.1552
QVCGA,2025-04-11,0.154,0.16,0.1453,0.1545
QVCGA,2025-04-14,0.16,0.17,0.1513,0.1624
QVCGA,2025-04-15,0.1571,0.1647,0.1502,0.156
QVCGA,2025-04-16,0.1588,0.1594,0.145,0.146
QVCGA,2025-04-17,0.146849,0.1524,0.13505,0.1355
QVCGA,2025-04-21,0.1376,0.1499,0.126,0.1481
QVCGA,2025-04-22,0.149,0.16,0.14,0.15
QVCGA,2025-04-23,0.1503,0.16,0.147,0.1513
QVCGA,2025-04-24,0.1545,0.1558,0.1443,0.1544
QVCGA,2025-04-25,0.15,0.1551,0.1432,0.1506
QVCGA,2025-04-28,0.16,0.162,0.15,0.1515
QVCGA,2025-04-29,0.1515,0.159,0.149,0.1515
QVCGA,2025-04-30,0.149,0.1553,0.149,0.151
QVCGA,2025-05-01,0.14,0.1556,0.136,0.1498
QVCGA,2025-05-02,0.154,0.165,0.15,0.1576
QVCGA,2025-05-05,0.16,0.1716,0.152,0.1681
QVCGA,2025-05-06,0.169,0.254,0.169,0.24
QVCGA,2025-05-07,0.204,0.2214,0.179,0.1954
QVCGA,2025-05-08,0.1412,0.1471,0.1154,0.1401
QVCGA,2025-05-09,0.13,0.1433,0.13,0.14
QVCGA,2025-05-12,0.1398,0.1438,0.1305,0.1375
QVCGA,2025-05-13,0.135,0.1357,0.1262,0.1272
QVCGA,2025-05-14,0.14,0.14,0.1275,0.134
QVCGA,2025-05-15,0.1332,0.1332,0.12,0.1201
QVCGA,2025-05-16,0.1,0.116,0.0951,0.1021
QVCGA,2025-05-19,0.1079,0.1145,0.101991,0.1027
QVCGA,2025-05-20,0.1035,0.1194,0.1009,0.1039
QVCGA,2025-05-21,0.105,0.107,0.095,0.0994
QVCGA,2025-05-22,0.0972,0.1014,0.0966,0.0995
QVCGA,2025-05-23,3.99,3.99,3.77,3.99
QVCGA,2025-05-27,4.3,4.86,3.8,4.63
QVCGA,2025-05-28,4.56,4.59,4.0,4.54
QVCGA,2025-05-29,4.55,5.21,4.22,4.71
QVCGA,2025-05-30,4.63,4.63,4.02,4.1
QVCGA,2025-06-02,4.07,4.105,3.505,3.54
QVCGA,2025-06-03,3.55,3.62,2.75,2.77
QVCGA,2025-06-04,2.76,2.76,2.265,2.265
QVCGA,2025-06-05,2.38,3.47,2.38,3.03
QVCGA,2025-06-06,2.97,3.42,2.91,3.18
QVCGA,2025-06-09,3.21,3.2389,2.83,2.92
QVCGA,2025-06-10,2.92,3.41,2.91,3.39
QVCGA,2025-06-11,3.41,3.41,3.08,3.1
QVCGA,2025-06-12,3.1,3.41,2.98,3.3
QVCGA,2025-06-13,3.26,3.26,3.045,3.14
QVCGA,2025-06-16,3.17,3.3,3.0059,3.24
QVCGA,2025-06-17,3.2,3.24,2.99,3.06
QVCGA,2025-06-18,3.05,3.29,3.05,3.2
QVCGA,2025-06-20,3.21,3.2425,2.9375,3.19
QVCGA,2025-06-23,3.11,3.11,2.67,2.78
QVCGA,2025-06-24,2.81,3.09,2.665,2.72
QVCGA,2025-06-25,2.71,2.86,2.6601,2.73
QVCGA,2025-06-26,2.76,2.88,2.67,2.87
QVCGA,2025-06-27,2.86,2.9,2.675,2.69
QVCGA,2025-06-30,2.72,2.885,2.67,2.79
QVCGA,2025-07-01,2.76,3.09,2.7403,2.88
QVCGA,2025-07-02,2.88,3.01,2.88,2.975
QVCGA,2025-07-03,2.99,3.08,2.945,3.06
QVCGA,2025-07-07,3.02,3.0557,2.82,2.83
QVCGA,2025-07-08,2.84,2.925,2.79,2.9
QVCGA,2025-07-09,2.9,3.04,2.7101,3.04
QVCGA,2025-07-10,3.01,3.01,2.92,2.99
QVCGA,2025-07-11,2.82,2.82,2.8,2.82
QVCGA,2025-07-14,2.82,2.8399,2.75,2.76
QVCGA,2025-07-15,2.76,2.86,2.6,2.62
QVCGA,2025-07-16,2.63,2.735,2.5456,2.72
QVCGA,2025-07-17,2.71,2.95,2.71,2.8
QVCGA,2025-07-18,2.8,2.9102,2.755,2.81
QVCGA,2025-07-21,2.84,2.9554,2.84,2.93
QVCGA,2025-07-22,2.93,5.75,2.9048,3.39
QVCGA,2025-07-23,3.3896,3.74,3.17,3.28
QVCGA,2025-07-24,3.23,3.285,3.095,3.17
QVCGA,2025-07-25,3.23,4.5584,3.0801,3.97
QVCGA,2025-07-28,4.02,4.6567,3.7,3.88
QVCGA,2025-07-29,3.87,4.4785,3.77,4.16
QVCGA,2025-07-30,4.16,4.55,3.85,3.94
QVCGA,2025-07-31,3.94,4.09,3.66,3.89
QVCGA,2025-08-01,3.9,3.92,3.38,3.41
QVCGA,2025-08-04,3.36,3.66,3.36,3.47
QVCGA,2025-08-05,3.53,3.555,3.31,3.33
QVCGA,2025-08-06,3.31,3.4175,3.02,3.23
QVCGA,2025-08-07,3.06,4.16,3.06,3.42
QVCGA,2025-08-08,3.46,4.2389,3.34,4.16
QVCGA,2025-08-11,4.27,4.849,3.87,4.64
QVCGA,2025-08-12,4.64,4.6523,4.01,4.17
QVCGA,2025-08-13,4.14,4.27,4.02,4.08
QVCGA,2025-08-14,4.02,4.5457,3.83,4.43
QVCGA,2025-08-15,4.46,4.58,4.17,4.17
QVCGA,2025-08-18,3.98,4.32,3.895,4.06
QVCGA,2025-08-19,4.04,4.14,3.84,4.08
QVCGA,2025-08-20,4.07,4.31,3.91,4.29
QVCGA,2025-08-21,4.29,4.54,4.16,4.26
QVCGA,2025-08-22,4.27,4.81,4.16,4.73
QVCGA,2025-08-25,4.67,4.96,4.56,4.83
QVCGA,2025-08-26,4.83,5.2982,4.79,4.92
QVCGA,2025-08-27,5.1,6.55,5.035,6.28
QVCGA,2025-08-28,6.31,7.82,6.31,7.11
QVCGA,2025-08-29,7.05,8.8196,6.79,8.58
QVCGA,2025-09-02,8.44,11.36,7.7033,10.33
QVCGA,2025-09-03,10.85,11.3,7.5323,8.15
QVCGA,2025-09-04,8.14,10.1399,7.5107,9.84
QVCGA,2025-09-05,9.8,9.84,8.76,9.085
QVCGA,2025-09-08,9.49,10.2564,9.49,9.79
QVCGA,2025-09-09,9.51,10.12,9.0,9.01
QVCGA,2025-09-10,8.89,10.43,8.7831,10.38
QVCGA,2025-09-11,10.38,11.2,10.0137,10.83
QVCGA,2025-09-12,10.79,11.99,10.6001,11.4
QVCGA,2025-09-15,11.4,12.29,11.0309,12.11
QVCGA,2025-09-16,12.4,14.7647,12.0088,14.425
QVCGA,2025-09-17,14.34,14.9747,12.67,12.97
QVCGA,2025-09-18,13.32,15.98,13.0,15.03
QVCGA,2025-09-19,14.49,15.12,13.5,14.31
QVCGA,2025-09-22,14.06,14.288,12.71,12.8
QVCGA,2025-09-23,12.85,14.13,12.59,13.28
QVCGA,2025-09-24,13.46,14.0,12.6011,13.58
QVCGA,2025-09-25,13.47,13.47,12.59,12.79
QVCGA,2025-09-26,12.88,13.78,12.6594,13.77
QVCGA,2025-09-29,13.63,14.37,12.5829,14.02
QVCGA,2025-09-30,13.89,14.2066,12.98,13.36
QVCGA,2025-10-01,13.72,13.89,12.85,13.57
QVCGA,2025-10-02,13.7,14.61,13.2536,14.5
QVCGA,2025-10-03,14.55,14.98,13.67,14.45
QVCGA,2025-10-06,14.49,14.85,13.77,14.19
QVCGA,2025-10-07,14.25,14.6794,13.9,14.28
QVCGA,2025-10-08,14.46,14.85,13.9,14.66
QVCGA,2025-10-09,14.39,15.34,14.07,15.03
QVCGA,2025-10-10,15.0,15.48,13.64,13.64
QVCGA,2025-10-13,13.5,15.15,13.5,14.64
QVCGA,2025-10-14,14.64,15.1,14.1,14.93
QVCGA,2025-10-15,14.93,15.0999,14.5,14.9
QVCGA,2025-10-16,14.65,14.87,14.06,14.46
QVCGA,2025-10-17,14.36,14.6,13.5,13.74
QVCGA,2025-10-20,14.0,14.62,13.6779,14.5
QVCGA,2025-10-21,14.5,14.6199,14.1,14.415
QVCGA,2025-10-22,13.61,13.61,13.5,13.61
QVCGA,2025-10-23,13.61,14.0,13.02,13.3
QVCGA,2025-10-24,13.57,13.57,11.13,11.4
QVCGA,2025-10-27,11.4,11.4,9.945,10.43
QVCGA,2025-10-28,10.33,11.47,10.33,10.97
QVCGA,2025-10-29,10.9,12.0,10.9,11.23
QVCGA,2025-10-30,11.06,12.4567,11.06,11.84
QVCGA,2025-10-31,12.07,12.2,10.8,11.39
QVCGA,2025-11-03,11.21,11.5,10.76,10.99
QVCGA,2025-11-04,10.88,11.21,10.08,10.35
QVCGA,2025-11-05,7.57,8.0,5.9101,6.26
QVCGA,2025-11-06,6.38,6.38,5.53,5.66
QVCGA,2025-11-07,5.5,7.69,5.5,7.07
QVCGA,2025-11-10,7.14,7.2178,6.45,6.45
QVCGA,2025-11-11,6.39,6.88,6.1927,6.28
QVCGA,2025-11-12,6.25,7.7862,6.25,7.07
QVCGA,2025-11-13,7.11,7.45,6.85,6.99
QVCGA,2025-11-14,6.79,7.11,6.555,6.56
QVCGA,2025-11-17,6.58,7.0999,6.28,6.34
QVCGA,2025-11-18,6.32,7.3744,6.32,7.27
QVCGA,2025-11-19,7.28,7.5,7.0468,7.07
QVCGA,2025-11-20,7.05,8.02,6.6267,7.9
QVCGA,2025-11-21,7.88,9.85,7.88,9.76
QVCGA,2025-11-24,9.94,9.99,7.8801,8.1459
QVCGA,2025-11-25,8.34,8.81,7.9401,8.545
QVCGA,2025-11-26,8.93,9.67,8.02,9.22
QVCGA,2025-11-28,9.15,9.575,9.0072,9.31
QVCGA,2025-12-01,9.23,9.65,9.08,9.2
QVCGA,2025-12-02,9.17,9.43,9.1,9.31
QVCGA,2025-12-03,9.45,9.9,9.06,9.8
