ticker,date,open,high,low,close
RAAQ,2025-06-03,10.07,10.07,10.05,10.06
RAAQ,2025-06-04,10.0686,10.11,10.06,10.09
RAAQ,2025-06-05,10.1,10.1,10.1,10.1
RAAQ,2025-06-06,10.11,10.11,10.1,10.11
RAAQ,2025-06-09,10.1,10.13,10.1,10.12
RAAQ,2025-06-10,10.1199,10.135,10.1199,10.13
RAAQ,2025-06-11,10.135,10.14,10.13,10.14
RAAQ,2025-06-12,10.11,10.14,10.11,10.14
RAAQ,2025-06-13,10.14,10.18,10.13,10.18
RAAQ,2025-06-16,10.17,10.18,10.16,10.16
RAAQ,2025-06-17,10.13,10.13,10.13,10.13
RAAQ,2025-06-18,10.11,10.2,10.11,10.19
RAAQ,2025-06-20,10.2,10.27,10.2,10.26
RAAQ,2025-06-23,10.25,10.25,10.25,10.25
RAAQ,2025-06-24,10.29,10.29,10.2827,10.2827
RAAQ,2025-06-25,10.24,10.27,10.19,10.2
RAAQ,2025-06-26,10.17,10.17,10.16,10.17
RAAQ,2025-06-27,10.18,10.18,10.17,10.17
RAAQ,2025-06-30,10.1765,10.1765,10.15,10.15
RAAQ,2025-07-01,10.17,10.17,10.145,10.15
RAAQ,2025-07-02,10.14,10.15,10.14,10.145
RAAQ,2025-07-07,10.14,10.15,10.14,10.14
RAAQ,2025-07-08,10.15,10.16,10.12,10.16
RAAQ,2025-07-09,10.16,10.16,10.15,10.15
RAAQ,2025-07-10,10.15,10.17,10.15,10.17
RAAQ,2025-07-11,10.17,10.17,10.17,10.17
RAAQ,2025-07-14,10.17,10.17,10.15,10.15
RAAQ,2025-07-15,10.17,10.17,10.16,10.17
RAAQ,2025-07-16,10.165,10.18,10.165,10.18
RAAQ,2025-07-17,10.17,10.17,10.15,10.15
RAAQ,2025-07-18,10.1756,10.19,10.16,10.16
RAAQ,2025-07-21,10.1643,10.17,10.16,10.17
RAAQ,2025-07-22,10.17,10.17,10.17,10.17
RAAQ,2025-07-23,10.164,10.18,10.164,10.17
RAAQ,2025-07-24,10.16,10.16,10.16,10.16
RAAQ,2025-07-29,10.16,10.16,10.16,10.16
RAAQ,2025-07-30,10.15,10.16,10.15,10.16
RAAQ,2025-07-31,10.15,10.16,10.15,10.15
RAAQ,2025-08-05,10.18,10.18,10.18,10.18
RAAQ,2025-08-06,10.17,10.17,10.17,10.17
RAAQ,2025-08-07,10.18,10.18,10.16,10.17
RAAQ,2025-08-08,10.15,10.16,10.15,10.15
RAAQ,2025-08-11,10.14,10.14,10.14,10.14
RAAQ,2025-08-13,10.13,10.13,10.12,10.12
RAAQ,2025-08-15,10.11,10.11,9.62,9.62
RAAQ,2025-08-18,10.02,10.18,10.02,10.18
RAAQ,2025-08-20,10.1199,10.15,9.9875,10.12
RAAQ,2025-08-21,10.13,10.13,10.11,10.11
RAAQ,2025-08-22,10.13,10.13,10.13,10.13
RAAQ,2025-08-25,10.13,10.13,10.1,10.12
RAAQ,2025-08-26,10.125,10.13,10.12,10.12
RAAQ,2025-08-27,10.04,10.12,10.04,10.12
RAAQ,2025-09-03,10.12,10.12,10.12,10.12
RAAQ,2025-09-18,10.12,10.12,10.12,10.12
RAAQ,2025-09-19,10.14,10.14,10.12,10.12
RAAQ,2025-09-22,10.12,10.12,10.12,10.12
RAAQ,2025-09-23,10.13,10.1386,10.12,10.12
RAAQ,2025-09-24,10.14,10.14,10.14,10.14
RAAQ,2025-09-25,10.14,10.14,10.13,10.13
RAAQ,2025-09-26,10.14,10.14,10.14,10.14
RAAQ,2025-09-29,10.14,10.14,10.13,10.13
RAAQ,2025-10-02,10.24,10.24,10.13,10.13
RAAQ,2025-10-08,10.15,10.17,10.15,10.17
RAAQ,2025-10-09,10.17,10.3,10.15,10.15
RAAQ,2025-10-10,10.14,10.14,10.14,10.14
RAAQ,2025-10-13,10.15,10.15,10.15,10.15
RAAQ,2025-10-14,10.176,10.66,10.176,10.425
RAAQ,2025-10-15,10.5,10.825,10.5,10.51
RAAQ,2025-10-16,10.46,10.48,10.379,10.4
RAAQ,2025-10-17,10.38,10.46,10.38,10.44
RAAQ,2025-10-20,10.45,10.45,10.26,10.375
RAAQ,2025-10-21,10.3,10.48,10.3,10.44
RAAQ,2025-10-22,10.41,10.42,10.37,10.4
RAAQ,2025-10-23,10.4,10.4374,10.3679,10.4299
