ticker,date,open,high,low,close
RDAG,2025-06-23,12.64,12.64,10.31,10.39
RDAG,2025-06-24,10.42,10.75,10.41,10.5
RDAG,2025-06-25,10.5,10.5,10.3,10.33
RDAG,2025-06-26,10.35,10.35,10.24,10.2627
RDAG,2025-06-27,10.26,10.26,10.22,10.24
RDAG,2025-06-30,10.25,10.26,10.25,10.26
RDAG,2025-07-01,10.2807,10.29,10.26,10.26
RDAG,2025-07-02,10.265,10.29,10.26,10.26
RDAG,2025-07-03,10.27,10.28,10.27,10.275
RDAG,2025-07-07,10.2558,10.3,10.2558,10.29
RDAG,2025-07-08,10.25,10.25,10.25,10.25
RDAG,2025-07-09,10.251,10.26,10.25,10.2599
RDAG,2025-07-10,10.28,10.28,10.25,10.27
RDAG,2025-07-11,10.27,10.27,10.27,10.27
RDAG,2025-07-14,10.2799,10.32,10.27,10.3
RDAG,2025-07-15,10.3,10.345,10.295,10.34
RDAG,2025-07-16,10.32,10.365,10.3,10.34
RDAG,2025-07-17,10.311,10.34,10.311,10.32
RDAG,2025-07-18,10.31,10.35,10.3,10.33
RDAG,2025-07-21,10.33,10.45,10.3001,10.45
RDAG,2025-07-22,10.36,10.3799,10.36,10.3799
RDAG,2025-07-23,10.36,10.3744,10.34,10.36
RDAG,2025-07-25,10.3772,10.38,10.36,10.3608
RDAG,2025-07-28,10.37,10.375,10.37,10.37
RDAG,2025-07-29,10.35,10.3802,10.34,10.35
RDAG,2025-07-30,10.34,10.34,10.3,10.3
RDAG,2025-07-31,10.34,10.35,10.3,10.345
RDAG,2025-08-01,10.3001,10.37,10.3001,10.37
RDAG,2025-08-04,10.3,10.36,10.3,10.33
RDAG,2025-08-05,10.31,10.37,10.31,10.37
RDAG,2025-08-06,10.31,10.39,10.31,10.37
RDAG,2025-08-07,10.375,10.39,10.34,10.39
RDAG,2025-08-08,10.355,10.39,10.32,10.34
RDAG,2025-08-11,10.311,10.3282,10.25,10.27
RDAG,2025-08-12,10.25,10.31,10.25,10.31
RDAG,2025-08-13,10.35,10.35,10.3,10.3
RDAG,2025-08-14,10.3,10.325,10.25,10.25
RDAG,2025-08-15,10.3,10.3,10.23,10.23
RDAG,2025-08-18,10.3,10.3,10.25,10.26
RDAG,2025-08-19,10.26,10.28,10.02,10.18
RDAG,2025-08-20,10.22,10.23,10.19,10.195
RDAG,2025-08-21,10.2,10.22,10.2,10.21
RDAG,2025-08-22,10.2,10.22,10.2,10.2
RDAG,2025-08-25,10.22,10.25,10.2,10.2
RDAG,2025-08-26,10.21,10.22,10.195,10.22
RDAG,2025-08-27,10.22,10.22,10.22,10.22
RDAG,2025-08-28,10.25,10.25,10.1999,10.22
RDAG,2025-08-29,10.22,10.23,10.22,10.22
RDAG,2025-09-02,10.24,10.24,10.19,10.22
RDAG,2025-09-03,10.24,10.24,10.22,10.23
RDAG,2025-09-04,10.22,10.23,10.22,10.22
RDAG,2025-09-05,10.235,10.235,10.22,10.22
RDAG,2025-09-08,10.25,10.25,10.24,10.24
RDAG,2025-09-09,10.22,10.26,10.22,10.24
RDAG,2025-09-10,10.27,10.27,10.24,10.24
RDAG,2025-09-11,10.32,10.32,10.22,10.225
RDAG,2025-09-12,10.24,10.265,10.24,10.265
RDAG,2025-09-15,10.23,10.3,10.23,10.28
RDAG,2025-09-16,10.23,10.29,10.22,10.29
RDAG,2025-09-17,10.2217,10.29,10.22,10.23
RDAG,2025-09-18,10.24,10.24,10.24,10.24
RDAG,2025-09-19,10.24,10.24,10.24,10.24
RDAG,2025-09-22,10.3,10.3,10.3,10.3
RDAG,2025-09-23,10.29,10.2919,10.29,10.2919
RDAG,2025-09-24,10.3,10.3,10.3,10.3
RDAG,2025-09-25,10.22,10.22,10.18,10.21
RDAG,2025-09-26,10.22,10.2562,10.22,10.2562
RDAG,2025-09-29,10.24,10.24,10.22,10.23
RDAG,2025-09-30,10.23,10.23,10.21,10.21
RDAG,2025-10-01,10.22,10.28,10.22,10.24
RDAG,2025-10-02,10.22,10.43,10.21,10.39
RDAG,2025-10-03,10.32,10.38,10.32,10.38
RDAG,2025-10-06,10.25,10.39,10.25,10.35
RDAG,2025-10-07,10.3,10.35,10.23,10.33
RDAG,2025-10-08,10.275,10.35,10.275,10.35
RDAG,2025-10-09,10.34,10.34,10.27,10.3
RDAG,2025-10-10,10.27,10.28,10.24,10.24
RDAG,2025-10-13,10.26,10.29,10.24,10.29
RDAG,2025-10-14,10.241,10.2699,10.24,10.26
RDAG,2025-10-15,10.32,10.36,10.29,10.31
RDAG,2025-10-16,10.3222,10.3241,10.3,10.31
RDAG,2025-10-17,10.3158,10.3653,10.3158,10.32
RDAG,2025-10-20,10.32,10.35,10.32,10.32
RDAG,2025-10-21,10.38,10.38,10.31,10.37
RDAG,2025-10-22,10.31,10.37,10.31,10.34
RDAG,2025-10-23,10.31,10.31,10.31,10.31
RDAG,2025-10-24,10.31,10.31,10.31,10.31
RDAG,2025-10-27,10.31,10.31,10.31,10.31
RDAG,2025-10-28,10.31,10.31,10.31,10.31
RDAG,2025-10-29,10.32,10.32,10.32,10.32
RDAG,2025-10-30,10.32,10.32,10.305,10.31
RDAG,2025-10-31,10.32,10.34,10.32,10.33
RDAG,2025-11-04,10.33,10.33,10.31,10.31
RDAG,2025-11-05,10.33,10.33,10.33,10.33
RDAG,2025-11-06,10.33,10.33,10.33,10.33
RDAG,2025-11-07,10.305,10.305,10.26,10.29
RDAG,2025-11-10,10.29,10.29,10.29,10.29
RDAG,2025-11-11,10.29,10.29,10.29,10.29
RDAG,2025-11-12,10.29,10.29,10.29,10.29
RDAG,2025-11-13,10.29,10.29,10.28,10.28
RDAG,2025-11-14,10.26,10.27,10.25,10.27
RDAG,2025-11-17,10.29,10.2948,10.28,10.28
RDAG,2025-11-19,10.29,10.29,10.29,10.29
RDAG,2025-11-20,10.3017,10.3017,10.25,10.27
RDAG,2025-11-21,10.25,10.28,10.25,10.28
RDAG,2025-11-24,10.28,10.28,10.27,10.27
RDAG,2025-11-25,10.25,10.25,9.7677,10.19
RDAG,2025-11-26,10.2206,10.2206,10.17,10.17
RDAG,2025-12-01,10.17,10.2001,10.137,10.1974
RDAG,2025-12-02,10.17,10.22,10.15,10.22
RDAG,2025-12-03,10.16,10.16,10.16,10.16
RDAG,2025-12-04,10.16,10.16,10.15,10.16
RDAG,2025-12-05,10.13,10.14,10.13,10.13
RDAG,2025-12-08,10.16,10.16,10.16,10.16
RDAG,2025-12-09,10.15,10.15,10.15,10.15
RDAG,2025-12-10,10.1418,10.21,10.1418,10.21
RDAG,2025-12-15,10.14,10.22,10.13,10.19
RDAG,2025-12-16,10.18,10.18,10.17,10.17
RDAG,2025-12-17,10.16,10.16,10.16,10.16
RDAG,2025-12-18,10.16,10.1891,10.16,10.17
RDAG,2025-12-19,10.2,10.2,10.2,10.2
RDAG,2025-12-23,10.17,10.17,10.13,10.13
RDAG,2025-12-24,10.13,10.14,10.12,10.12
RDAG,2025-12-26,10.135,10.135,10.13,10.13
RDAG,2025-12-29,10.12,10.1357,10.12,10.13
RDAG,2025-12-30,10.14,10.14,10.13,10.13
RDAG,2025-12-31,10.12,10.15,10.12,10.125
RDAG,2026-01-05,10.15,10.15,10.13,10.14
RDAG,2026-01-06,10.15,10.15,10.14,10.14
RDAG,2026-01-07,10.16,10.16,10.14,10.16
RDAG,2026-01-08,10.16,10.18,10.16,10.18
RDAG,2026-01-09,10.18,10.2,10.16,10.2
RDAG,2026-01-12,10.2,10.22,10.182,10.22
RDAG,2026-01-13,10.22,10.22,10.205,10.22
RDAG,2026-01-14,10.2,10.22,10.2,10.22
RDAG,2026-01-15,10.22,10.22,10.22,10.22
RDAG,2026-01-16,10.2,10.21,10.2,10.21
RDAG,2026-01-20,10.2,10.2,10.2,10.2
RDAG,2026-01-21,10.2,10.22,10.2,10.22
RDAG,2026-01-22,10.22,10.22,10.22,10.22
RDAG,2026-01-23,10.23,10.24,10.23,10.24
RDAG,2026-01-26,10.2378,10.25,10.2378,10.25
RDAG,2026-01-28,10.25,10.25,10.25,10.25
RDAG,2026-01-29,10.22,10.27,10.22,10.27
RDAG,2026-02-02,10.29,10.29,10.29,10.29
