ticker,date,open,high,low,close
RDNW,2025-08-25,3.81,3.81,3.425,3.44
RDNW,2025-08-26,3.5,3.565,3.28,3.48
RDNW,2025-08-27,3.49,3.65,3.4,3.41
RDNW,2025-08-28,3.48,3.53,3.31,3.52
RDNW,2025-08-29,3.55,3.9,3.47,3.87
RDNW,2025-09-02,3.74,3.77,3.5624,3.69
RDNW,2025-09-03,3.73,3.73,3.475,3.62
RDNW,2025-09-04,3.61,3.85,3.55,3.82
RDNW,2025-09-05,3.89,4.1485,3.75,3.94
RDNW,2025-09-08,3.99,4.1208,3.815,3.87
RDNW,2025-09-09,3.82,4.07,3.79,3.88
RDNW,2025-09-10,3.94,4.07,3.88,4.04
RDNW,2025-09-11,4.07,4.41,4.07,4.22
RDNW,2025-09-12,4.24,4.24,4.0,4.11
RDNW,2025-09-15,4.11,4.26,4.11,4.19
RDNW,2025-09-16,4.19,4.41,4.055,4.2
RDNW,2025-09-17,4.18,4.4,4.1527,4.35
RDNW,2025-09-18,4.41,4.53,4.3618,4.48
RDNW,2025-09-19,4.53,4.6,4.43,4.43
RDNW,2025-09-22,4.47,4.6,4.08,4.37
RDNW,2025-09-23,4.36,4.6,4.2679,4.55
RDNW,2025-09-24,4.6,4.7,4.52,4.58
RDNW,2025-09-25,4.53,4.7,4.53,4.64
RDNW,2025-09-26,4.63,4.7,4.4,4.48
RDNW,2025-09-29,4.55,4.58,4.3764,4.56
RDNW,2025-09-30,4.53,4.54,4.2901,4.41
RDNW,2025-10-01,4.36,4.42,4.21,4.4
RDNW,2025-10-02,4.43,4.55,4.43,4.5
RDNW,2025-10-03,4.48,4.59,4.27,4.32
RDNW,2025-10-06,4.46,4.46,4.01,4.26
RDNW,2025-10-07,4.29,4.3,3.72,3.81
RDNW,2025-10-08,3.82,3.8776,3.5,3.58
RDNW,2025-10-09,3.59,3.8705,3.52,3.6
RDNW,2025-10-10,3.6,3.7,3.38,3.43
RDNW,2025-10-13,3.59,3.86,3.55,3.57
RDNW,2025-10-14,3.48,3.86,3.48,3.725
RDNW,2025-10-15,3.77,3.92,3.66,3.69
RDNW,2025-10-16,3.67,3.87,3.49,3.56
RDNW,2025-10-17,3.51,3.57,3.25,3.25
RDNW,2025-10-20,3.21,3.8,3.21,3.57
RDNW,2025-10-21,3.52,3.6286,3.5,3.55
RDNW,2025-10-22,3.55,3.7,3.331,3.42
RDNW,2025-10-23,3.54,3.61,3.47,3.53
RDNW,2025-10-24,3.55,3.75,3.52,3.59
RDNW,2025-10-27,3.685,3.93,3.51,3.69
RDNW,2025-10-28,3.61,3.845,3.57,3.62
RDNW,2025-10-29,3.59,3.8415,3.41,3.44
RDNW,2025-10-30,3.475,3.52,3.37,3.37
RDNW,2025-10-31,3.43,3.5,3.4,3.45
RDNW,2025-11-03,3.43,3.43,3.23,3.23
RDNW,2025-11-04,3.2,3.53,3.2,3.34
RDNW,2025-11-05,4.0,4.5,3.85,4.14
RDNW,2025-11-06,4.13,4.215,3.8987,4.1
RDNW,2025-11-07,4.08,4.44,4.08,4.4
RDNW,2025-11-10,4.52,4.96,4.365,4.94
RDNW,2025-11-11,4.97,5.13,4.665,5.1
RDNW,2025-11-12,5.14,5.695,5.01,5.32
RDNW,2025-11-13,5.27,5.53,5.2476,5.49
RDNW,2025-11-14,5.27,5.485,5.1,5.32
RDNW,2025-11-17,5.34,5.34,5.08,5.3
RDNW,2025-11-18,5.25,5.34,5.1853,5.25
RDNW,2025-11-19,5.3,5.3,5.09,5.23
RDNW,2025-11-20,5.2,5.52,5.07,5.31
RDNW,2025-11-21,5.34,5.48,5.2,5.275
RDNW,2025-11-24,5.3,5.46,5.22,5.23
RDNW,2025-11-25,5.24,5.35,5.13,5.18
RDNW,2025-11-26,5.14,5.34,5.05,5.05
RDNW,2025-11-28,5.09,5.2,4.95,5.01
RDNW,2025-12-01,4.9,5.1886,4.9,4.98
RDNW,2025-12-02,4.84,5.2,4.84,5.04
RDNW,2025-12-03,5.0,5.175,4.91,5.15
RDNW,2025-12-04,5.1,5.45,5.06,5.34
RDNW,2025-12-05,5.45,5.6,5.31,5.6
RDNW,2025-12-08,5.64,5.7388,5.33,5.425
RDNW,2025-12-09,5.38,5.705,5.38,5.68
RDNW,2025-12-10,5.67,5.75,5.54,5.6
RDNW,2025-12-11,5.57,5.7,5.44,5.63
RDNW,2025-12-12,5.63,5.78,5.1901,5.71
RDNW,2025-12-15,5.78,5.78,5.635,5.71
RDNW,2025-12-16,5.77,6.045,5.65,6.0
RDNW,2025-12-17,6.0,6.5,5.99,6.365
RDNW,2025-12-18,6.4,6.58,6.05,6.12
RDNW,2025-12-19,6.16,6.28,5.48,5.655
RDNW,2025-12-22,5.67,5.67,5.214,5.29
RDNW,2025-12-23,5.24,5.43,5.18,5.43
RDNW,2025-12-24,5.37,5.435,5.33,5.34
RDNW,2025-12-26,5.38,5.475,5.22,5.46
RDNW,2025-12-29,5.4,5.46,5.29,5.39
RDNW,2025-12-30,5.38,5.44,5.3,5.405
RDNW,2025-12-31,5.41,5.53,5.31,5.52
RDNW,2026-01-02,5.58,5.98,5.44,5.95
RDNW,2026-01-05,6.03,6.31,5.7837,5.99
RDNW,2026-01-06,6.02,6.1,5.8,5.925
RDNW,2026-01-07,5.93,5.93,5.78,5.93
RDNW,2026-01-08,5.99,6.1,5.89,6.0
RDNW,2026-01-09,6.0,6.05,5.89,5.92
RDNW,2026-01-12,5.78,6.035,5.68,5.98
RDNW,2026-01-13,6.02,6.15,5.97,6.07
RDNW,2026-01-14,6.08,6.08,5.91,5.974
RDNW,2026-01-15,5.92,6.02,5.91,5.93
RDNW,2026-01-16,5.97,6.08,5.8201,5.96
RDNW,2026-01-20,5.88,5.88,5.63,5.72
RDNW,2026-01-21,5.79,5.94,5.48,5.48
RDNW,2026-01-22,5.51,5.796,5.51,5.52
RDNW,2026-01-23,5.47,5.63,5.28,5.51
RDNW,2026-01-26,5.37,5.56,5.37,5.52
RDNW,2026-01-27,5.47,5.54,5.375,5.52
RDNW,2026-01-28,5.2201,5.6695,5.2201,5.6
RDNW,2026-01-29,5.57,5.57,4.74,4.926
RDNW,2026-01-30,4.81,5.25,4.68,4.935
RDNW,2026-02-02,4.79,5.4499,4.79,5.18
