ticker,date,open,high,low,close
RENX,2025-12-22,0.2714,0.2905,0.2566,0.2701
RENX,2025-12-23,0.248,0.248,0.199,0.2283
RENX,2025-12-24,0.2283,0.2534,0.2191,0.2534
RENX,2025-12-26,0.2487,0.2487,0.223,0.2252
RENX,2025-12-29,0.2207,0.2357,0.18,0.1961
RENX,2025-12-30,0.1963,0.2118,0.158,0.1778
RENX,2025-12-31,0.1774,0.1966,0.1672,0.19
RENX,2026-01-02,0.1853,0.1952,0.18,0.191
RENX,2026-01-05,0.192,0.219,0.192,0.2021
RENX,2026-01-06,0.2018,0.2173,0.1975,0.2062
RENX,2026-01-07,0.2112,0.22,0.205,0.2127
RENX,2026-01-08,0.2139,0.2139,0.1934,0.1938
RENX,2026-01-09,0.2648,0.2839,0.2117,0.219
RENX,2026-01-12,0.22,0.225,0.1935,0.1998
RENX,2026-01-13,0.195,0.195,0.1647,0.1823
RENX,2026-01-14,0.172,0.1827,0.17,0.1732
RENX,2026-01-15,0.173,0.1813,0.1567,0.1635
RENX,2026-01-16,0.16,0.169,0.1551,0.166
RENX,2026-01-20,0.1631,0.1642,0.15,0.1575
RENX,2026-01-21,0.157,0.169,0.1523,0.1652
RENX,2026-01-22,0.152,0.1603,0.138,0.1541
RENX,2026-01-23,0.152,0.1569,0.1437,0.152
RENX,2026-01-26,0.149,0.153,0.1351,0.144
RENX,2026-01-27,0.138,0.1612,0.1345,0.1556
RENX,2026-01-28,0.1515,0.153,0.145,0.145
RENX,2026-01-29,0.1435,0.1435,0.1243,0.1333
RENX,2026-01-30,0.1297,0.1588,0.1136,0.1559
RENX,2026-02-02,0.1268,0.1713,0.1192,0.16
