ticker,date,open,high,low,close
RJET,2025-11-25,21.05,23.715,18.7796,20.9489
RJET,2025-11-26,21.2,21.57,20.0244,21.003
RJET,2025-11-28,20.94,21.09,20.0,20.04
RJET,2025-12-01,19.5,19.8399,18.68,19.3
RJET,2025-12-02,19.16,19.63,17.35,17.85
RJET,2025-12-03,17.78,19.48,17.77,19.01
RJET,2025-12-04,18.9998,19.21,18.0446,19.01
RJET,2025-12-05,19.362,19.49,18.41,19.3
RJET,2025-12-08,19.54,20.4,19.0,19.22
RJET,2025-12-09,19.3,19.4471,18.5,19.25
RJET,2025-12-10,19.19,19.19,18.5,19.04
RJET,2025-12-11,19.05,20.0,18.52,19.02
RJET,2025-12-12,18.9958,19.025,18.1,18.69
RJET,2025-12-15,18.6,19.19,18.55,19.19
RJET,2025-12-16,18.7307,19.9,18.725,19.87
RJET,2025-12-17,19.79,20.065,18.7494,19.735
RJET,2025-12-18,19.3,20.81,19.3,20.81
RJET,2025-12-19,19.87,22.03,19.7251,20.27
RJET,2025-12-22,19.86,21.77,19.86,20.94
RJET,2025-12-23,20.84,21.24,20.555,20.555
RJET,2025-12-24,20.77,20.89,19.8001,20.6
RJET,2025-12-26,20.8,20.8,19.58,19.73
RJET,2025-12-29,19.75,19.9899,18.75,19.165
RJET,2025-12-30,19.28,19.3,17.55,18.5
RJET,2025-12-31,18.49,19.01,18.125,18.37
RJET,2026-01-02,18.57,20.73,18.3262,19.62
RJET,2026-01-05,19.89,21.0,19.54,20.47
RJET,2026-01-06,20.67,20.67,19.55,19.865
RJET,2026-01-07,19.96,20.13,19.31,19.31
RJET,2026-01-08,19.13,20.4,18.91,18.99
RJET,2026-01-09,19.11,19.385,18.51,18.78
RJET,2026-01-12,18.85,18.85,18.2888,18.57
RJET,2026-01-13,18.69,19.79,18.5,19.5
RJET,2026-01-14,19.18,19.18,17.51,18.4
RJET,2026-01-15,18.05,18.9307,17.505,18.0
RJET,2026-01-16,18.2,18.53,17.7,17.87
RJET,2026-01-20,17.85,17.85,17.11,17.4
RJET,2026-01-21,17.12,17.955,17.12,17.68
RJET,2026-01-22,18.01,18.26,17.53,17.7
RJET,2026-01-23,17.85,18.12,16.78,17.26
RJET,2026-01-26,17.29,18.17,17.145,17.86
RJET,2026-01-27,17.97,18.02,17.365,17.73
RJET,2026-01-28,17.61,18.17,16.8,16.87
RJET,2026-01-29,16.81,17.73,16.66,16.72
RJET,2026-01-30,16.5,17.31,16.255,17.04
RJET,2026-02-02,17.07,18.1,17.07,17.84
