ticker,date,open,high,low,close
RPGL,2025-10-14,4.2,5.19,4.0,4.98
RPGL,2025-10-15,4.05,4.29,4.02,4.1
RPGL,2025-10-16,4.1,4.164,1.41,1.81
RPGL,2025-10-17,1.41,1.69,1.32,1.58
RPGL,2025-10-20,1.51,1.56,1.4201,1.51
RPGL,2025-10-21,1.49,1.5,1.2,1.24
RPGL,2025-10-22,1.22,1.3202,1.02,1.07
RPGL,2025-10-23,1.12,1.65,1.0903,1.3
RPGL,2025-10-24,1.24,1.29,1.0601,1.1
RPGL,2025-10-27,1.12,1.7,1.12,1.32
RPGL,2025-10-28,1.38,1.58,1.2795,1.48
RPGL,2025-10-29,1.48,1.48,1.26,1.31
RPGL,2025-10-30,1.28,1.48,1.27,1.35
RPGL,2025-10-31,1.36,1.52,1.31,1.44
RPGL,2025-11-03,1.39,1.4533,1.3,1.31
RPGL,2025-11-04,1.3613,1.54,1.34,1.4
RPGL,2025-11-05,1.38,1.7,1.3,1.56
RPGL,2025-11-06,1.6,1.98,1.5248,1.95
RPGL,2025-11-07,2.03,2.32,1.8,2.01
RPGL,2025-11-10,1.98,2.6747,1.98,2.41
RPGL,2025-11-11,2.6,2.68,2.0,2.32
RPGL,2025-11-12,2.32,2.69,1.99,2.63
RPGL,2025-11-13,2.42,2.5,1.24,1.51
RPGL,2025-11-14,1.22,1.22,0.700501,0.8653
RPGL,2025-11-17,0.82,0.85,0.453,0.53
RPGL,2025-11-18,0.48,0.5294,0.4211,0.4875
RPGL,2025-11-19,0.4871,0.61,0.455,0.46
RPGL,2025-11-20,0.44,0.499,0.43,0.45455
RPGL,2025-11-21,0.42,0.5194,0.42,0.48
RPGL,2025-11-24,0.4917,0.4937,0.441,0.451
RPGL,2025-11-25,0.4564,0.48,0.43,0.4639
RPGL,2025-11-26,0.45,0.45,0.375,0.4269
RPGL,2025-11-28,0.4245,0.426899,0.4011,0.405
RPGL,2025-12-01,0.4926,0.5071,0.402,0.4282
RPGL,2025-12-02,0.438,0.44,0.3828,0.4172
RPGL,2025-12-03,0.3987,0.5037,0.395,0.4914
RPGL,2025-12-04,0.4448,0.54,0.4419,0.54
RPGL,2025-12-05,0.4972,0.5356,0.49,0.5356
RPGL,2025-12-08,0.49,0.5798,0.49,0.5355
RPGL,2025-12-09,0.5483,0.565,0.5101,0.5101
RPGL,2025-12-10,0.52,0.535,0.5008,0.53
RPGL,2025-12-11,0.54,0.6042,0.5201,0.5564
RPGL,2025-12-12,0.5371,0.5371,0.4735,0.5163
RPGL,2025-12-15,0.472,0.485,0.4049,0.4326
RPGL,2025-12-16,0.4399,0.469999,0.4176,0.4216
RPGL,2025-12-17,0.428,0.45,0.4161,0.4356
RPGL,2025-12-18,0.407,0.4263,0.372,0.4017
RPGL,2025-12-19,0.3875,0.3975,0.2318,0.2719
RPGL,2025-12-22,0.27,0.3192,0.2511,0.3051
RPGL,2025-12-23,0.2959,0.308,0.2701,0.2778
RPGL,2025-12-24,0.278,0.2865,0.2626,0.265
RPGL,2025-12-26,0.264,0.2963,0.26,0.2633
RPGL,2025-12-29,0.4678,0.8698,0.378,0.6779
RPGL,2025-12-30,0.5806,0.6057,0.479,0.584
RPGL,2025-12-31,0.5701,0.6598,0.5163,0.56
RPGL,2026-01-02,0.53,0.67,0.53,0.6661
RPGL,2026-01-05,0.61,0.7793,0.6055,0.6122
RPGL,2026-01-06,0.5947,0.630199,0.5122,0.5246
RPGL,2026-01-07,0.5328,0.5328,0.51105,0.5241
RPGL,2026-01-08,0.5145,0.6461,0.5145,0.57
RPGL,2026-01-09,0.559,0.5687,0.5189,0.5521
RPGL,2026-01-12,0.5355,0.5374,0.4523,0.48585
RPGL,2026-01-13,0.48,0.4995,0.43,0.4448
RPGL,2026-01-14,0.46,0.46,0.3844,0.3869
RPGL,2026-01-15,0.39,0.4422,0.389,0.4036
RPGL,2026-01-16,0.43,0.439,0.39,0.4001
RPGL,2026-01-20,0.39,0.455,0.39,0.428
RPGL,2026-01-21,0.411,0.434,0.4075,0.4112
RPGL,2026-01-22,0.4092,0.4174,0.4,0.402
RPGL,2026-01-23,0.4,0.4098,0.38,0.38
RPGL,2026-01-26,0.3686,0.3801,0.34,0.34
RPGL,2026-01-27,0.33,0.3605,0.3219,0.3279
RPGL,2026-01-28,0.341,0.35705,0.33,0.3353
RPGL,2026-01-29,0.34,1.39,0.3399,0.8821
RPGL,2026-01-30,1.25,1.85,0.4906,0.5335
RPGL,2026-02-02,0.7719,1.03,0.601,0.82165
