ticker,date,open,high,low,close
RYM,2025-09-02,42.5,49.68,42.5,44.545
RYM,2025-09-03,43.07,43.5,35.52,36.335
RYM,2025-09-04,33.51,37.0,33.51,34.12
RYM,2025-09-05,33.51,36.5,33.51,36.415
RYM,2025-09-08,38.559,38.559,36.55,37.5
RYM,2025-09-09,38.999,39.835,35.5001,39.38
RYM,2025-09-10,38.46,41.0,38.3238,39.86
RYM,2025-09-11,38.81,40.0,38.2659,38.44
RYM,2025-09-12,38.7,42.79,38.7,42.79
RYM,2025-09-15,42.0,42.6,40.0,40.0
RYM,2025-09-16,41.8432,41.8432,39.1939,41.8
RYM,2025-09-17,41.8,42.0,41.25,41.25
RYM,2025-09-18,39.91,41.9663,39.91,40.23
RYM,2025-09-19,39.99,40.2,39.0001,39.9999
RYM,2025-09-22,40.41,41.948,39.22,39.39
RYM,2025-09-23,41.29,41.29,37.84,37.84
RYM,2025-09-24,38.29,39.584,35.25,37.7
RYM,2025-09-25,38.32,38.475,35.9717,36.51
RYM,2025-09-26,35.7574,37.49,35.7574,36.67
RYM,2025-09-29,40.0,47.71,39.125,46.99
RYM,2025-09-30,46.83,46.83,39.27,42.49
RYM,2025-10-01,41.99,42.99,40.5,41.14
RYM,2025-10-02,46.56,47.0,41.1,43.22
RYM,2025-10-03,42.05,44.9999,42.0,42.91
RYM,2025-10-06,42.0,50.0,42.0,48.25
RYM,2025-10-07,49.99,49.99,46.05,48.25
RYM,2025-10-08,50.0,50.0,46.91,47.75
RYM,2025-10-09,46.0,46.435,43.7,46.0
RYM,2025-10-10,46.01,47.2,39.02,40.8
RYM,2025-10-13,42.07,46.22,40.73,45.51
RYM,2025-10-14,44.9953,47.5,44.5,45.78
RYM,2025-10-15,45.875,47.39,45.3748,46.84
RYM,2025-10-16,48.93,53.65,45.81,45.81
RYM,2025-10-17,44.36,45.7423,41.79,42.52
RYM,2025-10-20,42.71,43.7335,41.56,43.7335
RYM,2025-10-21,43.0,44.9999,41.05,41.53
RYM,2025-10-22,41.01,42.065794,35.39,37.72
RYM,2025-10-23,38.94,41.27,37.16,39.3612
RYM,2025-10-24,40.42,41.4199,39.06,39.88
RYM,2025-10-27,39.02,40.43,37.75,37.75
