ticker,date,open,high,low,close
RYOJ,2025-08-18,2.72,2.9,2.4056,2.71
RYOJ,2025-08-19,2.61,2.71,2.43,2.47
RYOJ,2025-08-20,2.47,2.6999,2.302,2.55
RYOJ,2025-08-21,2.55,2.6298,2.41,2.42
RYOJ,2025-08-22,2.53,2.5999,2.11,2.325
RYOJ,2025-08-25,2.31,2.4,2.05,2.13
RYOJ,2025-08-26,2.25,2.25,2.1101,2.1101
RYOJ,2025-08-27,2.1075,2.635,2.1075,2.2
RYOJ,2025-08-28,2.16,2.39,2.14,2.35
RYOJ,2025-08-29,2.34,2.42,2.1,2.14
RYOJ,2025-09-02,2.1,2.16,1.82,2.09
RYOJ,2025-09-03,2.0061,2.05,1.86,1.925
RYOJ,2025-09-04,1.8888,1.95,1.8125,1.9
RYOJ,2025-09-05,1.91,1.9385,1.8501,1.92
RYOJ,2025-09-08,1.9206,2.15,1.89,2.0011
RYOJ,2025-09-09,2.12,2.195,1.95,1.97
RYOJ,2025-09-10,2.0,2.1419,2.0,2.05
RYOJ,2025-09-11,2.02,2.1,1.96,2.02
RYOJ,2025-09-12,2.05,2.05,1.92,2.0
RYOJ,2025-09-15,1.98,1.98,1.93,1.96
RYOJ,2025-09-16,2.01,2.31,1.9601,2.24
RYOJ,2025-09-17,2.0901,2.16,2.05,2.06
RYOJ,2025-09-18,2.11,2.45,2.1,2.23
RYOJ,2025-09-19,2.25,2.32,2.17,2.23
RYOJ,2025-09-22,2.15,2.3,2.15,2.2
RYOJ,2025-09-23,2.18,2.275,2.1,2.1
RYOJ,2025-09-24,2.1,2.24,2.1,2.21
RYOJ,2025-09-25,2.2,2.26,2.03,2.15
RYOJ,2025-09-26,2.08,2.75,2.08,2.3
RYOJ,2025-09-29,2.13,2.2049,2.03,2.08
RYOJ,2025-09-30,2.0,2.03,1.9,2.0
RYOJ,2025-10-01,1.96,1.9946,1.84,1.9
RYOJ,2025-10-02,1.9,2.04,1.8701,1.99
RYOJ,2025-10-03,1.94,2.015,1.89,1.94
RYOJ,2025-10-06,2.04,2.35,1.9004,2.2729
RYOJ,2025-10-07,2.12,2.2,2.0,2.0
RYOJ,2025-10-08,1.95,2.2,1.95,2.16
RYOJ,2025-10-09,2.08,2.21,2.01,2.02
RYOJ,2025-10-10,2.0138,2.1199,1.92,1.94
RYOJ,2025-10-13,1.93,2.01,1.92,1.93
RYOJ,2025-10-14,1.9,1.99,1.8836,1.92
RYOJ,2025-10-15,2.0,2.2,1.8669,2.16
RYOJ,2025-10-16,4.495,5.35,3.53,4.76
RYOJ,2025-10-17,4.31,4.83,3.61,4.83
RYOJ,2025-10-20,4.61,5.0,3.8,3.8
RYOJ,2025-10-21,4.8698,11.43,4.55,9.12
RYOJ,2025-10-22,6.54,8.34,5.52,6.1
RYOJ,2025-10-23,6.16,6.16,5.32,5.59
RYOJ,2025-10-24,5.74,5.74,4.85,5.35
RYOJ,2025-10-27,5.26,5.4,4.26,4.745
RYOJ,2025-10-28,4.66,6.78,4.66,5.28
RYOJ,2025-10-29,5.18,5.9653,4.51,5.02
RYOJ,2025-10-30,4.94,5.2999,4.5,4.7
RYOJ,2025-10-31,4.58,4.69,4.5001,4.63
RYOJ,2025-11-03,4.32,4.57,4.11,4.3
RYOJ,2025-11-04,4.41,4.485,4.0,4.085
RYOJ,2025-11-05,3.97,4.3112,3.97,4.13
RYOJ,2025-11-06,4.02,4.3077,4.02,4.205
RYOJ,2025-11-07,4.29,4.78,4.25,4.6
RYOJ,2025-11-10,4.6565,4.75,4.402,4.43
RYOJ,2025-11-11,4.46,4.98,3.91,4.89
RYOJ,2025-11-12,4.19,4.64,4.13,4.2
