ticker,date,open,high,low,close
SAGT,2025-03-07,4.0,4.2,3.5,3.6
SAGT,2025-03-10,3.4501,3.5995,3.45,3.5995
SAGT,2025-03-11,3.65,3.65,3.2801,3.45
SAGT,2025-03-12,3.35,3.35,3.24,3.25
SAGT,2025-03-13,3.2,3.69,3.15,3.35
SAGT,2025-03-14,3.42,3.6388,3.16,3.4
SAGT,2025-03-17,3.2,3.6,3.17,3.27
SAGT,2025-03-18,3.59,3.59,3.2,3.24
SAGT,2025-03-19,3.21,3.3,3.1,3.12
SAGT,2025-03-20,3.3,3.3,2.95,3.05
SAGT,2025-03-21,2.87,3.3275,2.82,2.9814
SAGT,2025-03-24,3.0029,3.4769,2.98,3.35
SAGT,2025-03-25,3.305,3.6,3.28,3.42
SAGT,2025-03-26,3.45,3.52,3.0,3.21
SAGT,2025-03-27,3.01,3.25,3.01,3.14
SAGT,2025-03-28,3.06,3.09,2.47,2.61
SAGT,2025-03-31,2.82,3.03,2.38,2.53
SAGT,2025-04-01,2.77,2.77,2.18,2.57
SAGT,2025-04-02,2.47,2.88,2.31,2.8611
SAGT,2025-04-03,2.31,2.31,2.21,2.31
SAGT,2025-04-04,2.33,2.55,2.15,2.3
SAGT,2025-04-07,2.2,2.66,2.2,2.41
SAGT,2025-04-08,2.53,2.53,2.33,2.35
SAGT,2025-04-09,2.55,2.7684,2.55,2.55
SAGT,2025-04-10,2.62,2.73,2.21,2.23
SAGT,2025-04-11,2.25,2.49,2.16,2.2
SAGT,2025-04-14,2.36,2.5891,2.1,2.12
SAGT,2025-04-15,2.2901,2.33,2.1,2.11
SAGT,2025-04-16,2.235,2.235,2.1,2.235
SAGT,2025-04-17,2.26,2.52,2.25,2.3
SAGT,2025-04-21,2.2827,2.54,2.26,2.4247
SAGT,2025-04-22,2.36,2.779,2.31,2.76
SAGT,2025-04-23,2.58,2.58,2.43,2.58
SAGT,2025-04-24,2.56,3.5369,2.47,3.42
SAGT,2025-04-25,3.44,3.75,3.44,3.7
SAGT,2025-04-28,3.6,4.04,3.36,4.04
SAGT,2025-04-29,3.94,5.48,3.94,4.07
SAGT,2025-04-30,4.22,4.74,3.1,4.275
SAGT,2025-05-01,3.99,5.09,3.8,5.0
SAGT,2025-05-02,4.76,6.04,4.7,5.77
SAGT,2025-05-05,5.6,5.95,5.05,5.58
SAGT,2025-05-06,5.76,6.24,5.23,5.37
SAGT,2025-05-07,5.7,5.9,5.15,5.36
SAGT,2025-05-08,5.31,5.54,3.5,3.94
SAGT,2025-05-09,3.95,4.52,3.9,4.45
SAGT,2025-05-12,4.62,4.86,4.26,4.36
SAGT,2025-05-13,4.44,4.505,3.72,3.94
SAGT,2025-05-14,4.32,4.45,3.985,4.1
SAGT,2025-05-15,4.25,4.33,3.9,3.98
SAGT,2025-05-16,3.98,4.28,3.89,3.98
SAGT,2025-05-19,4.0,4.09,3.79,3.87
SAGT,2025-05-20,3.95,3.99,3.0726,3.26
SAGT,2025-05-21,3.35,3.69,3.27,3.38
SAGT,2025-05-22,3.35,3.3986,3.19,3.23
SAGT,2025-05-23,3.3,3.56,3.15,3.42
SAGT,2025-05-27,3.46,3.5196,3.13,3.13
SAGT,2025-05-28,3.4444,3.4444,3.05,3.09
SAGT,2025-05-29,2.77,3.33,2.7504,2.99
SAGT,2025-05-30,3.0,3.1197,2.8,2.96
SAGT,2025-06-02,2.95,3.08,2.85,2.9
SAGT,2025-06-03,2.77,2.77,2.3301,2.52
SAGT,2025-06-04,2.5,2.6,2.43,2.59
SAGT,2025-06-05,2.53,2.6,2.35,2.38
SAGT,2025-06-06,2.29,2.44,1.9267,2.08
SAGT,2025-06-09,2.23,2.32,2.1201,2.26
SAGT,2025-06-10,2.3,2.3,2.11,2.14
SAGT,2025-06-11,2.22,2.55,2.11,2.47
SAGT,2025-06-12,2.6,2.78,2.35,2.58
SAGT,2025-06-13,2.55,2.75,2.35,2.49
SAGT,2025-06-16,2.46,2.46,2.21,2.21
SAGT,2025-06-17,2.21,2.5834,2.21,2.54
SAGT,2025-06-18,2.58,2.69,2.32,2.69
SAGT,2025-06-20,2.6723,2.79,2.36,2.43
SAGT,2025-06-23,2.39,2.57,2.0991,2.12
SAGT,2025-06-24,2.21,2.45,2.0651,2.25
SAGT,2025-06-25,2.28,2.47,2.1501,2.17
SAGT,2025-06-26,2.15,2.22,2.09,2.11
SAGT,2025-06-27,2.18,2.18,2.0,2.11
SAGT,2025-06-30,2.2,2.29,2.1162,2.29
SAGT,2025-07-01,2.25,2.34,2.06,2.07
SAGT,2025-07-02,2.19,2.2,2.04,2.11
SAGT,2025-07-03,2.19,2.19,2.05,2.06
SAGT,2025-07-07,2.03,2.1886,1.8,1.89
SAGT,2025-07-08,1.91,1.93,1.8,1.86
SAGT,2025-07-09,1.91,1.91,1.5,1.67
SAGT,2025-07-10,1.68,1.6922,1.61,1.66
SAGT,2025-07-11,1.66,1.79,1.66,1.77
SAGT,2025-07-14,1.8,2.25,1.8,2.09
SAGT,2025-07-15,2.1,2.31,2.092,2.29
SAGT,2025-07-16,2.15,2.15,1.9316,2.02
SAGT,2025-07-17,2.0,2.17,2.0,2.14
SAGT,2025-07-18,2.14,2.25,2.01,2.21
SAGT,2025-07-21,2.43,2.48,2.06,2.12
SAGT,2025-07-22,2.12,2.3,1.95,2.29
SAGT,2025-07-23,2.25,2.4,2.15,2.21
SAGT,2025-07-24,2.2,2.26,2.1,2.1
SAGT,2025-07-25,2.25,2.3,2.09,2.12
SAGT,2025-07-28,2.19,2.323,2.15,2.2
SAGT,2025-07-29,2.28,2.28,1.97,2.055
SAGT,2025-07-30,2.05,2.26,2.05,2.15
SAGT,2025-07-31,2.1589,2.1589,1.7701,1.99
SAGT,2025-08-01,1.91,1.99,1.85,1.917
SAGT,2025-08-04,1.97,2.05,1.85,1.94
SAGT,2025-08-05,1.995,2.1188,1.945,2.08
SAGT,2025-08-06,2.1361,2.23,2.07,2.23
SAGT,2025-08-07,2.25,2.26,2.12,2.19
SAGT,2025-08-08,2.25,2.26,2.05,2.05
SAGT,2025-08-11,2.0505,2.1485,2.05,2.07
SAGT,2025-08-12,2.14,2.22,2.0789,2.176
SAGT,2025-08-13,2.22,2.27,2.15,2.205
SAGT,2025-08-14,2.15,2.2495,2.035,2.06
SAGT,2025-08-15,2.1995,2.34,2.06,2.33
SAGT,2025-08-18,2.38,2.4,2.2,2.27
SAGT,2025-08-19,2.39,2.39,2.03,2.06
SAGT,2025-08-20,2.17,2.17,2.01,2.09
SAGT,2025-08-21,2.11,2.1301,2.02,2.05
SAGT,2025-08-22,2.07,2.13,2.02,2.039
SAGT,2025-08-25,2.11,2.18,1.8032,1.92
SAGT,2025-08-26,1.87,1.95,1.87,1.9
SAGT,2025-08-27,1.88,1.9399,1.8301,1.93
SAGT,2025-08-28,1.9,2.04,1.9,1.96
SAGT,2025-08-29,1.95,2.02,1.91,1.9787
SAGT,2025-09-02,1.92,1.99,1.88,1.88
SAGT,2025-09-03,1.9485,1.99,1.8748,1.9
SAGT,2025-09-04,1.861,1.9477,1.795,1.87
SAGT,2025-09-05,1.92,1.96,1.81,1.96
SAGT,2025-09-08,1.9,1.98,1.9,1.94
SAGT,2025-09-09,1.98,2.169,1.95,2.169
SAGT,2025-09-10,2.15,2.17,1.9,1.94
SAGT,2025-09-11,1.97,2.1,1.97,2.05
SAGT,2025-09-12,2.12,2.29,2.09,2.225
SAGT,2025-09-15,2.27,2.487,2.25,2.46
SAGT,2025-09-16,2.55,2.55,2.36,2.47
SAGT,2025-09-17,2.45,2.45,2.2009,2.24
SAGT,2025-09-18,2.23,2.4605,2.23,2.334
SAGT,2025-09-19,2.43,2.458,2.3601,2.3892
SAGT,2025-09-22,2.36,2.4389,2.3,2.3484
SAGT,2025-09-23,2.295,2.4319,2.22,2.28
SAGT,2025-09-24,2.288,2.32,2.06,2.17
SAGT,2025-09-25,2.11,2.2606,2.05,2.13
SAGT,2025-09-26,2.1848,2.1921,2.02,2.03
SAGT,2025-09-29,2.03,2.25,2.03,2.1143
SAGT,2025-09-30,2.13,2.1719,2.02,2.0786
SAGT,2025-10-01,2.03,2.13,2.01,2.05
SAGT,2025-10-02,2.06,2.13,2.0115,2.03
SAGT,2025-10-03,2.04,2.12,2.03,2.07
SAGT,2025-10-06,2.09,2.0996,2.01,2.0713
SAGT,2025-10-07,2.02,2.0784,1.99,2.0
SAGT,2025-10-08,2.0,2.11,1.9984,2.09
SAGT,2025-10-09,2.1,2.1361,2.0,2.034
SAGT,2025-10-10,2.03,2.05,1.72,1.8898
SAGT,2025-10-13,1.98,1.9891,1.86,1.9
SAGT,2025-10-14,1.96,1.99,1.88,1.88
SAGT,2025-10-15,1.93,1.966,1.91,1.96
SAGT,2025-10-16,1.9592,2.08,1.855,1.99
SAGT,2025-10-17,2.05,2.05,1.8,1.86
SAGT,2025-10-20,1.98,1.98,1.86,1.9398
SAGT,2025-10-21,1.9,1.9887,1.89,1.95
SAGT,2025-10-22,1.9896,1.9896,1.85,1.9
SAGT,2025-10-23,1.86,1.95,1.86,1.8918
SAGT,2025-10-24,1.95,1.95,1.88,1.88
SAGT,2025-10-27,1.98,1.98,1.8606,1.92
SAGT,2025-10-28,1.86,1.98,1.86,1.88
SAGT,2025-10-29,1.9695,1.9695,1.89,1.89
SAGT,2025-10-30,1.9783,1.9783,1.88,1.96
SAGT,2025-10-31,1.94,1.94,1.88,1.94
SAGT,2025-11-03,1.91,1.92,1.88,1.885
SAGT,2025-11-04,2.05,2.7,1.96,2.28
SAGT,2025-11-05,2.21,2.46,2.15,2.3
SAGT,2025-11-06,2.27,2.7,2.2601,2.41
SAGT,2025-11-07,2.41,2.44,2.18,2.22
SAGT,2025-11-10,2.2301,2.285,2.08,2.1728
SAGT,2025-11-11,2.06,2.1391,1.93,2.03
SAGT,2025-11-12,2.04,2.04,1.82,1.97
SAGT,2025-11-13,1.98,2.0,1.9115,1.93
SAGT,2025-11-14,1.89,2.04,1.89,1.99
SAGT,2025-11-17,1.93,1.9706,1.86,1.9
SAGT,2025-11-18,1.88,1.9742,1.88,1.94
SAGT,2025-11-19,1.94,2.0293,1.94,2.0
SAGT,2025-11-20,2.0,2.01,1.85,1.96
SAGT,2025-11-21,1.82,1.9805,1.82,1.9504
SAGT,2025-11-24,2.03,2.26,1.99,2.21
SAGT,2025-11-25,2.41,2.5,2.11,2.3
SAGT,2025-11-26,2.3874,2.5436,2.3874,2.4
SAGT,2025-11-28,2.45,2.5765,2.42,2.5765
SAGT,2025-12-01,2.45,2.45,2.31,2.39
SAGT,2025-12-02,2.33,2.61,2.0461,2.35
SAGT,2025-12-03,2.4,2.5,2.35,2.4
SAGT,2025-12-04,2.45,2.45,2.3,2.38
SAGT,2025-12-05,2.3676,2.4,2.35,2.377
SAGT,2025-12-08,2.35,2.36,2.1,2.19
SAGT,2025-12-09,2.15,2.19,2.06,2.12
SAGT,2025-12-10,2.12,2.12,2.04,2.11
SAGT,2025-12-11,2.15,2.3,2.02,2.2062
SAGT,2025-12-12,2.2,2.2,2.0,2.01
SAGT,2025-12-15,2.01,2.02,1.91,1.91
SAGT,2025-12-16,2.06,2.06,1.96,1.99
SAGT,2025-12-17,1.9763,2.12,1.9,1.905
SAGT,2025-12-18,2.04,2.04,1.95,1.96
