ticker,date,open,high,low,close
SAIL,2025-02-13,23.0,23.25,20.77,22.0
SAIL,2025-02-14,22.0,24.95,21.5083,24.55
SAIL,2025-02-18,25.0,26.35,24.75,25.7
SAIL,2025-02-19,25.65,25.67,24.5,24.75
SAIL,2025-02-20,25.5,25.75,23.97,24.53
SAIL,2025-02-21,24.48,25.02,23.55,23.56
SAIL,2025-02-24,24.05,24.44,23.05,23.35
SAIL,2025-02-25,23.31,24.01,23.2,23.71
SAIL,2025-02-26,23.72,24.35,23.71,24.06
SAIL,2025-02-27,24.41,24.46,23.6,23.61
SAIL,2025-02-28,23.4,24.08,23.23,23.96
SAIL,2025-03-03,24.01,24.01,23.23,23.57
SAIL,2025-03-04,23.26,24.0,23.0,23.27
SAIL,2025-03-05,23.27,23.62,23.0,23.41
SAIL,2025-03-06,23.0,23.7,22.5,23.0
SAIL,2025-03-07,22.65,23.17,20.95,22.13
SAIL,2025-03-10,21.0,22.0903,19.54,19.705
SAIL,2025-03-11,20.0,20.305,18.43,19.25
SAIL,2025-03-12,19.575,20.0,19.12,19.27
SAIL,2025-03-13,19.43,19.43,17.56,18.12
SAIL,2025-03-14,18.46,19.4,18.17,18.72
SAIL,2025-03-17,18.8,19.89,18.78,19.82
SAIL,2025-03-18,19.5,19.97,19.2,19.74
SAIL,2025-03-19,19.76,20.18,19.6,19.95
SAIL,2025-03-20,19.65,20.17,19.545,19.88
SAIL,2025-03-21,19.6,20.5,19.26,20.25
SAIL,2025-03-24,20.45,21.27,20.3438,21.23
SAIL,2025-03-25,21.52,22.57,20.87,21.8
SAIL,2025-03-26,21.81,22.465,20.1,21.54
SAIL,2025-03-27,21.26,21.5959,20.4,20.52
SAIL,2025-03-28,20.18,20.18,18.64,19.54
SAIL,2025-03-31,19.48,19.48,18.22,18.74
SAIL,2025-04-01,18.6,19.1,18.15,18.29
SAIL,2025-04-02,18.1,19.0,17.92,18.95
SAIL,2025-04-03,18.08,18.15,17.3,17.58
SAIL,2025-04-04,15.96,15.96,15.35,15.96
SAIL,2025-04-07,15.0501,17.1,15.05,16.53
SAIL,2025-04-08,17.17,17.365,16.06,16.34
SAIL,2025-04-09,16.08,18.1902,15.48,17.82
SAIL,2025-04-10,17.29,17.6531,15.82,17.13
SAIL,2025-04-11,17.2,17.78,16.41,17.56
SAIL,2025-04-14,17.22,17.22,16.75,17.22
SAIL,2025-04-15,17.25,17.78,17.25,17.41
SAIL,2025-04-16,17.34,17.34,16.35,16.89
SAIL,2025-04-17,16.84,17.28,16.59,17.08
SAIL,2025-04-21,16.76,17.05,15.34,15.65
SAIL,2025-04-22,15.81,16.16,15.701,16.05
SAIL,2025-04-23,16.74,17.39,16.2,16.32
SAIL,2025-04-24,16.34,17.01,16.33,17.0
SAIL,2025-04-25,17.0,17.17,16.59,17.12
SAIL,2025-04-28,17.32,17.53,16.64,17.05
SAIL,2025-04-29,17.09,17.405,17.09,17.32
SAIL,2025-04-30,16.65,17.22,16.25,17.16
SAIL,2025-05-01,17.6,17.925,17.19,17.47
SAIL,2025-05-02,17.8,18.96,17.51,18.7
SAIL,2025-05-05,18.87,19.84,18.75,19.39
SAIL,2025-05-06,19.01,19.69,17.785,17.84
SAIL,2025-05-07,17.97,18.775,17.97,18.38
SAIL,2025-05-08,18.5,19.31,18.5,18.79
SAIL,2025-05-09,19.065,19.24,18.13,18.62
SAIL,2025-05-12,19.43,19.93,18.895,19.83
SAIL,2025-05-13,20.0,20.1851,19.5,19.58
SAIL,2025-05-14,19.7,19.9009,18.9,18.99
SAIL,2025-05-15,18.94,18.98,18.42,18.63
SAIL,2025-05-16,18.89,19.075,18.43,18.63
SAIL,2025-05-19,18.63,18.74,18.08,18.35
SAIL,2025-05-20,18.38,18.38,17.66,17.79
SAIL,2025-05-21,17.69,17.695,17.15,17.18
SAIL,2025-05-22,17.228,17.53,16.8,17.24
SAIL,2025-05-23,16.83,17.31,16.56,17.09
SAIL,2025-05-27,17.39,17.6,17.22,17.54
SAIL,2025-05-28,17.44,18.0052,17.24,17.61
SAIL,2025-05-29,17.76,17.76,17.03,17.37
SAIL,2025-05-30,17.37,17.82,17.1921,17.61
SAIL,2025-06-02,17.52,17.67,16.98,17.34
SAIL,2025-06-03,17.13,17.895,17.1123,17.78
SAIL,2025-06-04,17.99,18.19,17.86,18.05
SAIL,2025-06-05,18.32,18.32,17.9,18.005
SAIL,2025-06-06,18.13,19.28,17.88,19.07
SAIL,2025-06-09,19.47,19.6673,19.025,19.18
SAIL,2025-06-10,19.34,19.75,19.13,19.65
SAIL,2025-06-11,22.57,23.83,22.0101,22.53
SAIL,2025-06-12,22.97,23.535,22.25,23.3
SAIL,2025-06-13,22.745,23.3,22.45,22.61
SAIL,2025-06-16,23.02,24.0,22.93,23.4
SAIL,2025-06-17,23.17,23.28,22.59,22.95
SAIL,2025-06-18,23.05,23.1538,22.59,22.95
SAIL,2025-06-20,23.1,23.24,22.161,22.59
SAIL,2025-06-23,22.58,23.6,22.06,23.52
SAIL,2025-06-24,23.87,24.69,23.63,24.26
SAIL,2025-06-25,24.66,24.95,23.01,23.19
SAIL,2025-06-26,23.33,23.82,23.05,23.61
SAIL,2025-06-27,23.83,23.99,22.592,22.79
SAIL,2025-06-30,23.39,23.53,22.81,22.87
SAIL,2025-07-01,22.77,22.77,21.11,21.71
SAIL,2025-07-02,21.8,21.82,21.02,21.73
SAIL,2025-07-03,22.04,22.47,21.71,22.16
SAIL,2025-07-07,21.34,22.02,20.7,21.97
SAIL,2025-07-08,22.23,22.26,21.46,21.91
SAIL,2025-07-09,22.14,22.14,21.64,21.91
SAIL,2025-07-10,22.09,22.12,20.905,20.92
SAIL,2025-07-11,20.18,20.18,20.15,20.18
SAIL,2025-07-14,20.18,20.68,20.15,20.63
SAIL,2025-07-15,20.79,20.9443,20.185,20.36
SAIL,2025-07-16,20.7,20.96,20.42,20.6
SAIL,2025-07-17,20.57,20.76,20.3995,20.43
SAIL,2025-07-18,20.66,21.6699,20.5,21.32
SAIL,2025-07-21,21.55,21.8,20.63,20.65
SAIL,2025-07-22,20.68,20.85,20.22,20.68
SAIL,2025-07-23,20.87,20.96,20.3275,20.79
SAIL,2025-07-24,20.69,20.73,19.95,20.47
SAIL,2025-07-25,20.5,20.5278,19.85,20.24
SAIL,2025-07-28,20.63,20.63,20.13,20.51
SAIL,2025-07-29,20.69,22.75,20.045,21.68
SAIL,2025-07-30,21.71,22.56,20.59,21.84
SAIL,2025-07-31,22.01,23.035,21.72,22.34
SAIL,2025-08-01,21.97,21.9999,20.09,20.615
SAIL,2025-08-04,20.96,21.17,20.33,20.6
SAIL,2025-08-05,20.73,20.97,19.44,19.5
SAIL,2025-08-06,19.46,20.255,19.28,20.24
SAIL,2025-08-07,20.28,20.395,19.55,20.03
SAIL,2025-08-08,19.99,20.0,19.18,19.19
SAIL,2025-08-11,19.2,19.44,18.29,18.34
SAIL,2025-08-12,18.82,19.2125,18.4368,18.95
SAIL,2025-08-13,20.88,20.9,19.81,19.9
SAIL,2025-08-14,19.68,20.15,19.425,19.83
SAIL,2025-08-15,19.83,20.55,19.62,20.47
SAIL,2025-08-18,20.38,20.535,19.97,20.33
SAIL,2025-08-19,20.44,20.6,19.47,19.66
SAIL,2025-08-20,19.54,19.7599,19.06,19.59
SAIL,2025-08-21,19.04,19.53,19.04,19.51
SAIL,2025-08-22,19.61,20.5,19.485,20.5
SAIL,2025-08-25,20.37,20.78,20.2684,20.34
SAIL,2025-08-26,20.42,20.72,20.07,20.11
SAIL,2025-08-27,20.42,20.728,20.27,20.37
SAIL,2025-08-28,20.34,20.91,20.34,20.77
SAIL,2025-08-29,20.75,20.87,20.3003,20.64
SAIL,2025-09-02,20.91,21.47,20.58,20.98
SAIL,2025-09-03,21.17,21.21,20.59,21.03
SAIL,2025-09-04,20.94,21.21,20.54,21.06
SAIL,2025-09-05,21.34,22.33,21.264,21.98
SAIL,2025-09-08,22.33,22.5,21.64,22.4
SAIL,2025-09-09,19.72,21.41,19.6,20.66
SAIL,2025-09-10,20.82,21.25,19.13,19.81
SAIL,2025-09-11,19.9,20.92,19.65,20.84
SAIL,2025-09-12,20.85,21.785,20.59,21.61
SAIL,2025-09-15,21.685,21.985,21.4,21.69
SAIL,2025-09-16,21.69,21.89,21.01,21.61
SAIL,2025-09-17,21.65,22.05,21.05,21.11
SAIL,2025-09-18,21.58,22.45,21.35,22.43
SAIL,2025-09-19,22.5807,22.88,21.962,22.747
SAIL,2025-09-22,22.715,23.39,22.38,23.11
SAIL,2025-09-23,23.27,23.46,22.235,22.36
SAIL,2025-09-24,22.59,22.85,22.0,22.17
SAIL,2025-09-25,22.1,22.22,21.414,21.92
SAIL,2025-09-26,21.92,22.21,21.66,21.92
SAIL,2025-09-29,22.1,22.86,22.1,22.31
SAIL,2025-09-30,22.47,22.73,21.94,22.08
SAIL,2025-10-01,21.93,22.805,21.93,22.79
SAIL,2025-10-02,22.98,23.73,22.925,23.355
SAIL,2025-10-03,23.37,23.87,23.19,23.52
SAIL,2025-10-06,23.86,24.0,23.28,23.63
SAIL,2025-10-07,23.41,23.9,21.8,22.0
SAIL,2025-10-08,22.0,23.148,21.71,22.43
SAIL,2025-10-09,22.25,23.33,21.85,23.3
SAIL,2025-10-10,23.17,23.3,21.2906,21.73
SAIL,2025-10-13,22.3,22.42,21.53,21.92
SAIL,2025-10-14,21.5,22.46,21.26,22.31
SAIL,2025-10-15,22.67,23.13,22.36,22.86
SAIL,2025-10-16,23.15,23.89,21.57,22.0
SAIL,2025-10-17,21.6,22.14,21.48,21.9
SAIL,2025-10-20,22.5,22.74,22.0,22.6
SAIL,2025-10-21,22.62,23.08,22.27,22.68
SAIL,2025-10-22,22.57,22.81,21.59,22.0
SAIL,2025-10-23,22.1,22.48,22.07,22.23
SAIL,2025-10-24,22.94,23.035,22.315,22.35
SAIL,2025-10-27,22.95,22.96,22.43,22.78
SAIL,2025-10-28,22.72,23.0499,22.395,22.49
SAIL,2025-10-29,22.72,22.72,20.7251,21.42
SAIL,2025-10-30,21.36,22.19,21.325,21.55
SAIL,2025-10-31,21.55,22.29,21.55,21.67
SAIL,2025-11-03,21.72,22.023263,21.26,21.48
SAIL,2025-11-04,21.1,21.325,19.96,19.96
SAIL,2025-11-05,19.96,20.32,19.64,19.76
SAIL,2025-11-06,19.6,20.03,19.195,19.94
SAIL,2025-11-07,19.55,19.88,19.13,19.79
SAIL,2025-11-10,20.0,20.36,19.41,20.33
SAIL,2025-11-11,20.06,20.26,19.82,20.18
SAIL,2025-11-12,20.33,20.52,19.87,20.26
SAIL,2025-11-13,19.19,19.19,19.12,19.19
SAIL,2025-11-14,18.97,19.96,18.61,19.94
SAIL,2025-11-17,19.82,19.87,18.44,18.49
SAIL,2025-11-18,18.58,19.08,18.41,18.73
SAIL,2025-11-19,18.79,19.06,18.46,18.475
SAIL,2025-11-20,18.94,18.98,17.535,17.61
SAIL,2025-11-21,17.6,18.81,17.25,18.6
SAIL,2025-11-24,18.59,18.76,18.25,18.54
SAIL,2025-11-25,18.6,18.8,18.25,18.75
SAIL,2025-11-26,18.57,18.87,18.33,18.36
SAIL,2025-11-28,18.38,18.655,18.35,18.411
SAIL,2025-12-01,18.21,18.66,18.0,18.4
SAIL,2025-12-02,18.47,19.2,18.45,19.14
SAIL,2025-12-03,18.9,19.75,18.76,19.42
SAIL,2025-12-04,19.44,20.08,19.28,19.85
SAIL,2025-12-05,19.95,20.5,19.7,20.24
SAIL,2025-12-08,20.27,20.58,20.04,20.27
SAIL,2025-12-09,19.03,20.935,18.45,19.88
SAIL,2025-12-10,19.87,21.44,19.55,21.02
SAIL,2025-12-11,20.59,21.785,20.59,21.74
SAIL,2025-12-12,21.74,21.96,21.005,21.03
SAIL,2025-12-15,21.32,21.32,20.19,20.61
SAIL,2025-12-16,20.705,21.18,20.41,21.13
SAIL,2025-12-17,21.04,21.34,20.24,20.4
SAIL,2025-12-18,20.88,21.64,20.82,20.96
SAIL,2025-12-19,20.905,21.39,20.72,21.01
SAIL,2025-12-22,21.06,21.59,20.88,21.4
SAIL,2025-12-23,21.21,21.22,20.51,20.85
SAIL,2025-12-24,20.96,21.115,20.7,21.07
SAIL,2025-12-26,21.16,21.24,20.9,21.15
SAIL,2025-12-29,20.97,21.259,20.82,20.98
SAIL,2025-12-30,20.94,21.055,20.78,20.81
SAIL,2025-12-31,20.73,20.79,20.21,20.23
SAIL,2026-01-02,20.595,20.595,18.81,18.95
SAIL,2026-01-05,19.2,19.95,19.0801,19.26
SAIL,2026-01-06,19.2,19.64,18.92,19.62
SAIL,2026-01-07,19.62,20.25,19.4501,20.13
SAIL,2026-01-08,20.08,20.08,19.405,19.54
SAIL,2026-01-09,19.65,20.22,19.28,19.67
SAIL,2026-01-12,19.6,19.83,19.35,19.61
SAIL,2026-01-13,19.56,19.87,19.03,19.31
SAIL,2026-01-14,19.19,19.325,18.85,19.26
SAIL,2026-01-15,19.37,19.75,18.87,18.9
SAIL,2026-01-16,18.91,18.94,18.26,18.27
SAIL,2026-01-20,17.81,18.135,17.29,17.32
SAIL,2026-01-21,17.39,17.52,16.79,17.14
SAIL,2026-01-22,17.42,17.66,17.135,17.3
SAIL,2026-01-23,17.31,17.86,17.17,17.815
SAIL,2026-01-26,17.78,18.0299,17.55,17.85
SAIL,2026-01-27,18.125,18.5,17.735,18.31
SAIL,2026-01-28,18.41,18.52,17.24,17.29
SAIL,2026-01-29,17.17,17.27,15.61,16.05
SAIL,2026-01-30,16.02,16.39,15.6,15.7
SAIL,2026-02-02,15.72,16.25,15.48,15.72
