ticker,date,open,high,low,close
SBLX,2025-08-26,6.59,6.59,5.99,6.21
SBLX,2025-08-27,6.12,6.41,5.7,5.9
SBLX,2025-08-28,6.0,6.3,5.8501,6.29
SBLX,2025-08-29,6.36,6.36,5.8915,6.105
SBLX,2025-09-02,5.93,6.22,5.18,5.445
SBLX,2025-09-03,5.34,5.5632,5.1,5.27
SBLX,2025-09-04,5.28,5.29,4.61,4.7
SBLX,2025-09-05,4.65,4.89,4.3,4.66
SBLX,2025-09-08,4.49,5.59,4.49,5.33
SBLX,2025-09-09,6.245,10.56,4.4,6.31
SBLX,2025-09-10,6.12,6.27,5.0,5.22
SBLX,2025-09-11,5.0,5.7904,4.2,5.6
SBLX,2025-09-12,5.66,5.7651,5.3101,5.4
SBLX,2025-09-15,5.6,5.6,5.1748,5.525
SBLX,2025-09-16,5.6809,5.88,5.3501,5.68
SBLX,2025-09-17,5.7,6.13,5.24,5.87
SBLX,2025-09-18,5.68,6.21,5.5,6.06
SBLX,2025-09-19,5.71,6.0996,5.7,5.83
SBLX,2025-09-22,5.67,5.79,5.3735,5.64
SBLX,2025-09-23,5.38,5.712,5.38,5.53
SBLX,2025-09-24,5.25,5.5199,5.1212,5.25
SBLX,2025-09-25,5.1,5.43,5.08,5.12
SBLX,2025-09-26,5.26,5.26,4.86,4.92
SBLX,2025-09-29,4.9,5.11,4.8703,4.96
SBLX,2025-09-30,4.94,5.1,4.87,5.04
SBLX,2025-10-01,5.06,5.605,5.0,5.28
SBLX,2025-10-02,5.49,5.73,5.16,5.73
SBLX,2025-10-03,5.75,5.84,5.29,5.59
SBLX,2025-10-06,5.7,6.329,5.57,6.1
SBLX,2025-10-07,5.88,5.9872,5.52,5.69
SBLX,2025-10-08,5.78,6.18,5.78,6.15
SBLX,2025-10-09,5.91,6.0,5.6,5.66
SBLX,2025-10-10,5.72,5.9546,5.11,5.1677
SBLX,2025-10-13,5.28,5.57,5.23,5.495
SBLX,2025-10-14,6.59,7.85,5.3801,6.012
SBLX,2025-10-15,5.61,5.7938,4.9,5.6
SBLX,2025-10-16,5.54,6.15,5.2101,5.24
SBLX,2025-10-17,5.14,5.49,5.13,5.14
SBLX,2025-10-20,5.26,5.3772,4.62,4.8
SBLX,2025-10-21,4.8,5.075,4.6807,4.77
SBLX,2025-10-22,4.46,4.46,4.44,4.46
SBLX,2025-10-23,4.44,4.84,4.43,4.72
SBLX,2025-10-24,4.75,4.9885,4.41,4.66
SBLX,2025-10-27,4.66,4.82,4.545,4.63
SBLX,2025-10-28,4.66,4.78,4.48,4.6
SBLX,2025-10-29,4.68,4.79,4.453,4.58
SBLX,2025-10-30,4.51,4.6699,4.42,4.51
SBLX,2025-10-31,4.51,4.58,4.26,4.42
SBLX,2025-11-03,4.37,4.3799,4.18,4.27
SBLX,2025-11-04,4.13,4.15,3.51,3.59
SBLX,2025-11-05,3.66,3.7003,3.53,3.61
SBLX,2025-11-06,3.59,3.6792,3.23,3.41
SBLX,2025-11-07,3.4,3.6087,3.07,3.46
SBLX,2025-11-10,3.63,3.79,3.2801,3.45
SBLX,2025-11-11,3.39,3.785,3.38,3.38
SBLX,2025-11-12,3.34,3.5999,3.2424,3.43
SBLX,2025-11-13,3.43,3.8174,3.1001,3.2
SBLX,2025-11-14,3.14,3.7,3.0575,3.56
SBLX,2025-11-17,3.62,3.96,2.78,2.88
SBLX,2025-11-18,2.72,2.8484,2.5,2.76
SBLX,2025-11-19,2.73,2.8371,2.4363,2.49
SBLX,2025-11-20,2.58,2.84,2.32,2.49
SBLX,2025-11-21,2.52,2.73,2.35,2.685
SBLX,2025-11-24,2.76,2.99,2.63,2.97
SBLX,2025-11-25,2.98,3.25,2.85,3.18
SBLX,2025-11-26,3.29,4.02,3.24,3.49
SBLX,2025-11-28,3.6,3.63,3.07,3.35
SBLX,2025-12-01,3.23,3.3311,2.68,2.9
SBLX,2025-12-02,3.0,3.195,2.97,3.16
SBLX,2025-12-03,3.07,3.4299,2.91,3.11
SBLX,2025-12-04,3.11,3.27,2.91,3.24
SBLX,2025-12-05,3.25,3.3787,2.98,3.25
SBLX,2025-12-08,3.31,3.38,3.05,3.26
SBLX,2025-12-09,3.26,3.46,3.145,3.31
SBLX,2025-12-10,3.28,3.59,3.1587,3.51
SBLX,2025-12-11,3.51,3.94,3.44,3.874
SBLX,2025-12-12,3.92,4.0,3.37,3.54
SBLX,2025-12-15,3.7,3.8163,3.14,3.22
SBLX,2025-12-16,3.26,3.39,2.9412,3.09
SBLX,2025-12-17,3.0,3.2,2.92,3.06
SBLX,2025-12-18,3.12,3.34,2.98,3.12
SBLX,2025-12-19,3.08,3.3015,2.99,3.18
SBLX,2025-12-22,3.12,3.57,3.12,3.41
SBLX,2025-12-23,3.3,3.54,3.0601,3.37
SBLX,2025-12-24,3.25,3.49,3.0301,3.31
SBLX,2025-12-26,3.25,3.42,3.072,3.23
SBLX,2025-12-29,3.18,3.34,2.8,2.81
SBLX,2025-12-30,2.92,2.93,2.5415,2.72
SBLX,2025-12-31,2.7,2.75,2.43,2.45
SBLX,2026-01-02,2.5443,2.7097,2.5004,2.63
SBLX,2026-01-05,2.72,2.949,2.5701,2.85
SBLX,2026-01-06,2.81,3.3099,2.76,3.1
SBLX,2026-01-07,3.13,3.35,2.9037,3.09
SBLX,2026-01-08,3.08,3.25,2.98,3.2
SBLX,2026-01-09,3.25,3.3515,3.0527,3.24
SBLX,2026-01-12,3.2,3.31,2.6701,3.05
SBLX,2026-01-13,3.09,3.25,2.935,3.13
SBLX,2026-01-14,3.14,3.25,2.97,3.12
SBLX,2026-01-15,3.08,3.36,3.01,3.29
SBLX,2026-01-16,3.27,3.31,3.061,3.18
SBLX,2026-01-20,3.0,3.11,2.7401,2.7543
SBLX,2026-01-21,2.86,2.95,2.73,2.88
SBLX,2026-01-22,2.94,3.05,2.78,2.94
SBLX,2026-01-23,2.9745,2.98,2.76,2.9
