ticker,date,open,high,low,close
SEPN,2024-10-25,23.5,25.6235,20.9001,21.4
SEPN,2024-10-28,21.5,21.75,19.775,20.75
SEPN,2024-10-29,20.55,20.88,19.56,20.02
SEPN,2024-10-30,19.53,20.8,18.62,20.36
SEPN,2024-10-31,21.68,23.77,20.4,22.88
SEPN,2024-11-01,22.88,24.5,21.54,21.79
SEPN,2024-11-04,22.19,24.46,21.48,23.84
SEPN,2024-11-05,24.49,24.4999,22.41,22.95
SEPN,2024-11-06,23.67,25.6,22.75,25.6
SEPN,2024-11-07,25.7,26.34,25.285,26.0
SEPN,2024-11-08,25.46,26.2,25.0708,25.91
SEPN,2024-11-11,25.82,26.0,24.855,25.35
SEPN,2024-11-12,25.06,25.9859,23.05,23.48
SEPN,2024-11-13,23.92,24.65,23.19,23.21
SEPN,2024-11-14,23.09,23.78,22.15,22.38
SEPN,2024-11-15,22.5,23.0,21.4501,22.53
SEPN,2024-11-18,22.865,24.09,22.865,23.55
SEPN,2024-11-19,23.41,24.88,22.905,24.2
SEPN,2024-11-20,24.69,25.32,21.88,22.5
SEPN,2024-11-21,22.76,23.295,21.665,21.79
SEPN,2024-11-22,21.79,22.155,20.68,22.0
SEPN,2024-11-25,22.02,23.49,22.02,23.25
SEPN,2024-11-26,23.01,24.99,23.01,24.28
SEPN,2024-11-27,24.36,24.945,23.35,24.78
SEPN,2024-11-29,24.79,26.21,24.065,25.29
SEPN,2024-12-02,25.35,25.81,24.5,24.76
SEPN,2024-12-03,25.12,26.015,25.12,25.69
SEPN,2024-12-04,25.54,27.47,25.18,26.06
SEPN,2024-12-05,26.71,26.81,24.37,25.19
SEPN,2024-12-06,24.9,25.89,24.79,25.75
SEPN,2024-12-09,26.75,26.75,22.95,23.01
SEPN,2025-01-27,19.02,19.02,15.83,16.16
SEPN,2025-01-28,16.08,17.0399,15.45,16.01
SEPN,2025-01-29,15.75,16.7,15.27,15.55
SEPN,2025-01-30,15.4,17.94,15.4,17.71
SEPN,2025-01-31,17.72,18.41,16.87,16.91
SEPN,2025-02-03,16.49,16.585,15.41,15.61
SEPN,2025-02-04,15.06,16.155,13.97,14.54
SEPN,2025-02-05,15.34,15.34,14.2,14.39
SEPN,2025-02-06,14.37,14.39,13.96,14.21
SEPN,2025-02-07,14.22,14.25,12.96,13.09
SEPN,2025-02-10,12.9,13.17,11.775,13.17
SEPN,2025-02-11,12.97,12.97,11.275,11.38
SEPN,2025-02-12,10.95,11.36,10.34,11.32
SEPN,2025-02-13,11.43,12.22,11.28,11.55
SEPN,2025-02-14,12.0,13.19,11.405,12.96
SEPN,2025-02-18,4.17,6.89,4.17,6.87
SEPN,2025-02-19,6.82,7.0,5.3,5.55
SEPN,2025-02-20,5.48,6.22,5.21,5.89
SEPN,2025-02-21,6.06,6.2225,5.641,5.8
SEPN,2025-02-24,6.23,6.5,5.71,5.73
SEPN,2025-02-25,5.915,5.9879,5.5,5.52
SEPN,2025-02-26,5.52,5.88,5.47,5.7
SEPN,2025-02-27,5.74,6.035,5.64,5.8
SEPN,2025-02-28,6.06,6.65,6.0021,6.49
SEPN,2025-03-03,6.28,6.53,5.88,6.06
SEPN,2025-03-04,5.98,6.44,5.9293,6.15
SEPN,2025-03-05,6.21,6.6555,5.67,5.93
SEPN,2025-03-06,5.7617,6.36,5.6,6.36
SEPN,2025-03-07,6.58,7.0925,6.31,6.45
SEPN,2025-03-10,6.31,6.5477,5.75,5.87
SEPN,2025-03-11,5.97,6.74,5.97,6.69
SEPN,2025-03-12,6.57,6.92,6.4,6.74
SEPN,2025-03-13,6.75,6.89,6.12,6.39
SEPN,2025-03-14,6.49,6.73,6.225,6.3
SEPN,2025-03-17,6.22,6.694,6.22,6.36
SEPN,2025-03-18,6.3,6.65,6.11,6.24
SEPN,2025-03-19,6.22,6.625,6.22,6.55
SEPN,2025-03-20,6.43,6.68,6.15,6.15
SEPN,2025-03-21,6.07,6.07,5.9,5.92
SEPN,2025-03-24,5.94,6.44,5.92,6.37
SEPN,2025-03-25,6.38,6.385,6.08,6.1
SEPN,2025-03-26,6.04,6.27,5.95,6.14
SEPN,2025-03-27,6.22,6.425,5.92,6.29
SEPN,2025-03-28,5.93,6.44,5.9,6.1
SEPN,2025-03-31,5.995,5.995,5.415,5.78
SEPN,2025-04-01,5.78,5.78,5.01,5.02
SEPN,2025-04-02,4.91,5.625,4.88,5.495
SEPN,2025-04-03,5.21,5.84,5.1,5.8
SEPN,2025-04-04,5.505,5.68,5.08,5.48
SEPN,2025-04-07,5.2005,5.38,5.0819,5.38
SEPN,2025-04-08,5.52,5.59,4.89,5.03
SEPN,2025-04-09,4.92,5.67,4.67,5.59
SEPN,2025-04-10,5.48,5.48,4.91,5.16
SEPN,2025-04-11,5.13,5.77,5.13,5.72
SEPN,2025-04-14,5.83,6.16,5.51,6.07
SEPN,2025-04-15,6.07,6.34,5.99,6.29
SEPN,2025-04-16,5.99,5.99,5.815,5.99
SEPN,2025-04-17,5.99,6.21,5.86,5.9
SEPN,2025-04-21,5.81,6.12,5.75,5.87
SEPN,2025-04-22,6.045,6.12,5.73,5.97
SEPN,2025-04-23,6.25,6.377,6.06,6.11
SEPN,2025-04-24,6.11,6.525,6.11,6.46
SEPN,2025-04-25,6.35,6.47,6.18,6.46
SEPN,2025-04-28,6.5,7.0,6.45,7.0
SEPN,2025-04-29,7.01,7.22,6.85,6.93
SEPN,2025-04-30,6.83,7.115,6.61,6.96
SEPN,2025-05-01,6.97,7.39,6.715,7.14
SEPN,2025-05-02,7.22,7.75,7.22,7.48
