ticker,date,open,high,low,close
SFD,2025-01-28,21.05,21.2,19.1,19.75
SFD,2025-01-29,19.75,20.69,19.68,20.49
SFD,2025-01-30,20.75,21.82,20.52,21.79
SFD,2025-01-31,22.0,22.03,21.05,21.5
SFD,2025-02-03,21.64,22.01,20.85,21.82
SFD,2025-02-04,21.76,21.82,21.205,21.48
SFD,2025-02-05,21.5,21.55,20.67,21.13
SFD,2025-02-06,20.69,20.98,20.1,20.7
SFD,2025-02-07,20.7,21.25,20.6,21.12
SFD,2025-02-10,21.33,21.5,21.1,21.26
SFD,2025-02-11,21.02,21.31,20.63,21.26
SFD,2025-02-12,20.87,21.51,20.81,21.5
SFD,2025-02-13,21.55,21.55,21.13,21.18
SFD,2025-02-14,21.06,21.4,20.85,21.23
SFD,2025-02-18,21.25,21.55,21.18,21.44
SFD,2025-02-19,21.4,21.53,21.2,21.47
SFD,2025-02-20,21.62,21.7299,21.0,21.3
SFD,2025-02-21,21.1,21.35,20.74,21.1
SFD,2025-02-24,21.39,21.7,21.1173,21.34
SFD,2025-02-25,21.26,21.68,21.03,21.625
SFD,2025-02-26,21.73,21.75,20.31,20.6
SFD,2025-02-27,20.72,21.5,20.38,21.05
SFD,2025-02-28,21.21,21.37,20.79,20.84
SFD,2025-03-03,20.62,21.13,20.4,20.87
SFD,2025-03-04,20.45,20.695,19.72,19.77
SFD,2025-03-05,19.75,20.41,19.52,20.35
SFD,2025-03-06,20.33,20.44,19.65,19.77
SFD,2025-03-07,19.76,21.05,19.24,19.26
SFD,2025-03-10,19.9125,19.9125,18.43,18.59
SFD,2025-03-11,18.45,19.41,18.45,19.26
SFD,2025-03-12,19.41,19.56,19.33,19.33
SFD,2025-03-13,19.33,19.33,18.75,18.98
SFD,2025-03-14,19.11,19.35,18.9,19.02
SFD,2025-03-17,19.07,19.85,19.07,19.55
SFD,2025-03-18,19.51,20.04,19.51,20.01
SFD,2025-03-19,19.99,20.07,19.66,19.78
SFD,2025-03-20,19.61,19.75,19.45,19.65
SFD,2025-03-21,19.65,20.03,19.015,19.06
SFD,2025-03-24,19.39,19.925,19.39,19.6
SFD,2025-03-25,19.61,19.9399,18.8,19.14
SFD,2025-03-26,19.28,20.05,19.2,19.71
SFD,2025-03-27,19.65,20.35,19.6094,20.11
SFD,2025-03-28,20.17,20.51,20.095,20.23
SFD,2025-03-31,20.15,20.56,20.02,20.38
SFD,2025-04-01,20.37,20.72,19.85,20.63
SFD,2025-04-02,20.74,20.94,20.42,20.79
SFD,2025-04-03,20.64,21.08,20.53,20.87
SFD,2025-04-04,20.42,20.8,19.72,19.76
SFD,2025-04-07,19.04,19.89,18.7085,19.3
SFD,2025-04-08,19.67,19.7,18.82,18.95
SFD,2025-04-09,18.825,20.06,18.63,19.93
SFD,2025-04-10,19.5,19.5,19.2,19.5
SFD,2025-04-11,19.57,19.77,19.23,19.75
SFD,2025-04-14,19.94,20.085,19.713,19.9
SFD,2025-04-15,19.99,20.215,19.9,19.9
SFD,2025-04-16,20.09,20.235,19.71,19.85
SFD,2025-04-17,20.08,20.43,19.88,20.37
SFD,2025-04-21,20.42,20.5,19.72,19.75
SFD,2025-04-22,20.02,20.1,19.57,19.76
SFD,2025-04-23,20.01,20.67,20.0,20.63
SFD,2025-04-24,20.59,20.59,20.385,20.47
SFD,2025-04-25,19.97,19.97,19.85,19.97
SFD,2025-04-28,19.94,20.115,19.735,19.93
SFD,2025-04-29,20.175,21.73,19.57,21.67
SFD,2025-04-30,21.79,22.19,21.54,22.19
SFD,2025-05-01,22.03,22.41,21.8,22.0
SFD,2025-05-02,22.32,23.05,22.24,22.98
SFD,2025-05-05,22.85,23.45,22.22,22.6
SFD,2025-05-06,22.27,22.27,22.27,22.27
SFD,2025-05-07,22.27,22.5,21.805,22.49
SFD,2025-05-08,22.52,22.68,22.3,22.64
SFD,2025-05-09,22.87,22.87,22.47,22.47
SFD,2025-05-12,22.695,22.7566,22.43,22.58
SFD,2025-05-13,22.595,22.7399,22.355,22.63
SFD,2025-05-14,22.54,22.72,22.27,22.41
SFD,2025-05-15,21.95,23.06,21.86,22.93
SFD,2025-05-16,22.93,23.41,22.44,23.32
SFD,2025-05-19,23.02,23.44,23.0,23.08
