ticker,date,open,high,low,close
SOCA,2025-09-05,9.96,10.0,9.96,9.96
SOCA,2025-09-08,9.96,9.96,9.945,9.945
SOCA,2025-09-09,9.94,9.96,9.94,9.96
SOCA,2025-09-10,9.97,9.975,9.97,9.97
SOCA,2025-09-11,9.97,9.97,9.96,9.97
SOCA,2025-09-12,9.97,9.98,9.96,9.96
SOCA,2025-09-15,9.97,9.98,9.96,9.96
SOCA,2025-09-16,9.97,9.98,9.96,9.96
SOCA,2025-09-17,9.97,9.98,9.97,9.97
SOCA,2025-09-18,9.97,9.99,9.97,9.98
SOCA,2025-09-19,9.97,9.99,9.97,9.99
SOCA,2025-09-22,9.98,9.98,9.98,9.98
SOCA,2025-09-23,9.99,9.99,9.99,9.99
SOCA,2025-09-24,9.99,10.0,9.98,10.0
SOCA,2025-09-25,10.03,10.05,9.98,10.05
SOCA,2025-09-26,9.99,10.0,9.99,10.0
SOCA,2025-09-29,10.04,10.04,9.98,9.98
SOCA,2025-09-30,10.03,10.03,9.96,9.96
SOCA,2025-10-01,9.99,10.04,9.99,9.99
SOCA,2025-10-02,9.99,10.03,9.99,10.03
SOCA,2025-10-03,9.99,10.04,9.98,9.99
SOCA,2025-10-06,9.98,10.03,9.98,10.03
SOCA,2025-10-07,10.03,10.03,10.03,10.03
SOCA,2025-10-08,10.0,10.015,10.0,10.0
SOCA,2025-10-10,10.01,10.01,10.0,10.0
SOCA,2025-10-13,10.0,10.01,10.0,10.01
SOCA,2025-10-15,10.05,10.13,10.04,10.05
SOCA,2025-10-16,10.04,10.04,10.04,10.04
SOCA,2025-10-17,10.09,10.09,10.09,10.09
SOCA,2025-10-21,10.09,10.1,10.04,10.1
SOCA,2025-10-22,10.08,10.08,10.08,10.08
SOCA,2025-10-23,10.02,10.03,10.01,10.02
SOCA,2025-10-29,10.05,10.05,10.05,10.05
SOCA,2025-10-30,10.06,10.06,10.06,10.06
SOCA,2025-11-03,10.06,10.06,10.06,10.06
SOCA,2025-11-04,10.06,10.11,10.06,10.11
SOCA,2025-11-05,10.11,10.15,10.11,10.14
SOCA,2025-11-07,10.13,10.15,10.13,10.15
SOCA,2025-11-11,10.145,10.15,10.14,10.15
SOCA,2025-11-12,10.1,10.14,10.09,10.14
SOCA,2025-11-14,10.14,10.14,10.14,10.14
SOCA,2025-11-18,10.15,10.15,10.15,10.15
SOCA,2025-11-21,10.15,10.15,10.14,10.15
SOCA,2025-11-25,10.14,10.14,10.13,10.14
SOCA,2025-11-26,10.14,10.14,10.14,10.14
SOCA,2025-11-28,10.12,10.12,10.12,10.12
SOCA,2025-12-01,10.12,10.12,10.11,10.11
SOCA,2025-12-02,10.09,10.09,10.06,10.09
SOCA,2025-12-04,10.13,10.13,10.1,10.1
SOCA,2025-12-05,10.09,10.095,10.09,10.09
SOCA,2025-12-09,10.08,10.08,10.08,10.08
SOCA,2025-12-10,10.1,10.1,10.1,10.1
SOCA,2025-12-11,10.08,10.1,10.07,10.1
SOCA,2025-12-12,10.071,10.1,10.0644,10.1
SOCA,2025-12-15,10.09,10.09,10.075,10.075
SOCA,2025-12-17,10.06,10.065,10.05,10.06
SOCA,2025-12-18,10.11,10.11,10.05,10.05
SOCA,2025-12-29,10.06,10.06,10.05,10.06
SOCA,2025-12-31,10.05,10.055,10.05,10.05
SOCA,2026-01-02,10.08,10.08,10.055,10.06
SOCA,2026-01-09,10.07,10.07,10.07,10.07
SOCA,2026-01-12,10.07,10.085,10.07,10.08
SOCA,2026-01-13,10.095,10.095,10.09,10.09
SOCA,2026-01-14,10.1,10.1,10.095,10.1
SOCA,2026-01-20,10.1,10.1,10.1,10.1
SOCA,2026-01-21,10.085,10.09,10.085,10.09
SOCA,2026-01-26,10.11,10.11,10.11,10.11
SOCA,2026-01-27,10.11,10.12,10.11,10.12
SOCA,2026-01-30,10.125,10.13,10.125,10.13
SOCA,2026-02-02,10.13,10.13,10.11,10.11
