ticker,date,open,high,low,close
SPEG,2025-09-09,9.95,9.95,9.95,9.95
SPEG,2025-09-10,9.95,9.96,9.95,9.96
SPEG,2025-09-11,9.96,9.96,9.95,9.96
SPEG,2025-09-12,9.9581,9.96,9.95,9.95
SPEG,2025-09-15,9.96,9.96,9.96,9.96
SPEG,2025-09-16,9.955,9.955,9.955,9.955
SPEG,2025-09-18,9.95,9.95,9.95,9.95
SPEG,2025-09-19,9.95,9.96,9.95,9.96
SPEG,2025-09-22,9.96,9.96,9.95,9.96
SPEG,2025-09-23,9.98,9.98,9.97,9.97
SPEG,2025-09-24,9.96,9.97,9.9562,9.97
SPEG,2025-09-25,9.9651,9.97,9.9651,9.97
SPEG,2025-09-26,9.97,9.97,9.97,9.97
SPEG,2025-09-29,9.9644,9.97,9.96,9.97
SPEG,2025-09-30,9.969,9.97,9.969,9.97
SPEG,2025-10-01,9.97,9.99,9.97,9.99
SPEG,2025-10-03,9.98,9.9921,9.98,9.9921
SPEG,2025-10-06,9.98,9.985,9.98,9.98
SPEG,2025-10-08,10.0,10.0,9.98,9.99
SPEG,2025-10-09,9.98,9.999,9.98,9.99
SPEG,2025-10-10,10.0202,10.0202,9.985,9.9915
SPEG,2025-10-13,10.0,10.0,9.99,9.99
SPEG,2025-10-14,10.01,10.01,10.005,10.01
SPEG,2025-10-16,10.005,10.005,10.005,10.005
SPEG,2025-10-17,10.0,10.02,10.0,10.02
SPEG,2025-10-20,10.0127,10.02,10.0052,10.02
SPEG,2025-10-21,10.02,10.03,10.02,10.02
SPEG,2025-10-22,10.03,10.04,10.0201,10.04
SPEG,2025-10-23,10.03,10.03,10.0299,10.0299
SPEG,2025-10-24,10.03,10.04,10.0175,10.03
SPEG,2025-10-27,10.03,10.03,10.03,10.03
SPEG,2025-10-28,10.01,10.03,10.01,10.03
SPEG,2025-10-29,10.03,10.05,10.01,10.05
SPEG,2025-10-30,10.05,10.05,10.05,10.05
SPEG,2025-10-31,10.05,10.05,10.02,10.02
SPEG,2025-11-03,10.05,10.05,10.05,10.05
SPEG,2025-11-04,10.05,10.05,10.014,10.014
SPEG,2025-11-05,10.04,10.04,10.04,10.04
SPEG,2025-11-06,10.05,10.05,10.05,10.05
SPEG,2025-11-07,10.05,10.05,10.05,10.05
SPEG,2025-11-10,11.03,11.03,10.04,10.04
SPEG,2025-11-11,10.06,10.1,10.06,10.06
SPEG,2025-11-12,10.04,10.05,10.03,10.045
SPEG,2025-11-13,10.06,10.06,10.06,10.06
SPEG,2025-11-14,10.04,10.11,10.0399,10.05
SPEG,2025-11-17,9.98,10.075,9.98,10.075
SPEG,2025-11-18,10.07,10.09,10.07,10.09
SPEG,2025-11-19,10.09,10.09,10.09,10.09
SPEG,2025-11-20,10.09,10.09,10.09,10.09
SPEG,2025-11-21,10.11,10.11,10.11,10.11
SPEG,2025-11-24,10.11,10.11,10.11,10.11
SPEG,2025-11-25,10.11,10.11,10.11,10.11
SPEG,2025-11-26,10.06,10.1,10.06,10.1
SPEG,2025-11-28,10.11,10.11,10.06,10.06
SPEG,2025-12-01,10.1,10.1,10.08,10.08
SPEG,2025-12-02,10.11,10.11,10.07,10.07
SPEG,2025-12-03,10.07,10.1,10.07,10.08
SPEG,2025-12-04,10.09,10.1,10.09,10.1
SPEG,2025-12-05,10.1,10.1,10.1,10.1
SPEG,2025-12-08,10.1,10.1,10.1,10.1
SPEG,2025-12-09,10.05,10.05,10.05,10.05
SPEG,2025-12-10,10.11,10.11,10.09,10.09
SPEG,2025-12-11,10.05,10.08,10.05,10.08
SPEG,2025-12-12,10.08,10.08,10.08,10.08
SPEG,2025-12-16,10.08,10.09,10.05,10.07
SPEG,2025-12-17,10.35,10.35,10.06,10.06
SPEG,2025-12-18,10.05,10.06,10.05,10.06
SPEG,2025-12-19,10.07,10.07,10.05,10.05
SPEG,2025-12-24,10.05,10.05,10.05,10.05
SPEG,2025-12-26,10.1099,10.1099,10.05,10.05
SPEG,2025-12-30,10.08,10.08,10.07,10.07
SPEG,2026-01-02,10.06,10.06,10.06,10.06
SPEG,2026-01-06,10.085,10.085,10.06,10.06
SPEG,2026-01-08,10.07,10.09,10.07,10.07
SPEG,2026-01-13,10.0862,10.0862,10.0862,10.0862
SPEG,2026-01-20,10.11,10.11,10.11,10.11
SPEG,2026-01-21,10.11,10.12,10.09,10.11
SPEG,2026-01-22,10.105,10.11,10.105,10.11
SPEG,2026-01-23,10.11,10.11,10.11,10.11
SPEG,2026-01-26,10.14,10.14,10.12,10.12
SPEG,2026-01-28,10.13,10.13,10.13,10.13
SPEG,2026-01-29,10.12,10.12,10.12,10.12
SPEG,2026-01-30,10.12,10.12,10.12,10.12
SPEG,2026-02-02,10.15,10.15,10.12,10.12
