ticker,date,open,high,low,close
SRTA,2025-09-02,4.32,4.35,4.125,4.26
SRTA,2025-09-03,4.22,4.37,4.07,4.15
SRTA,2025-09-04,4.16,4.32,4.08,4.18
SRTA,2025-09-05,4.19,4.26,4.03,4.06
SRTA,2025-09-08,4.04,4.09,3.87,4.01
SRTA,2025-09-09,3.895,4.045,3.85,4.03
SRTA,2025-09-10,4.13,4.18,3.89,3.99
SRTA,2025-09-11,4.02,4.25,3.9875,4.21
SRTA,2025-09-12,4.18,4.33,4.06,4.3
SRTA,2025-09-15,4.3,4.53,4.3,4.53
SRTA,2025-09-16,4.635,5.12,4.58,4.9
SRTA,2025-09-17,5.0,5.595,4.95,5.2
SRTA,2025-09-18,5.37,5.845,5.35,5.835
SRTA,2025-09-19,5.9,6.02,5.7,5.72
SRTA,2025-09-22,5.55,5.91,5.43,5.87
SRTA,2025-09-23,5.91,5.9899,5.45,5.56
SRTA,2025-09-24,5.61,5.74,5.14,5.19
SRTA,2025-09-25,5.08,5.2609,5.04,5.1
SRTA,2025-09-26,5.11,5.25,5.04,5.18
SRTA,2025-09-29,5.24,5.31,5.02,5.1
SRTA,2025-09-30,5.1,5.1229,4.88,5.06
SRTA,2025-10-01,5.04,5.21,5.01,5.16
SRTA,2025-10-02,5.2,5.31,5.1419,5.23
SRTA,2025-10-03,5.27,5.445,5.22,5.41
SRTA,2025-10-06,5.46,5.525,5.192,5.21
SRTA,2025-10-07,5.27,5.4,5.1,5.15
SRTA,2025-10-08,5.13,5.1866,4.83,4.97
SRTA,2025-10-09,4.95,5.03,4.865,5.01
SRTA,2025-10-10,5.05,5.09,4.7,4.71
SRTA,2025-10-13,4.86,4.94,4.837,4.92
SRTA,2025-10-14,4.82,5.63,4.75,5.57
SRTA,2025-10-15,5.7,5.96,5.17,5.24
SRTA,2025-10-16,5.25,5.38,5.06,5.08
SRTA,2025-10-17,5.0,5.13,4.88,4.99
SRTA,2025-10-20,5.11,5.215,5.02,5.21
SRTA,2025-10-21,5.21,5.21,4.98,4.99
SRTA,2025-10-22,5.0,5.11,4.77,4.91
SRTA,2025-10-23,4.9,5.15,4.82,5.03
SRTA,2025-10-24,5.14,5.21,5.01,5.03
SRTA,2025-10-27,5.05,5.1,4.92,5.01
SRTA,2025-10-28,5.01,5.0201,4.75,4.93
SRTA,2025-10-29,4.92,5.138,4.85,5.05
SRTA,2025-10-30,5.03,5.15,4.9365,5.09
SRTA,2025-10-31,5.09,5.13,4.88,5.03
SRTA,2025-11-03,5.06,5.25,4.91,5.095
SRTA,2025-11-04,4.95,5.1,4.71,4.72
SRTA,2025-11-05,4.74,4.82,4.6,4.62
SRTA,2025-11-06,4.65,4.77,4.47,4.65
SRTA,2025-11-07,4.6,4.64,4.27,4.43
SRTA,2025-11-10,4.77,4.9,4.565,4.845
SRTA,2025-11-11,4.8,5.05,4.8,5.04
SRTA,2025-11-12,5.07,5.42,5.02,5.1
SRTA,2025-11-13,5.05,5.115,4.855,4.9
SRTA,2025-11-14,4.79,4.88,4.61,4.8
SRTA,2025-11-17,4.78,4.85,4.3,4.45
SRTA,2025-11-18,4.39,4.42,4.14,4.41
SRTA,2025-11-19,4.41,4.44,4.21,4.225
SRTA,2025-11-20,4.3,4.3752,4.015,4.035
SRTA,2025-11-21,4.0,4.29,4.0,4.205
SRTA,2025-11-24,4.25,4.285,4.17,4.26
SRTA,2025-11-25,4.25,4.27,4.105,4.235
SRTA,2025-11-26,4.27,4.34,4.27,4.305
SRTA,2025-11-28,4.34,4.375,4.315,4.34
SRTA,2025-12-01,4.3,4.35,4.17,4.19
SRTA,2025-12-02,4.25,4.39,4.17,4.18
SRTA,2025-12-03,4.22,4.47,4.205,4.44
SRTA,2025-12-04,4.44,4.545,4.35,4.4
SRTA,2025-12-05,4.37,4.49,4.33,4.35
SRTA,2025-12-08,4.4,4.45,4.37,4.38
SRTA,2025-12-09,4.35,4.55,4.35,4.54
SRTA,2025-12-10,4.52,4.7,4.5159,4.62
SRTA,2025-12-11,4.65,5.32,4.625,5.26
SRTA,2025-12-12,5.25,5.365,5.11,5.12
SRTA,2025-12-15,5.14,5.25,5.07,5.1
SRTA,2025-12-16,5.0,5.36,5.0,5.33
SRTA,2025-12-17,5.33,5.42,5.125,5.15
SRTA,2025-12-18,5.2,5.34,5.13,5.21
SRTA,2025-12-19,5.2,5.21,4.985,5.13
SRTA,2025-12-22,5.17,5.435,5.16,5.25
SRTA,2025-12-23,5.22,5.22,5.02,5.05
SRTA,2025-12-24,5.03,5.09,4.95,4.98
SRTA,2025-12-26,4.98,4.98,4.85,4.87
SRTA,2025-12-29,4.85,5.04,4.8001,4.84
SRTA,2025-12-30,4.85,4.945,4.81,4.84
SRTA,2025-12-31,4.85,4.888,4.7714,4.81
SRTA,2026-01-02,4.85,4.95,4.75,4.93
SRTA,2026-01-05,4.95,5.7,4.95,5.635
SRTA,2026-01-06,5.67,5.9,5.56,5.9
SRTA,2026-01-07,5.87,5.97,5.73,5.88
SRTA,2026-01-08,5.84,5.98,5.66,5.72
SRTA,2026-01-09,5.77,5.85,5.655,5.68
SRTA,2026-01-12,5.66,5.81,5.51,5.79
SRTA,2026-01-13,5.89,5.89,5.205,5.4
SRTA,2026-01-14,5.45,5.6397,5.45,5.57
SRTA,2026-01-15,5.56,5.895,5.5255,5.73
SRTA,2026-01-16,5.66,6.0,5.55,5.96
SRTA,2026-01-20,5.75,6.0,5.677,5.73
SRTA,2026-01-21,5.76,5.83,5.4163,5.645
SRTA,2026-01-22,5.7,5.95,5.63,5.645
SRTA,2026-01-23,5.62,5.7,5.42,5.47
SRTA,2026-01-26,5.47,5.47,4.97,4.97
SRTA,2026-01-27,4.95,5.07,4.95,5.04
SRTA,2026-01-28,5.1,5.1,4.935,4.95
SRTA,2026-01-29,4.95,5.1,4.85,5.07
SRTA,2026-01-30,4.97,5.15,4.85,4.88
SRTA,2026-02-02,4.86,4.915,4.7,4.72
