ticker,date,open,high,low,close
SSEA,2025-10-02,10.0,10.0,9.93,9.93
SSEA,2025-10-03,9.93,9.945,9.93,9.945
SSEA,2025-10-06,9.94,9.95,9.94,9.95
SSEA,2025-10-07,9.94,9.95,9.94,9.95
SSEA,2025-10-08,9.95,9.96,9.95,9.95
SSEA,2025-10-09,10.0,10.0,9.96,9.96
SSEA,2025-10-13,9.97,9.98,9.96,9.97
SSEA,2025-10-14,9.97,9.98,9.96,9.98
SSEA,2025-10-15,9.97,9.99,9.97,9.97
SSEA,2025-10-16,9.97,9.98,9.97,9.97
SSEA,2025-10-17,9.98,9.99,9.98,9.99
SSEA,2025-10-20,9.96,9.99,9.96,9.98
SSEA,2025-10-21,9.97,9.98,9.97,9.98
SSEA,2025-10-22,9.98,9.98,9.98,9.98
SSEA,2025-10-23,9.98,9.98,9.98,9.98
SSEA,2025-10-24,9.98,9.98,9.98,9.98
SSEA,2025-10-27,9.98,9.98,9.97,9.97
SSEA,2025-10-28,9.97,9.975,9.97,9.97
SSEA,2025-10-29,9.96,9.96,9.96,9.96
SSEA,2025-10-30,10.0,10.0,9.98,9.98
SSEA,2025-10-31,9.99,9.99,9.99,9.99
SSEA,2025-11-03,9.98,9.98,9.98,9.98
SSEA,2025-11-04,9.99,9.99,9.99,9.99
SSEA,2025-11-06,10.0,10.0,9.96,9.96
SSEA,2025-11-14,9.999,10.0,9.999,10.0
SSEA,2025-11-17,9.991,9.991,9.99,9.9901
SSEA,2025-11-18,9.99,9.99,9.98,9.98
SSEA,2025-11-19,9.99,9.99,9.99,9.99
SSEA,2025-11-20,9.98,9.98,9.98,9.98
SSEA,2025-12-01,10.0,10.0,10.0,10.0
SSEA,2025-12-04,10.0,10.0,9.98,9.98
SSEA,2025-12-08,9.99,9.99,9.99,9.99
SSEA,2025-12-09,10.0,10.0,9.995,10.0
SSEA,2025-12-10,10.02,10.03,10.02,10.03
SSEA,2025-12-11,10.0,10.0,10.0,10.0
SSEA,2025-12-12,10.01,10.01,10.01,10.01
SSEA,2025-12-29,10.0,10.01,10.0,10.01
SSEA,2026-01-14,10.03,10.03,10.03,10.03
SSEA,2026-01-15,10.06,10.06,10.06,10.06
SSEA,2026-01-22,10.08,10.09,10.08,10.09
SSEA,2026-01-23,10.11,10.11,10.11,10.11
SSEA,2026-01-28,10.11,10.11,10.11,10.11
