ticker,date,open,high,low,close
STEX,2025-09-12,6.1,6.74,5.55,6.27
STEX,2025-09-15,6.29,6.41,5.62,5.91
STEX,2025-09-16,6.24,6.75,5.92,6.31
STEX,2025-09-17,6.36,6.52,5.71,6.19
STEX,2025-09-18,6.37,6.67,6.12,6.4
STEX,2025-09-19,6.48,7.44,6.4728,7.0
STEX,2025-09-22,6.9,6.91,6.1802,6.4
STEX,2025-09-23,6.42,6.49,5.61,5.76
STEX,2025-09-24,5.77,6.01,5.6,5.69
STEX,2025-09-25,5.69,6.14,5.27,5.41
STEX,2025-09-26,5.455,5.59,4.9001,5.52
STEX,2025-09-29,5.6,5.9,5.06,5.47
STEX,2025-09-30,5.49,5.9,5.3501,5.76
STEX,2025-10-01,5.55,5.98,5.5,5.6
STEX,2025-10-02,5.68,5.85,5.42,5.54
STEX,2025-10-03,5.54,5.8,5.02,5.24
STEX,2025-10-06,5.8,7.19,5.78,6.31
STEX,2025-10-07,6.305,6.32,5.61,5.88
STEX,2025-10-08,5.85,5.85,4.8711,5.45
STEX,2025-10-09,5.29,5.69,5.24,5.52
STEX,2025-10-10,5.55,5.69,4.965,5.01
STEX,2025-10-13,4.86,5.12,4.55,5.12
STEX,2025-10-14,4.98,6.15,4.86,5.835
STEX,2025-10-15,5.95,6.34,5.81,6.24
STEX,2025-10-16,6.3,6.5,5.4,5.62
STEX,2025-10-17,5.58,5.69,5.16,5.21
STEX,2025-10-20,5.42,5.81,5.2101,5.37
STEX,2025-10-21,5.33,5.55,5.09,5.21
STEX,2025-10-22,5.14,5.2,4.66,4.84
STEX,2025-10-23,4.83,4.99,4.4201,4.75
STEX,2025-10-24,4.72,5.14,4.67,4.86
STEX,2025-10-27,4.94,5.07,4.57,4.88
STEX,2025-10-28,4.93,5.1899,4.67,4.73
STEX,2025-10-29,4.61,4.98,4.61,4.76
STEX,2025-10-30,4.7,4.78,4.4,4.64
STEX,2025-10-31,4.75,5.26,4.7,4.86
STEX,2025-11-03,4.82,5.0,4.67,4.74
STEX,2025-11-04,4.57,4.74,4.43,4.54
STEX,2025-11-05,4.58,4.89,4.48,4.64
STEX,2025-11-06,4.58,5.12,4.5,4.72
STEX,2025-11-07,4.56,4.58,4.2,4.49
STEX,2025-11-10,4.64,4.77,4.22,4.275
STEX,2025-11-11,4.23,4.44,4.03,4.09
STEX,2025-11-12,4.1,4.6,4.1,4.36
STEX,2025-11-13,4.29,4.38,3.94,3.97
STEX,2025-11-14,3.9,4.09,3.74,3.856
STEX,2025-11-17,3.72,3.9,3.61,3.73
STEX,2025-11-18,3.7,4.27,3.7,4.145
STEX,2025-11-19,4.12,4.3,3.66,3.765
STEX,2025-11-20,3.84,3.8623,3.58,3.595
STEX,2025-11-21,3.59,3.91,3.43,3.73
STEX,2025-11-24,3.76,4.26,3.695,4.16
STEX,2025-11-25,4.44,4.57,4.05,4.2
STEX,2025-11-26,4.24,4.52,4.2236,4.4
STEX,2025-11-28,4.41,4.65,4.41,4.5
STEX,2025-12-01,4.4,4.49,4.135,4.17
STEX,2025-12-02,4.18,4.38,4.18,4.25
STEX,2025-12-03,4.22,4.4725,4.21,4.43
STEX,2025-12-04,4.37,4.7583,4.37,4.62
STEX,2025-12-05,4.64,4.7,4.2601,4.31
STEX,2025-12-08,4.3,4.45,4.26,4.29
STEX,2025-12-09,4.265,4.47,4.2084,4.29
STEX,2025-12-10,4.29,4.46,4.25,4.42
STEX,2025-12-11,4.41,4.56,4.05,4.48
STEX,2025-12-12,4.44,4.5399,4.262,4.31
STEX,2025-12-15,4.31,4.44,4.03,4.13
STEX,2025-12-16,4.1,4.54,3.87,3.89
STEX,2025-12-17,3.9,4.105,3.535,3.555
STEX,2025-12-18,3.56,3.93,3.56,3.615
STEX,2025-12-19,3.64,3.95,3.64,3.79
STEX,2025-12-22,3.84,3.84,3.41,3.49
STEX,2025-12-23,3.48,3.52,3.155,3.21
STEX,2025-12-24,3.21,3.37,3.09,3.35
STEX,2025-12-26,3.31,3.32,3.13,3.14
STEX,2025-12-29,3.13,3.31,3.1,3.13
STEX,2025-12-30,3.14,3.15,2.93,3.03
STEX,2025-12-31,3.01,3.24,2.951,3.03
STEX,2026-01-02,3.1,3.12,3.0,3.11
STEX,2026-01-05,3.16,3.33,3.12,3.18
STEX,2026-01-06,3.22,3.39,3.142,3.33
STEX,2026-01-07,3.34,3.665,3.28,3.43
STEX,2026-01-08,3.4,3.44,3.17,3.21
STEX,2026-01-09,3.23,3.25,3.095,3.12
STEX,2026-01-12,3.06,3.2,2.925,3.17
STEX,2026-01-13,3.15,3.2,2.99,3.17
STEX,2026-01-14,3.18,3.25,3.05,3.225
STEX,2026-01-15,3.18,3.25,3.115,3.12
STEX,2026-01-16,3.1,3.69,3.0701,3.54
STEX,2026-01-20,3.41,3.54,3.26,3.405
STEX,2026-01-21,3.41,3.48,3.051,3.09
STEX,2026-01-22,3.09,3.6,3.01,3.46
STEX,2026-01-23,3.39,3.41,2.9702,3.25
STEX,2026-01-26,3.31,3.58,3.11,3.4
STEX,2026-01-27,3.42,3.7,3.05,3.65
STEX,2026-01-28,3.88,3.98,3.53,3.78
STEX,2026-01-29,3.84,3.99,3.27,3.35
STEX,2026-01-30,3.29,3.7331,3.18,3.575
STEX,2026-02-02,3.64,3.8,3.21,3.33
