ticker,date,open,high,low,close
STFS,2024-10-14,3.06,3.75,2.93,3.36
STFS,2024-10-15,3.02,3.02,2.99,3.02
STFS,2024-10-16,3.01,3.26,2.92,3.12
STFS,2024-10-17,3.2,4.19,3.2,3.985
STFS,2024-10-18,3.99,4.14,3.26,3.66
STFS,2024-10-21,3.76,4.1,3.66,3.75
STFS,2024-10-22,4.0,4.0,3.4,3.5935
STFS,2024-10-23,3.65,3.7,3.36,3.62
STFS,2024-10-24,3.572,3.8,3.43,3.67
STFS,2024-10-25,3.64,3.85,3.55,3.69
STFS,2024-10-28,3.87,3.89,3.5017,3.74
STFS,2024-10-29,3.62,3.8,3.58,3.75
STFS,2024-10-30,3.75,3.85,3.6,3.77
STFS,2024-10-31,3.69,3.84,3.68,3.83
STFS,2024-11-01,3.84,3.95,3.83,3.94
STFS,2024-11-04,3.91,3.915,3.65,3.88
STFS,2024-11-05,3.8,3.95,3.7,3.8888
STFS,2024-11-06,3.91,4.43,3.8401,4.17
STFS,2024-11-07,4.19,4.19,3.78,3.9
STFS,2024-11-08,3.67,4.03,3.67,4.03
STFS,2024-11-11,4.0,4.07,3.8,3.8
STFS,2024-11-12,3.91,3.93,3.8,3.9
STFS,2024-11-13,3.965,4.19,3.5962,4.07
STFS,2024-11-14,4.22,4.22,3.9301,4.12
STFS,2024-11-15,4.02,4.6,3.8,4.47
STFS,2024-11-18,4.39,4.39,4.12,4.26
STFS,2024-11-19,4.15,4.52,4.1,4.3
STFS,2024-11-20,4.3,4.47,4.14,4.35
STFS,2024-11-21,4.38,4.6,4.25,4.54
STFS,2024-11-22,4.3,5.74,4.25,4.72
STFS,2024-11-25,4.76,5.35,4.5,4.89
STFS,2024-11-26,4.8,5.55,4.7,5.35
STFS,2024-11-27,5.5,5.6,5.37,5.47
STFS,2024-11-29,5.52,5.87,5.18,5.59
STFS,2024-12-02,5.38,5.67,5.251,5.42
STFS,2024-12-03,5.45,5.91,5.2,5.61
STFS,2024-12-04,5.6,6.1,5.41,5.98
STFS,2024-12-05,5.81,5.98,5.4,5.54
STFS,2024-12-06,5.69,5.79,5.2,5.41
STFS,2024-12-09,5.51,5.7,5.42,5.69
STFS,2025-01-27,1.44,1.59,1.34,1.34
STFS,2025-01-28,1.38,1.5748,1.36,1.39
STFS,2025-01-29,1.36,1.4,1.3,1.31
STFS,2025-01-30,1.24,1.28,1.0,1.05
STFS,2025-01-31,1.05,1.18,1.02,1.02
STFS,2025-02-03,0.985,1.0463,0.9122,0.9674
STFS,2025-02-04,0.94,1.05,0.94,1.01
STFS,2025-02-05,0.95,1.03,0.9399,0.9613
STFS,2025-02-06,0.93,0.960215,0.902,0.9323
STFS,2025-02-07,0.9,0.9529,0.88,0.9
STFS,2025-02-10,0.88,0.9129,0.865,0.9129
STFS,2025-02-11,0.8855,0.9129,0.8205,0.8465
STFS,2025-02-12,0.83,0.8665,0.81,0.83
STFS,2025-02-13,0.8045,0.895,0.8021,0.8668
STFS,2025-02-14,0.84,0.866,0.83,0.865
STFS,2025-02-18,0.8345,0.85,0.8011,0.849
STFS,2025-02-19,0.8122,0.91,0.8122,0.87
STFS,2025-02-20,0.929,0.929,0.8662,0.8899
STFS,2025-02-21,0.88,0.9125,0.8616,0.8848
STFS,2025-02-24,0.89,1.07,0.8689,1.0
STFS,2025-02-25,0.999,1.01,0.883,0.9201
STFS,2025-02-26,0.8972,0.9249,0.858,0.858
STFS,2025-02-27,0.8528,0.932799,0.8528,0.88
STFS,2025-02-28,0.93,1.03,0.93,0.9549
STFS,2025-03-03,0.91,0.9799,0.862,0.9098
STFS,2025-03-04,0.9021,0.9255,0.875,0.905
STFS,2025-03-05,0.88,0.955,0.88,0.9401
STFS,2025-03-06,0.918,0.97,0.918,0.949
STFS,2025-03-07,0.9448,0.959499,0.8942,0.94
STFS,2025-03-10,0.9218,0.939,0.9,0.93
STFS,2025-03-11,0.899949,0.9,0.899949,0.899949
STFS,2025-03-12,0.91,0.9282,0.860101,0.9
STFS,2025-03-13,0.8703,0.93,0.8703,0.9011
STFS,2025-03-14,0.8959,0.96,0.8958,0.9101
STFS,2025-03-17,0.912,0.96,0.912,0.94025
STFS,2025-03-18,0.93,0.9531,0.93,0.952
STFS,2025-03-19,0.936,0.9516,0.9238,0.9238
STFS,2025-03-20,0.9201,0.9499,0.9037,0.94
STFS,2025-03-21,0.93,0.96,0.91,0.945
STFS,2025-03-24,0.9613,1.09,0.9401,1.0756
STFS,2025-03-25,1.19,1.32,1.0801,1.21
STFS,2025-03-26,1.09,1.17,1.01,1.07
STFS,2025-03-27,1.06,1.1,1.02,1.05
STFS,2025-03-28,1.0,1.0,0.9204,0.9412
STFS,2025-03-31,0.92,1.06,0.9099,1.0385
STFS,2025-04-01,1.04,1.0799,1.0,1.03
STFS,2025-04-02,1.01,1.03506,0.98,1.0
